,Unnamed: 0,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos,cluster
2,2,ALMI11,Lajes Corporativas,1204.69,0.00016338451012728677,0.0,0.0,0.0,0.0,0.0,0.0,0.6699713593302491,0.660082483177773,0.2035673375879561,0.057181477352582034,0.5726221486196644,0.1946902654867257,0.7573404255319148,0.015625,0
43,51,FIVN11,Shoppings,4.0,0.0015470470802677464,0.0,0.0,0.0,0.0,0.0,0.0,0.619960343688037,0.6108096375081398,0.6665030273277696,0.017041731231376932,0.0013484218576595534,0.13274336283185842,0.5957446808510638,0.015625,0
68,79,HTMX11,Hotel,123.7,0.024916137794411233,0.0,0.0,0.18243243243243248,0.2936507936507937,0.32374100719424465,0.07692307692307693,0.0,0.0,0.138602520045819,0.04651295377959992,0.0407545412203074,0.4247787610619469,1.0,0.359375,0
161,184,XPHT11,Hotel,93.0,0.0051823524305998755,0.02050663449939687,0.2061855670103093,0.2364864864864865,0.2936507936507937,0.0,0.10096153846153846,0.2174487772637145,0.2214022140221402,0.3901161839306169,0.12435688008218555,0.035122220497162265,0.3185840707964602,0.9861702127659576,0.078125,0
