,Unnamed: 0,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos,cluster
1,1,AFCR11,Híbrido,106.8,0.0017359604201024218,0.052472858866103735,0.42268041237113396,0.0,0.0,0.0,0.2048076923076923,0.6514650804141882,0.6598654221836335,0.8103420062182948,0.016039306124816133,0.028319734110760345,0.5929203539823009,0.06063829787234042,0.0,1
4,5,ARRI11,Títulos e Val. Mob.,86.73,0.0007352302955727902,0.03196622436670688,0.29896907216494845,0.44594594594594605,0.4444444444444445,0.0,0.4673076923076923,1.0,1.0,0.5342824414989363,0.0076310211950082266,0.02580689678966344,0.4955752212389381,0.06063829787234042,0.0,1
5,6,ATSA11,Shoppings,110.49,4.084612753182169e-05,0.015078407720144757,0.09278350515463918,0.13513513513513514,0.1746031746031746,0.1798561151079137,0.035576923076923075,0.6362634941617096,0.6307792489689603,0.6845033546064474,0.048523597011106624,0.030904448929600307,0.5486725663716814,0.20106382978723406,0.015625,1
12,15,BICR11,Títulos e Val. Mob.,101.41,0.0,0.011459589867310013,0.0979381443298969,0.14189189189189189,0.19047619047619047,0.0,0.2798076923076923,0.7067636043181317,0.700672889081832,0.4840451644575356,0.011025820602068312,0.027373826240461856,0.5752212389380531,0.06063829787234042,0.0,1
16,19,BPML11,Shoppings,99.99,0.01566959567439509,0.016887816646562127,0.1597938144329897,0.0,0.0,0.0,0.029807692307692306,0.619960343688037,0.6175385283264597,0.6715758468335787,0.15396708286724692,0.03815545090191884,0.3185840707964602,0.05957446808510637,0.109375,1
17,20,BRCO11,Logística,124.6,0.0584354912002124,0.03317249698431846,0.22164948453608246,0.2972972972972973,0.35714285714285715,0.0,0.3923076923076923,0.6512447675699494,0.6511829824180595,0.6920307641957126,0.3200771867145413,0.026741304260323045,0.8141592920353983,0.0,0.15625,1
21,24,BZLI11,Títulos e Val. Mob.,14.6,0.16947058312952815,0.0,0.0,0.0,0.0,0.0,0.0,0.6349416170962767,0.6255697851096158,0.6851579119620357,0.11236512815201284,0.002573214419201067,0.7522123893805309,0.06063829787234042,0.0,1
25,29,CPFF11,Híbrido,79.01,0.054447887999918315,0.03317249698431846,0.3608247422680412,0.1554054054054054,0.2619047619047619,0.0,0.3432692307692307,0.6003525005507822,0.6064684176253528,0.3272786777941417,0.08780158232235699,0.023495316462247062,0.4867256637168141,0.06063829787234042,0.0,1
35,42,EURO11,Logística,214.5,0.0018687103345808426,0.04523522316043426,0.1752577319587629,0.2364864864864865,0.2936507936507937,0.2589928057553957,0.3211538461538461,0.6347213042520379,0.6329498589103538,0.7820324005891016,0.029382642905310983,0.0873340348577113,0.2831858407079646,0.0,0.09375,1
37,45,FATN11,Híbrido,100.2,1.0211531882955423e-05,0.0367913148371532,0.31443298969072164,0.0,0.0,0.0,0.05865384615384616,0.619960343688037,0.6240503581506404,0.6764850270004908,0.010010289391680341,0.0278798438245729,0.5486725663716814,0.24468085106382975,0.0,1
43,51,FIVN11,Shoppings,4.0,0.0015470470802677464,0.0,0.0,0.0,0.0,0.0,0.0,0.619960343688037,0.6108096375081398,0.6665030273277696,0.017041731231376932,0.0013484218576595534,0.13274336283185842,0.5957446808510638,0.015625,1
45,53,FLRP11,Shoppings,1340.0,8.679802100512108e-05,0.1718938480096502,0.10824742268041238,0.16216216216216214,0.3412698412698413,0.30935251798561153,0.15096153846153845,0.5417492839832562,0.5380942044714565,0.6799214531173293,0.02570321900355584,0.4574398960363872,0.4070796460176992,0.02085106382978724,0.015625,1
48,57,GCFF11,Títulos e Val. Mob.,101.99,0.0008526629122267777,0.05126658624849216,0.0,0.0,0.0,0.0,0.0,0.619960343688037,0.6108096375081398,0.6665030273277696,0.0,0.027077690949760504,0.5929203539823009,0.06063829787234042,0.0,1
64,75,HLOG11,Logística,117.48,0.0020831525041229058,0.03799758745476478,0.2731958762886598,0.35135135135135137,0.4047619047619048,0.0,0.4057692307692307,0.5833884115443929,0.5862817451703929,0.8609065619374898,0.048781897066162136,0.03154272110955856,0.584070796460177,0.0,0.03125,1
65,76,HMOC11,Shoppings,231.0,0.00025018253113240786,0.030156815440289513,0.1134020618556701,0.08783783783783784,0.07936507936507937,0.1942446043165468,0.17115384615384616,0.7100682969817141,0.7045799869763404,0.5442644411716576,0.02160943558528902,0.06588866463109593,0.5486725663716814,0.04468085106382979,0.015625,1
66,77,HPDP11,Shoppings,88.0,5.105765941477712e-06,0.015078407720144757,0.1443298969072165,0.07432432432432433,0.1507936507936508,0.0,0.10865384615384614,0.619960343688037,0.6168873453440417,0.8001963672066764,0.07232129533409028,0.026680927162218884,0.4778761061946903,0.046808510638297884,0.015625,1
69,80,HUSC11,Outros,150.5,0.00022465370142501928,0.04402895054282268,0.24742268041237114,0.3310810810810811,0.2857142857142857,0.1798561151079137,0.1817307692307692,0.5899977968715576,0.5917082700238767,0.905252822778596,0.01719574255999979,0.027741839028906253,1.0,0.06063829787234042,0.0,1
72,83,JPPA11,Títulos e Val. Mob.,98.8,4.59518934732994e-05,0.03739445114595899,0.31443298969072164,0.0,0.0,0.0,0.05865384615384616,0.619960343688037,0.6240503581506404,0.6764850270004908,0.011710858117967656,0.028520991104440882,0.5221238938053098,0.06063829787234042,0.0,1
79,92,LASC11,Shoppings,99.15,0.0005973746151528923,0.016284680337756336,0.13917525773195874,0.14864864864864866,0.0,0.0,0.09423076923076924,0.6181978409341266,0.6149337963967876,0.6660121093110783,0.06239551264752957,0.026709678161316103,0.5752212389380531,0.061702127659574474,0.046875,1
80,93,LGCP11,Logística,100.8,0.005989063449353355,0.03196622436670688,0.2731958762886598,0.3310810810810811,0.3809523809523809,0.0,0.3740384615384616,0.6197400308437981,0.6220968092033862,0.6470299459990182,0.0430027794159916,0.026678052062309162,0.5929203539823009,0.025106382978723404,0.046875,1
81,94,LUGG11,Residencial,105.9,0.0008884032738171217,0.02714113389626056,0.21649484536082475,0.2905405405405405,0.35714285714285715,0.0,0.3528846153846153,0.6148931482705442,0.6149337963967876,0.7157584683357878,0.024043410560349025,0.03039555624557953,0.5221238938053098,0.22340425531914893,0.0625,1
87,100,MFAI11,Híbrido,115.85,0.0012458068897205615,0.03558504221954162,0.24742268041237114,1.0,0.0,0.0,0.4259615384615385,0.6170962767129324,0.6184067723030172,0.8764522991327114,0.0003996553116431037,0.027324949541996584,0.7079646017699115,0.06063829787234042,0.0,1
