,Unnamed: 0,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos,cluster
3,3,ALZR11,Logística,129.9,0.0648483332227084,0.021712907117008445,0.13917525773195874,0.25675675675675674,0.3492063492063492,0.3381294964028777,0.4134615384615384,0.5589336858338841,0.5565443889733015,0.8034691539846178,0.12068515226209912,0.02864462040055892,0.7876106194690266,0.0,0.109375,0
6,7,BARI11,Títulos e Val. Mob.,105.0,0.04218383820848885,0.0554885404101327,0.4484536082474227,0.5337837837837838,0.5793650793650793,0.5107913669064749,0.6221153846153846,0.5789821546596167,0.5888864771000651,0.7203403698249059,0.057529759991792516,0.027868343424934012,0.5929203539823009,0.06063829787234042,0.0,0
7,9,BBPO11,Lajes Corporativas,139.87,0.12462664086552945,0.06513872135102534,0.4020618556701031,0.5202702702702703,0.5714285714285714,0.5035971223021583,0.6153846153846154,0.6080634500991408,0.6160191013674843,0.5020454917362134,0.4281717841180753,0.028236356213378413,0.8849557522123894,0.0,1.0,0
8,10,BBRC11,Outros,147.5,0.0032727959684872125,0.056694813027744276,0.3247422680412371,0.4527027027027027,0.5317460317460317,0.4892086330935253,0.5798076923076924,0.5952853051332893,0.5999565878011721,0.7758141057110128,0.0446085459011713,0.030754943734294764,0.8495575221238938,0.0574468085106383,0.3125,0
9,12,BCFF11,Títulos e Val. Mob.,90.24,0.27977555052921266,0.02714113389626056,0.2525773195876289,0.3445945945945946,0.3809523809523809,0.3597122302158274,0.4298076923076923,0.6208415950649923,0.6225309311916648,0.5691376206840123,0.4601874969484033,0.023345811266941525,0.6106194690265486,0.06063829787234042,0.0,0
11,14,BCRI11,Títulos e Val. Mob.,107.8,0.06144789310568425,0.04825090470446322,0.3814432989690722,0.472972972972973,0.5555555555555555,0.4964028776978418,0.6490384615384616,0.5895571711830799,0.5967006728890819,0.5640648011782032,0.09814923182718456,0.02911326168584358,0.5752212389380531,0.06063829787234042,0.0,0
13,16,BMLC11B,Lajes Corporativas,95.9,0.012881847470348264,0.03377563329312425,0.30412371134020616,0.39864864864864863,0.4761904761904762,0.40287769784172667,0.5076923076923077,0.6622604097818904,0.6655090080312568,0.5791196203567338,0.022992973719177183,0.026186409977746725,0.5663716814159292,0.01808510638297872,0.03125,0
14,17,BNFS11,Outros,125.42,0.00211889286571325,0.05729794933655007,0.3865979381443299,0.5067567567567568,0.6031746031746031,0.5323741007194245,0.6423076923076922,0.5948446794448117,0.6023442587367049,0.6872852233676976,0.01584578640048999,0.02672117856095499,0.8230088495575221,0.06063829787234042,0.28125,0
15,18,BPFF11,Títulos e Val. Mob.,84.1,0.02391030190394012,0.030156815440289513,0.30927835051546393,0.4054054054054054,0.4761904761904762,0.4748201438848921,0.5192307692307693,0.6067415730337078,0.6108096375081398,0.20749468172148575,0.07380747192371145,0.024958742316295492,0.4955752212389381,0.06063829787234042,0.0,0
18,21,BRCR11,Híbrido,88.0,0.34466983564539433,0.02714113389626056,0.2525773195876289,0.33783783783783783,0.3809523809523809,0.366906474820144,0.3817307692307693,0.6369244326944261,0.6381593227696983,0.4784814269350351,0.7540785690564695,0.029699782067426836,0.3982300884955752,0.1425531914893617,0.1875,0
20,23,BTLG11,Logística,106.0,0.3050950438330006,0.036188178528347416,0.2938144329896907,0.3040540540540541,0.37301587301587297,0.34532374100719426,0.43461538461538457,0.6010134390834986,0.6045148686780986,0.6764850270004908,0.18723325662927454,0.028319734110760345,0.5929203539823009,0.0,0.15625,0
22,26,CBOP11,Lajes Corporativas,77.8,0.0049883333248237245,0.02955367913148372,0.31443298969072164,0.4324324324324325,0.4603174603174603,0.4100719424460432,0.4894230769230769,0.6911213923771756,0.6945951812459301,0.4660448371788578,0.030420102531299,0.02387482965033035,0.4690265486725664,0.1103191489361702,0.015625,0
23,27,CEOC11,Lajes Corporativas,71.9,0.01447484644408931,0.01990349819059108,0.21134020618556698,0.4054054054054054,0.492063492063492,0.4460431654676259,0.5394230769230769,0.5814055959462436,0.5815064032993271,0.4630993290787105,0.04546849579668754,0.02733644994163547,0.3097345132743363,0.0,0.015625,0
26,30,CPTS11,Títulos e Val. Mob.,99.03,0.3424794620565004,0.04342581423401689,0.3711340206185567,0.5067567567567568,0.5634920634920635,0.4820143884892087,0.6,0.6981714033928178,0.7039288039939223,0.6444117165766651,0.20882090853174504,0.026036904782441188,0.6017699115044248,0.06063829787234042,0.0,0
28,32,CTXT11,Lajes Corporativas,48.8,0.007964994868705229,0.022919179734620026,0.4072164948453609,0.5270270270270271,0.6190476190476191,0.5107913669064749,0.6471153846153846,0.5754571491517956,0.5834599522465813,0.4691539846179021,0.0349644204694532,0.014527879843824571,0.4690265486725664,0.09148936170212764,0.015625,0
29,33,CVBI11,Títulos e Val. Mob.,99.0,0.05111382284013336,0.04523522316043426,0.4020618556701031,0.4864864864864865,0.5317460317460317,0.4892086330935253,0.6125,0.7061026657854153,0.7132624267419144,0.6354115529373261,0.09247969102356393,0.028006348220600663,0.5398230088495575,0.06063829787234042,0.0,0
33,40,EDFO11B,Lajes Corporativas,255.01,0.0006382207426847139,0.09469240048250906,0.29896907216494845,0.3648648648648649,0.4523809523809523,0.40287769784172667,0.4961538461538462,0.6697510464860101,0.6728890818319948,0.7455408280150547,0.010725648579003613,0.057565250392451126,0.7787610619469026,0.07404255319148936,0.015625,0
36,43,FAED11,Outros,208.0,0.003589353456858831,0.07720144752714114,0.30927835051546393,0.4054054054054054,0.4603174603174603,0.4244604316546763,0.5230769230769231,0.5606961885877947,0.5650097677447363,0.3932253313696613,0.033111280544608386,0.0581258948748469,0.5575221238938053,0.0,0.046875,0
38,46,FCFL11,Outros,116.36,0.010359599095258276,0.03377563329312425,0.2422680412371134,0.33783783783783783,0.3968253968253968,0.3381294964028777,0.4288461538461538,0.7422339722405815,0.7421315389624484,0.5246277205040091,0.0962301105308738,0.029607778870315737,0.6371681415929203,0.0,0.015625,0
39,47,FEXC11,Títulos e Val. Mob.,97.0,0.0055142272167959284,0.02714113389626056,0.23195876288659795,0.33783783783783783,0.5476190476190476,0.4820143884892087,0.6211538461538462,0.5042961004626569,0.5061862383329716,0.5995745377188676,0.08828008965224916,0.027569333034322945,0.5309734513274337,0.06063829787234042,0.0,0
41,49,FIIB11,Híbrido,525.38,0.0014806721230285359,0.14414957780458384,0.2422680412371134,0.3040540540540541,0.3253968253968253,0.32374100719424465,0.3346153846153846,0.8098700154218991,0.8092033861515086,0.471444935362461,0.07610031280529217,0.1219473626708528,0.7522123893805309,0.0274468085106383,0.015625,0
42,50,FIIP11B,Logística,193.5,0.002113787099771772,0.052472858866103735,0.2371134020618557,0.26351351351351354,1.0,0.7050359712230216,1.0,0.5875743555849307,0.5886694161059258,0.6758304696449026,0.04713136121508705,0.056268580333166576,0.5221238938053098,0.0,0.109375,0
46,55,FPAB11,Lajes Corporativas,304.0,0.0003471920840204844,0.20084439083232813,0.5515463917525774,0.4594594594594595,0.4841269841269841,0.3884892086330936,0.4788461538461538,0.6056400088125138,0.6199261992619927,0.3367697594501718,0.08088605211395414,0.11816948138947828,0.3097345132743363,0.3051063829787234,0.015625,0
49,58,GGRC11,Logística,149.61,0.04810652670060299,0.0428226779252111,0.2577319587628866,0.32432432432432434,0.3968253968253968,0.3741007194244605,0.4721153846153846,0.5717118307997356,0.5739092685044498,0.7810505645557192,0.2144963885298244,0.03498996590131507,0.7256637168141593,0.0,0.234375,0
