,Unnamed: 0,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos,cluster
10,13,BCIA11,Títulos e Val. Mob.,123.11,0.02995552877864973,0.036188178528347416,0.24742268041237114,0.3581081081081081,0.37301587301587297,0.4892086330935253,0.4201923076923077,0.43115223617536896,0.4343390492728456,0.0,0.11548701342203968,0.03317002765846113,0.584070796460177,0.06063829787234042,0.0,7
15,18,BPFF11,Títulos e Val. Mob.,84.1,0.02391030190394012,0.030156815440289513,0.30927835051546393,0.4054054054054054,0.4761904761904762,0.4748201438848921,0.5192307692307693,0.6067415730337078,0.6108096375081398,0.20749468172148575,0.07380747192371145,0.024958742316295492,0.4955752212389381,0.06063829787234042,0.0,7
19,22,BTCR11,Títulos e Val. Mob.,84.39,0.0211889286571325,0.021109770808202654,0.21649484536082475,0.24324324324324326,0.3492063492063492,0.3525179856115108,0.4125,0.5589336858338841,0.5593661818971131,0.4508263786614302,0.12219483924091065,0.026956936753552183,0.4336283185840708,0.06063829787234042,0.0,7
22,26,CBOP11,Lajes Corporativas,77.8,0.0049883333248237245,0.02955367913148372,0.31443298969072164,0.4324324324324325,0.4603174603174603,0.4100719424460432,0.4894230769230769,0.6911213923771756,0.6945951812459301,0.4660448371788578,0.030420102531299,0.02387482965033035,0.4690265486725664,0.1103191489361702,0.015625,7
23,27,CEOC11,Lajes Corporativas,71.9,0.01447484644408931,0.01990349819059108,0.21134020618556698,0.4054054054054054,0.492063492063492,0.4460431654676259,0.5394230769230769,0.5814055959462436,0.5815064032993271,0.4630993290787105,0.04546849579668754,0.02733644994163547,0.3097345132743363,0.0,0.015625,7
27,31,CRFF11,Títulos e Val. Mob.,82.8,0.001005835890471109,0.025331724969843185,0.26288659793814434,0.3445945945945946,0.3888888888888889,0.3884892086330936,0.4394230769230769,0.685833884115444,0.6869980464510527,0.2826051382752413,0.015290030047218928,0.02625253727567033,0.4424778761061947,0.06063829787234042,0.0,7
28,32,CTXT11,Lajes Corporativas,48.8,0.007964994868705229,0.022919179734620026,0.4072164948453609,0.5270270270270271,0.6190476190476191,0.5107913669064749,0.6471153846153846,0.5754571491517956,0.5834599522465813,0.4691539846179021,0.0349644204694532,0.014527879843824571,0.4690265486725664,0.09148936170212764,0.015625,7
31,37,DMAC11,Residencial,347.93,0.0029256038844667283,0.1471652593486128,0.3350515463917526,0.4797297297297297,0.5952380952380952,0.5323741007194245,0.6432692307692308,0.6373650583829037,0.6420664206642067,0.002618229422353078,0.021620840718777883,0.16252939789657692,0.2035398230088496,0.06063829787234042,0.0,7
36,43,FAED11,Outros,208.0,0.003589353456858831,0.07720144752714114,0.30927835051546393,0.4054054054054054,0.4603174603174603,0.4244604316546763,0.5230769230769231,0.5606961885877947,0.5650097677447363,0.3932253313696613,0.033111280544608386,0.0581258948748469,0.5575221238938053,0.0,0.046875,7
46,55,FPAB11,Lajes Corporativas,304.0,0.0003471920840204844,0.20084439083232813,0.5515463917525774,0.4594594594594595,0.4841269841269841,0.3884892086330936,0.4788461538461538,0.6056400088125138,0.6199261992619927,0.3367697594501718,0.08088605211395414,0.11816948138947828,0.3097345132743363,0.3051063829787234,0.015625,7
