,Unnamed: 0,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos,cluster
3,3,ALZR11,Logística,129.9,0.0648483332227084,0.021712907117008445,0.13917525773195874,0.25675675675675674,0.3492063492063492,0.3381294964028777,0.4134615384615384,0.5589336858338841,0.5565443889733015,0.8034691539846178,0.12068515226209912,0.02864462040055892,0.7876106194690266,0.0,0.109375,3
13,16,BMLC11B,Lajes Corporativas,95.9,0.012881847470348264,0.03377563329312425,0.30412371134020616,0.39864864864864863,0.4761904761904762,0.40287769784172667,0.5076923076923077,0.6622604097818904,0.6655090080312568,0.5791196203567338,0.022992973719177183,0.026186409977746725,0.5663716814159292,0.01808510638297872,0.03125,3
20,23,BTLG11,Logística,106.0,0.3050950438330006,0.036188178528347416,0.2938144329896907,0.3040540540540541,0.37301587301587297,0.34532374100719426,0.43461538461538457,0.6010134390834986,0.6045148686780986,0.6764850270004908,0.18723325662927454,0.028319734110760345,0.5929203539823009,0.0,0.15625,3
33,40,EDFO11B,Lajes Corporativas,255.01,0.0006382207426847139,0.09469240048250906,0.29896907216494845,0.3648648648648649,0.4523809523809523,0.40287769784172667,0.4961538461538462,0.6697510464860101,0.6728890818319948,0.7455408280150547,0.010725648579003613,0.057565250392451126,0.7787610619469026,0.07404255319148936,0.015625,3
35,42,EURO11,Logística,214.5,0.0018687103345808426,0.04523522316043426,0.1752577319587629,0.2364864864864865,0.2936507936507937,0.2589928057553957,0.3211538461538461,0.6347213042520379,0.6329498589103538,0.7820324005891016,0.029382642905310983,0.0873340348577113,0.2831858407079646,0.0,0.09375,3
38,46,FCFL11,Outros,116.36,0.010359599095258276,0.03377563329312425,0.2422680412371134,0.33783783783783783,0.3968253968253968,0.3381294964028777,0.4288461538461538,0.7422339722405815,0.7421315389624484,0.5246277205040091,0.0962301105308738,0.029607778870315737,0.6371681415929203,0.0,0.015625,3
39,47,FEXC11,Títulos e Val. Mob.,97.0,0.0055142272167959284,0.02714113389626056,0.23195876288659795,0.33783783783783783,0.5476190476190476,0.4820143884892087,0.6211538461538462,0.5042961004626569,0.5061862383329716,0.5995745377188676,0.08828008965224916,0.027569333034322945,0.5309734513274337,0.06063829787234042,0.0,3
41,49,FIIB11,Híbrido,525.38,0.0014806721230285359,0.14414957780458384,0.2422680412371134,0.3040540540540541,0.3253968253968253,0.32374100719424465,0.3346153846153846,0.8098700154218991,0.8092033861515086,0.471444935362461,0.07610031280529217,0.1219473626708528,0.7522123893805309,0.0274468085106383,0.015625,3
49,58,GGRC11,Logística,149.61,0.04810652670060299,0.0428226779252111,0.2577319587628866,0.32432432432432434,0.3968253968253968,0.3741007194244605,0.4721153846153846,0.5717118307997356,0.5739092685044498,0.7810505645557192,0.2144963885298244,0.03498996590131507,0.7256637168141593,0.0,0.234375,3
50,59,GRLV11,Logística,140.39,1.0,0.0428226779252111,0.2525773195876289,0.35135135135135137,0.4285714285714286,0.38129496402877705,0.4653846153846154,0.8230887860762283,0.8226611677881485,0.9301260022909508,0.035757344183774284,0.03708591373550231,0.6017699115044248,0.039361702127659576,0.015625,3
