,Unnamed: 0,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos,cluster
54,64,HBTT11,Títulos e Val. Mob.,1055.0,5.105765941477712e-06,1.0,0.8092783505154639,0.777027027027027,0.6984126984126984,0.5899280575539568,0.7875,0.627230667547918,0.6522682873887563,0.042546228113238334,0.040603948875058624,0.2539892011247391,0.7168141592920354,0.06063829787234042,0.0,4
84,97,MAXR11,Outros,2000.63,0.00015317297824433133,0.7539203860072378,0.3350515463917526,0.5878378378378378,0.5158730158730159,0.4388489208633094,0.4317307692307693,0.5950649922890505,0.6001736487953115,0.42988054328260505,0.03328976340665502,0.6414980420569615,0.4601769911504425,0.0,0.125,4
85,98,MBRF11,Outros,1286.9,0.0001021153188295542,0.5428226779252111,0.36597938144329895,0.4797297297297297,0.5555555555555555,0.4964028776978418,0.6115384615384616,0.6270103547036793,0.6331669199044931,0.7257404680085091,0.032855666292821835,0.3688925690167733,0.5486725663716814,0.0,0.03125,4
107,124,PQDP11,Shoppings,3149.92,2.0423063765910847e-05,0.8727382388419784,0.2731958762886598,0.2972972972972973,0.3492063492063492,0.32374100719424465,0.10673076923076924,0.22009253139458035,0.22617755589320604,0.3842251677303224,0.2197920033200084,1.0,0.4601769911504425,0.04468085106382979,0.015625,4
