,Unnamed: 0,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos,cluster
0,0,ABCP11,Shoppings,78.45,0.009175061396835445,0.011459589867310013,0.12371134020618554,0.17567567567567569,0.16666666666666666,0.2733812949640288,0.19615384615384612,0.619960343688037,0.6160191013674843,0.4050073637702503,0.27641011807188315,0.0237109489554762,0.4778761061946903,0.029787234042553186,0.015625,8
24,28,CNES11,Lajes Corporativas,67.42,0.0026958444171002317,0.013872135102533177,0.18041237113402064,0.24324324324324326,0.3333333333333333,0.22302158273381292,0.28173076923076923,0.6715135492399207,0.6694161059257652,0.3287514318442153,0.07270553682499853,0.026442293869711968,0.2920353982300885,0.3861702127659574,0.015625,8
30,36,CXTL11,Logística,384.75,8.679802100512108e-05,0.05850422195416165,0.13917525773195874,0.22297297297297303,0.2063492063492064,0.1798561151079137,0.16249999999999998,0.853712271425424,0.8474061211200347,0.18965799378170506,0.008905707760603152,0.21979276279850726,0.10619469026548672,0.2946808510638298,0.0625,8
34,41,EDGA11,Lajes Corporativas,30.3,0.01403064480718075,0.007237635705669481,0.1958762886597938,0.31756756756756754,0.30952380952380953,0.2877697841726619,0.3134615384615384,0.6477197620621282,0.6466247015411329,0.02961872034036975,0.07815342122987012,0.021804757715330608,0.0,0.4436170212765958,0.015625,8
40,48,FIGS11,Shoppings,64.74,0.010706791179278759,0.009047044632086852,0.12371134020618554,0.10810810810810813,0.15873015873015875,0.2302158273381295,0.16249999999999998,0.619960343688037,0.6160191013674843,0.27327769595810825,0.0726320551223429,0.02736520094073269,0.24778761061946905,0.11914893617021274,0.03125,8
44,52,FLMA11,Híbrido,3.0,0.33616873535283404,0.0006031363088057903,0.12371134020618554,0.1554054054054054,0.1507936507936508,0.18705035971223025,0.21730769230769229,0.5562899317030183,0.5530714130670719,0.3064964817542137,0.051561237955798166,0.0,0.5752212389380531,0.06382978723404255,0.03125,8
47,56,FVPQ11,Shoppings,153.85,0.0062239286826613295,0.004825090470446321,0.025773195876288662,0.11486486486486487,0.12698412698412698,0.2877697841726619,0.16538461538461538,0.534699272967614,0.5278923377469069,0.2377679594174439,0.15803952829659304,0.060676108494770176,0.3008849557522124,0.08191489361702127,0.015625,8
73,84,JRDM11,Shoppings,76.0,0.0014602490592626252,0.009650180940892645,0.1134020618556701,0.0472972972972973,0.07936507936507937,0.2302158273381295,0.05865384615384616,0.5866931042079753,0.5825917082700238,0.2340042546228113,0.059141991842218286,0.02526925310654545,0.4070796460176992,0.043297872340425536,0.015625,8
83,96,MALL11,Shoppings,94.0,0.10756317108911093,0.021109770808202654,0.1958762886597938,0.19594594594594594,0.1746031746031746,0.2374100719424461,0.28173076923076923,0.6197400308437981,0.6188408942912959,0.3420062182948781,0.21227883203857373,0.029662405768600457,0.4513274336283186,0.031914893617021274,0.109375,8
94,108,NEWU11,Lajes Corporativas,45.64,5.105765941477711e-05,0.0,0.0,0.0,0.07142857142857142,1.0,0.05865384615384616,0.5309539546155541,0.5231169958758412,0.1490754377352315,0.011624669884186737,0.019041786702087896,0.24778761061946905,0.5138297872340425,0.046875,8
101,118,PATC11,Lajes Corporativas,87.62,0.06410799716119414,0.017490952955367914,0.17010309278350516,0.21621621621621626,0.246031746031746,0.2302158273381295,0.2740384615384616,0.6331791143423662,0.6312133709572391,0.4115529373261332,0.09053098635845927,0.027813716526649303,0.4424778761061947,0.0,0.078125,8
116,135,RBGS11,Shoppings,39.43,0.01154924255962258,0.0030156815440289513,0.061855670103092786,0.027027027027027032,0.2063492063492064,0.2733812949640288,0.14807692307692308,0.7367261511346109,0.7286737573258085,0.08558337424316799,0.02300972369148391,0.02420546613994836,0.06194690265486725,0.14361702127659576,0.015625,8
129,150,RNDP11,Títulos e Val. Mob.,795.0,0.0001021153188295542,0.18817852834740653,0.1958762886597938,0.2364864864864865,0.2936507936507937,0.2949640287769784,0.3259615384615385,0.3923771755893369,0.3939657043629259,0.420389461626575,0.029061464869182024,0.31090755403750275,0.3097345132743363,0.06063829787234042,0.0,8
132,153,SADI11,Títulos e Val. Mob.,82.31,0.01597083586494228,0.010856453558504222,0.10824742268041238,0.17567567567567569,0.2380952380952381,0.2374100719424461,0.2826923076923077,0.6466181978409341,0.641632298675928,0.4658811978399608,0.0832669250775382,0.028035099219697882,0.3893805309734513,0.06063829787234042,0.0,8
134,155,SCPF11,Shoppings,9.09,0.005223198558131698,0.0006031363088057903,0.08762886597938145,0.040540540540540536,0.16666666666666666,0.2877697841726619,0.19519230769230766,0.5714915179554968,0.5665291947037118,0.03485517918507602,0.010817070638397049,0.0024697108224510803,0.3628318584070797,0.27765957446808515,0.015625,8
142,164,TRNT11,Lajes Corporativas,183.1,0.0059329000239971,0.04101326899879373,0.1855670103092784,0.18243243243243248,0.22222222222222224,0.20863309352517986,0.2259615384615385,0.6437541308658294,0.642283481658346,0.3354606447389952,0.2316518277716824,0.06305094102020045,0.3893805309734513,0.4191489361702128,0.015625,8
155,177,VSHO11,Shoppings,86.6,0.0005258938919722043,0.0,0.0,0.26351351351351354,0.3809523809523809,0.3884892086330936,0.11346153846153845,0.04428288169200268,0.04362925982201002,0.2112583865161184,0.0531432424512558,0.027471579637392395,0.4424778761061947,0.060319148936170214,0.046875,8
158,180,WPLZ11,Shoppings,79.3,0.0013019703150768162,0.0030156815440289513,0.030927835051546393,0.08108108108108109,0.2777777777777777,0.302158273381295,0.2048076923076923,0.6051993831240361,0.5977859778597786,0.27000490918016684,0.02335796799258393,0.02597940278424675,0.415929203539823,0.08297872340425531,0.015625,8
159,181,WTSP11B,Híbrido,53.5,0.00012253838259546505,0.007840772014475273,0.1288659793814433,0.17567567567567569,0.2619047619047619,0.2949640287769784,0.3336538461538461,0.5316148931482706,0.5289776427176036,0.26951399116347563,0.022087624725435597,0.025364131403566272,0.18584070796460175,0.06063829787234042,0.0,8
