,Unnamed: 0,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos,cluster
17,20,BRCO11,Logística,124.6,0.0584354912002124,0.03317249698431846,0.22164948453608246,0.2972972972972973,0.35714285714285715,0.0,0.3923076923076923,0.6512447675699494,0.6511829824180595,0.6920307641957126,0.3200771867145413,0.026741304260323045,0.8141592920353983,0.0,0.15625,6
64,75,HLOG11,Logística,117.48,0.0020831525041229058,0.03799758745476478,0.2731958762886598,0.35135135135135137,0.4047619047619048,0.0,0.4057692307692307,0.5833884115443929,0.5862817451703929,0.8609065619374898,0.048781897066162136,0.03154272110955856,0.584070796460177,0.0,0.03125,6
69,80,HUSC11,Outros,150.5,0.00022465370142501928,0.04402895054282268,0.24742268041237114,0.3310810810810811,0.2857142857142857,0.1798561151079137,0.1817307692307692,0.5899977968715576,0.5917082700238767,0.905252822778596,0.01719574255999979,0.027741839028906253,1.0,0.06063829787234042,0.0,6
87,100,MFAI11,Híbrido,115.85,0.0012458068897205615,0.03558504221954162,0.24742268041237114,1.0,0.0,0.0,0.4259615384615385,0.6170962767129324,0.6184067723030172,0.8764522991327114,0.0003996553116431037,0.027324949541996584,0.7079646017699115,0.06063829787234042,0.0,6
91,104,MORE11,Títulos e Val. Mob.,111.25,0.0059788519174704,0.05428226779252111,0.4175257731958763,0.5472972972972974,0.0,0.0,0.3201923076923077,0.7224058162590878,0.7299761232906448,0.8792341678939617,0.013502913833076537,0.027888469124302068,0.6460176991150443,0.06063829787234042,0.0,6
119,139,RBRL11,Logística,111.9,0.008526629122267777,0.03377563329312425,0.2525773195876289,0.44594594594594605,0.5079365079365079,0.0,0.3932692307692308,0.5860321656752588,0.5878011721293684,0.9558173784977908,0.08604598922930784,0.028684871799295027,0.6283185840707964,0.0,0.078125,6
141,163,TORD11,Outros,10.7,0.2178936673185028,0.005428226779252111,0.4536082474226804,0.6013513513513513,0.0,0.0,0.5365384615384615,0.6406697510464859,0.6505317994356414,0.8735067910325641,0.00797216657915407,0.0020355707360830786,0.6106194690265486,0.06063829787234042,0.0,6
146,168,VGIP11,Outros,99.86,0.018462449644383403,0.05126658624849216,0.4381443298969072,0.5202702702702703,0.6507936507936507,0.0,0.4721153846153846,0.6208415950649923,0.6301280659865423,1.0,0.04044578806071512,0.026738429160413326,0.584070796460177,0.06063829787234042,0.0,6
148,170,VIFI11,Títulos e Val. Mob.,96.89,0.04753468091515749,0.03920386007237636,0.3453608247422681,0.4594594594594595,0.0,0.0,0.2576923076923077,0.5765587133729897,0.5823746472758845,0.6519391261659302,0.07426025386030366,0.028365735709315894,0.5044247787610621,0.06063829787234042,0.0,6
