,Unnamed: 0,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos,cluster
0,0,ABCP11,Shoppings,78.45,0.009175061396835445,0.011459589867310013,0.12371134020618554,0.17567567567567569,0.16666666666666666,0.2733812949640288,0.19615384615384612,0.619960343688037,0.6160191013674843,0.4050073637702503,0.27641011807188315,0.0237109489554762,0.4778761061946903,0.029787234042553186,0.015625,2
2,2,ALMI11,Lajes Corporativas,1204.69,0.00016338451012728677,0.0,0.0,0.0,0.0,0.0,0.0,0.6699713593302491,0.660082483177773,0.2035673375879561,0.057181477352582034,0.5726221486196644,0.1946902654867257,0.7573404255319148,0.015625,2
10,13,BCIA11,Títulos e Val. Mob.,123.11,0.02995552877864973,0.036188178528347416,0.24742268041237114,0.3581081081081081,0.37301587301587297,0.4892086330935253,0.4201923076923077,0.43115223617536896,0.4343390492728456,0.0,0.11548701342203968,0.03317002765846113,0.584070796460177,0.06063829787234042,0.0,2
19,22,BTCR11,Títulos e Val. Mob.,84.39,0.0211889286571325,0.021109770808202654,0.21649484536082475,0.24324324324324326,0.3492063492063492,0.3525179856115108,0.4125,0.5589336858338841,0.5593661818971131,0.4508263786614302,0.12219483924091065,0.026956936753552183,0.4336283185840708,0.06063829787234042,0.0,2
24,28,CNES11,Lajes Corporativas,67.42,0.0026958444171002317,0.013872135102533177,0.18041237113402064,0.24324324324324326,0.3333333333333333,0.22302158273381292,0.28173076923076923,0.6715135492399207,0.6694161059257652,0.3287514318442153,0.07270553682499853,0.026442293869711968,0.2920353982300885,0.3861702127659574,0.015625,2
27,31,CRFF11,Títulos e Val. Mob.,82.8,0.001005835890471109,0.025331724969843185,0.26288659793814434,0.3445945945945946,0.3888888888888889,0.3884892086330936,0.4394230769230769,0.685833884115444,0.6869980464510527,0.2826051382752413,0.015290030047218928,0.02625253727567033,0.4424778761061947,0.06063829787234042,0.0,2
30,36,CXTL11,Logística,384.75,8.679802100512108e-05,0.05850422195416165,0.13917525773195874,0.22297297297297303,0.2063492063492064,0.1798561151079137,0.16249999999999998,0.853712271425424,0.8474061211200347,0.18965799378170506,0.008905707760603152,0.21979276279850726,0.10619469026548672,0.2946808510638298,0.0625,2
31,37,DMAC11,Residencial,347.93,0.0029256038844667283,0.1471652593486128,0.3350515463917526,0.4797297297297297,0.5952380952380952,0.5323741007194245,0.6432692307692308,0.6373650583829037,0.6420664206642067,0.002618229422353078,0.021620840718777883,0.16252939789657692,0.2035398230088496,0.06063829787234042,0.0,2
32,38,DOMC11,Lajes Corporativas,439.0,0.0002042306376591084,0.0,0.0,0.0,0.0,0.0,0.0,0.7157964309319234,0.7052311699587585,0.5028636884306987,0.06734260101847557,0.3047778410299757,0.02654867256637168,0.2493617021276596,0.015625,2
34,41,EDGA11,Lajes Corporativas,30.3,0.01403064480718075,0.007237635705669481,0.1958762886597938,0.31756756756756754,0.30952380952380953,0.2877697841726619,0.3134615384615384,0.6477197620621282,0.6466247015411329,0.02961872034036975,0.07815342122987012,0.021804757715330608,0.0,0.4436170212765958,0.015625,2
40,48,FIGS11,Shoppings,64.74,0.010706791179278759,0.009047044632086852,0.12371134020618554,0.10810810810810813,0.15873015873015875,0.2302158273381295,0.16249999999999998,0.619960343688037,0.6160191013674843,0.27327769595810825,0.0726320551223429,0.02736520094073269,0.24778761061946905,0.11914893617021274,0.03125,2
44,52,FLMA11,Híbrido,3.0,0.33616873535283404,0.0006031363088057903,0.12371134020618554,0.1554054054054054,0.1507936507936508,0.18705035971223025,0.21730769230769229,0.5562899317030183,0.5530714130670719,0.3064964817542137,0.051561237955798166,0.0,0.5752212389380531,0.06382978723404255,0.03125,2
47,56,FVPQ11,Shoppings,153.85,0.0062239286826613295,0.004825090470446321,0.025773195876288662,0.11486486486486487,0.12698412698412698,0.2877697841726619,0.16538461538461538,0.534699272967614,0.5278923377469069,0.2377679594174439,0.15803952829659304,0.060676108494770176,0.3008849557522124,0.08191489361702127,0.015625,2
57,68,HGBS11,Shoppings,209.8,0.05627575220696733,0.018094089264173704,0.07216494845360825,0.08783783783783784,0.11904761904761905,0.22302158273381292,0.2192307692307692,0.6122493941396783,0.6062513566312133,0.2529864179348715,0.6057123345444627,0.0645431178733461,0.4778761061946903,0.07702127659574469,0.25,2
62,73,HGRE11,Lajes Corporativas,153.0,0.09383887223841884,0.03920386007237636,0.22164948453608246,0.3040540540540541,0.3333333333333333,0.30935251798561153,0.3576923076923077,0.6671072923551443,0.6668113739960929,0.3166421207658321,0.4717878954971228,0.046309234245890035,0.4867256637168141,0.2820212765957447,0.34375,2
67,78,HSML11,Shoppings,93.9,0.2524597027423069,0.02412545235223161,0.22164948453608246,0.20945945945945946,0.2142857142857143,0.2733812949640288,0.2769230769230769,0.6340603657193215,0.63425222487519,0.3051873670430371,0.4189443939709919,0.027862593225114567,0.4955752212389381,0.05212765957446809,0.078125,2
68,79,HTMX11,Hotel,123.7,0.024916137794411233,0.0,0.0,0.18243243243243248,0.2936507936507937,0.32374100719424465,0.07692307692307693,0.0,0.0,0.138602520045819,0.04651295377959992,0.0407545412203074,0.4247787610619469,1.0,0.359375,2
70,81,IBFF11,Títulos e Val. Mob.,78.47,0.00994603205399858,0.030156815440289513,0.3453608247422681,0.3581081081081081,0.4047619047619048,0.0,0.4894230769230769,0.634500991407799,0.6396787497286738,0.2871870397643593,0.013688372558075316,0.024616605427038588,0.4513274336283186,0.06063829787234042,0.0,2
73,84,JRDM11,Shoppings,76.0,0.0014602490592626252,0.009650180940892645,0.1134020618556701,0.0472972972972973,0.07936507936507937,0.2302158273381295,0.05865384615384616,0.5866931042079753,0.5825917082700238,0.2340042546228113,0.059141991842218286,0.02526925310654545,0.4070796460176992,0.043297872340425536,0.015625,2
83,96,MALL11,Shoppings,94.0,0.10756317108911093,0.021109770808202654,0.1958762886597938,0.19594594594594594,0.1746031746031746,0.2374100719424461,0.28173076923076923,0.6197400308437981,0.6188408942912959,0.3420062182948781,0.21227883203857373,0.029662405768600457,0.4513274336283186,0.031914893617021274,0.109375,2
94,108,NEWU11,Lajes Corporativas,45.64,5.105765941477711e-05,0.0,0.0,0.0,0.07142857142857142,1.0,0.05865384615384616,0.5309539546155541,0.5231169958758412,0.1490754377352315,0.011624669884186737,0.019041786702087896,0.24778761061946905,0.5138297872340425,0.046875,2
101,118,PATC11,Lajes Corporativas,87.62,0.06410799716119414,0.017490952955367914,0.17010309278350516,0.21621621621621626,0.246031746031746,0.2302158273381295,0.2740384615384616,0.6331791143423662,0.6312133709572391,0.4115529373261332,0.09053098635845927,0.027813716526649303,0.4424778761061947,0.0,0.078125,2
104,121,PLRI11,Títulos e Val. Mob.,41.27,0.0025120368432070338,0.013268998793727385,0.26804123711340205,0.33783783783783783,0.4285714285714286,0.3165467625899281,0.40384615384615385,0.4802820004406257,0.4838289559366182,0.2855506463753886,0.012896754437628343,0.016054557895886886,0.2831858407079646,0.06063829787234042,0.0,2
107,124,PQDP11,Shoppings,3149.92,2.0423063765910847e-05,0.8727382388419784,0.2731958762886598,0.2972972972972973,0.3492063492063492,0.32374100719424465,0.10673076923076924,0.22009253139458035,0.22617755589320604,0.3842251677303224,0.2197920033200084,1.0,0.4601769911504425,0.04468085106382979,0.015625,2
