,Ano/Mês,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos
68,Atual,HGIC11,Títulos e Val. Mob.,106.38,6.414103697730782e-05,0.10909090909090907,0.4451219512195122,0.2222222222222222,0.0,0.0,0.18564356435643564,0.6829025844930418,0.6648648648648648,0.8877843624545975,0.002624588376251,0.02672955101904852,0.7040816326530612,0.06617647058823531,0.0
69,Atual,HGLG11,Logística,169.9,0.14425319216196528,0.13986013986013984,0.3597560975609756,0.21777777777777774,0.3620689655172414,0.3464052287581699,0.2908415841584158,0.5540092776673294,0.5360890302066773,0.6583827184094818,0.7031893333613134,0.03883543657248819,0.8367346938775511,0.1862745098039216,0.265625
70,Atual,HGPO11,Lajes Corporativas,222.27,0.005955953433607154,0.1636363636363636,0.3231707317073171,0.21333333333333326,0.26436781609195403,0.2875816993464052,0.2871287128712871,0.6613651424784626,0.6378378378378379,0.6704263047218505,0.10382752120731492,0.06576763139924162,0.5816326530612245,0.0,0.03125
71,Atual,HGRE11,Lajes Corporativas,126.6,0.1688970948691752,0.09650349650349647,0.32926829268292684,0.2222222222222222,0.28735632183908044,0.3071895424836601,0.29826732673267325,0.41981444665341294,0.405087440381558,0.4911106862932517,0.5193545464319829,0.04505909981734298,0.4183673469387755,0.28700980392156866,0.328125
72,Atual,HGRU11,Híbrido,121.94,0.1761862655713821,0.09790209790209788,0.35365853658536583,0.2488888888888889,0.3160919540229885,0.35294117647058826,0.34034653465346537,0.5791915175612989,0.5602543720190779,0.6459567960237048,0.5639182827587527,0.030829618196858744,0.7040816326530612,0.0,0.25
73,Atual,HLOG11,Logística,113.0,0.003752250663172507,0.08811188811188811,0.3353658536585366,0.24,0.3160919540229885,0.35294117647058826,0.3341584158415842,0.5669317428760768,0.5475357710651828,0.6874402599885299,0.1313154616575284,0.03126544118055285,0.6224489795918368,0.20833333333333331,0.046875
74,Atual,HOSI11,Híbrido,80.5,0.007229611167870837,0.07552447552447553,0.4085365853658537,0.3022222222222222,0.37931034482758624,0.3202614379084967,0.4183168316831683,0.6640159045725648,0.6448330683624801,0.6801758745937678,0.01297232243625841,0.023753740582614823,0.5408163265306123,0.06617647058823531,0.03125
75,Atual,HPDP11,Shoppings,82.48,3.6652021129890176e-05,0.011188811188811187,0.060975609756097573,0.02666666666666666,0.1149425287356322,0.0,0.09777227722772278,0.6189529489728297,0.583147853736089,0.6553240298222137,0.0754547615771008,0.026068876687079096,0.4897959183673469,0.04044117647058824,0.015625
76,Atual,HREC11,Títulos e Val. Mob.,101.48,0.00026114565055046756,0.14545454545454545,0.6280487804878049,0.38666666666666666,0.32183908045977017,0.0,0.41336633663366334,0.5579854208084825,0.553577106518283,0.7505257121009367,0.022177371015023543,0.025294388709686373,0.7142857142857143,0.06617647058823531,0.0
77,Atual,HSAF11,Títulos e Val. Mob.,101.95,0.011586620179686534,0.15384615384615385,0.6585365853658537,0.4844444444444445,0.5632183908045977,0.0,0.6361386138613861,0.6653412856196157,0.6594594594594595,0.9906327662014912,0.022385642166073944,0.025505360345105182,0.7040816326530612,0.06617647058823531,0.0
78,Atual,HSLG11,Logística,105.49,0.0405325538670173,0.0811188811188811,0.3353658536585366,0.2355555555555556,0.0,0.0,0.3254950495049505,0.568257123923128,0.5488076311605723,0.6400305868858726,0.3459606404465888,0.02731805084416413,0.6734693877551021,0.05637254901960784,0.078125
79,Atual,HSML11,Shoppings,90.0,0.11050126220397766,0.04895104895104895,0.23170731707317074,0.12,0.2183908045977012,0.24183006535947715,0.21782178217821785,0.6845593108018555,0.6556438791732909,0.623590135729306,0.3996214820137188,0.02516669535140657,0.5918367346938775,0.06127450980392157,0.078125
80,Atual,HUSC11,Outros,131.0,0.00043066124827620964,0.1020979020979021,0.32926829268292684,0.24,0.2931034482758621,0.3202614379084967,0.3180693069306931,0.6282306163021869,0.6063593004769475,0.5203593959090039,0.026033278614897702,0.03414964551213364,0.6836734693877551,0.06617647058823531,0.0
81,Atual,IBFF11,Títulos e Val. Mob.,68.79,0.01116970343933403,0.04895104895104895,0.3048780487804878,0.2355555555555556,0.2988505747126437,0.35294117647058826,0.2561881188118812,0.5182239893969517,0.4988871224165342,0.5524756260753202,0.01407840345686849,0.02193549819841327,0.4693877551020408,0.06617647058823531,0.0
82,Atual,IFID11,Títulos e Val. Mob.,94.42,0.0008338334807050017,0.12307692307692307,0.573170731707317,0.0,0.0,0.0,0.2945544554455445,0.5271703114645461,0.5208267090620032,0.6515006690881284,0.017726986379741815,0.02454210827286405,0.6632653061224489,0.06617647058823531,0.0
83,Atual,IFIE11,Títulos e Val. Mob.,93.99,0.0025381524632448953,0.05734265734265734,0.25609756097560976,0.1955555555555556,0.2413793103448276,0.0,0.2165841584158416,0.5636182902584493,0.5405405405405405,0.8162875167272031,0.02017220202174284,0.022965372892365603,0.7244897959183674,0.06617647058823531,0.0
84,Atual,IRDM11,Títulos e Val. Mob.,131.39,0.23386280232190554,0.1622377622377622,0.5,0.38666666666666666,0.5517241379310345,0.5816993464052288,0.4368811881188119,0.6941683233929756,0.6788553259141494,0.7245268591091569,0.5673940178418305,0.025649709358812785,1.0,0.06617647058823531,0.0
85,Atual,JFLL11,Residencial,94.02,0.0034911050126220397,0.08671328671328671,0.39634146341463417,0.2888888888888889,0.0,0.0,0.33292079207920794,0.5781974817760107,0.5615262321144674,0.6717644809787803,0.03692000825808967,0.024925188347703464,0.6428571428571429,0.36764705882352944,0.03125
86,Atual,JPPA11,Títulos e Val. Mob.,99.6,0.0014156843161420086,0.14825174825174825,0.6463414634146342,0.4666666666666667,0.5229885057471264,0.0,0.5891089108910891,0.5964214711729622,0.5917329093799683,0.8269929267826419,0.01543810070068615,0.02681282929618752,0.6326530612244898,0.06617647058823531,0.0
