,Ativo,Setor,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Vacância Física,Qtd Ativos
0,AEFI11,Outros,16300.0,1132.0,0.05307601616643246,0.7032835270245341,0.7702304248116196,0.8504838329006372,0.9145781856689023,0.8107605416562705,0.28088664067165486,0.2725169546422009,0.686391653582134,0.03386175656440512,147.7483,0.6235141344521027,0.0,0.04878048780487805
1,BCRI11,Títulos e Val. Mob.,10250.0,1855.0,0.031323550524451946,0.6515403062165652,0.71617341924211,0.7350719848949728,0.7559712907400871,0.7085989067071927,0.7282774791864264,0.7225079209796896,0.628612953038423,0.03748013629561731,98.9812,0.5558885226251123,0.1377952755905512,0.0
2,BNFS11,Outros,11680.0,92.0,0.034660378753931756,0.6291274672569637,0.7239270503439992,0.7772008496577767,0.7740910695375928,0.7553700637376098,0.7072619173077599,0.7002234178972278,0.6896746817538897,0.01338586475839095,89.4127,0.8263909699330736,0.1377952755905512,0.43902439024390244
3,BBFI11B,Lajes Corporativas,2.1200099999999997,165.0,1.0,1.0,1.0,0.9943356148218079,1.0,0.9721459840769389,0.0,0.0,0.0,0.13450011308180082,2692.3614,0.3080611327539706,0.1377952755905512,0.04878048780487805
5,BBRC11,Outros,13001.0,693.0,0.03480394502716883,0.5346799483490131,0.6099159113246697,0.6786641491621429,0.6856100717731498,0.6230408056796789,0.5837504830154213,0.5711654305972352,0.5556025589452785,0.05166540634067649,96.4973,0.8673459194885625,0.1377952755905512,0.4634146341463415
6,RNDP11,Títulos e Val. Mob.,92003.0,58.0,0.22514236988762673,0.5188157166574433,0.6140657420552583,0.6641491621430257,0.7485586539592893,0.6401887177626058,0.7447395229564057,0.732916462858427,0.7771303998027588,0.034256808141998066,1043.1431,0.4025571870941964,0.1377952755905512,0.0
7,BCIA11,Títulos e Val. Mob.,11620.0,96.0,0.030453451898772722,0.5518354547131525,0.6387463142950748,0.6846825584139722,0.6961995528885752,0.6535033002926033,0.7145817964660836,0.7040175561519242,0.7910021670581212,0.07419879122769611,122.457,0.46938367795425034,0.1377952755905512,0.0
8,CARE11,Híbrido,195.0,32241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8243580285945129,0.7884800972991552,0.6736306658188754,0.03644758183005405,1.3711,0.9421636200179803,0.1377952755905512,0.0
9,CXRI11,Híbrido,1.03798,63.0,0.30453451898772727,0.6208264157904446,0.7057988424156383,0.7788529620014161,0.8083303918108014,0.7259282781772406,0.7536928724488003,0.7467489831621344,0.4620609112025226,0.06005127538792364,1099.9855,0.46408950154829687,0.1377952755905512,0.0
10,CPTS11B,Títulos e Val. Mob.,9968.0,3377.0,0.030453451898772722,0.6476664821988564,0.8254886971715628,0.8720793013924947,0.9008118602188492,0.8407467053780027,0.8327449327291249,0.8279021191650252,0.8007578215226502,0.028720683494634726,98.9802,0.5275197282988713,0.1377952755905512,0.0
11,CBOP11,Lajes Corporativas,7015.0,2521.0,0.020447317703461684,0.6021029330381849,0.6769684394452332,0.7288175595940524,0.7451464878220967,0.6974618368226462,0.6481540028805283,0.6392616192729884,0.5645043665572324,0.029628347093203503,71.4729,0.5019478573569074,0.1377952755905512,0.024390243902439025
12,ATSA11B,Shoppings,1.14,197.0,0.06525739692594155,0.12137981922154582,0.1437151905645954,0.1359452442766108,0.2002588539828215,0.1380225463288498,0.8243580285945129,0.79427926796487,0.5589063493505313,0.07750732681939347,1252.0786,0.43102587154130456,0.45275590551181105,0.024390243902439025
13,HGBS11,Shoppings,22764.0,5928.0,0.05220591754075324,0.4844124700239808,0.553456372174293,0.5911021949492565,0.598070361218967,0.5704402658380021,0.5454166227561739,0.5302187027660634,0.5512710379819109,0.511037406463013,231.3659,0.5043452202577166,0.12992125984251968,0.1951219512195122
14,GRLV11,Logística,12303.0,1884.0,0.03262869846297078,0.5529422615753551,0.6082778202468058,0.6831484540948783,0.7310271796681962,0.6460181005738654,0.35733919977517825,0.3434069686994611,0.8277720825817837,0.04039008199019437,117.9967,0.5630806113275397,0.14330708661417324,0.024390243902439025
15,HGJH11,Lajes Corporativas,15500.0,2141.0,0.03262869846297078,0.4364508393285372,0.490553674784318,0.5630162851073873,0.6091304859395223,0.5298387279696963,0.456787683984965,0.4387099048601104,0.8525881421693939,0.06825855253934862,116.8534,0.8464688842273499,0.11220472440944883,0.04878048780487805
16,HGLG11,Logística,13450.0,23352.0,0.0378492902170461,0.5943552850027669,0.6699792508463471,0.743568562662261,0.7727967996234851,0.7106176423889129,0.6398900481259001,0.6305628632744162,0.8292669633935871,0.3755507582989836,116.9913,0.6699630406552792,0.3582677165354331,0.1951219512195122
17,HGRE11,Lajes Corporativas,13710.0,3728.0,0.03480394502716883,0.5366168603578675,0.5948454734083215,0.6595468491857446,0.6957289092834452,0.612606890920226,0.4162187796395826,0.40214340168070195,0.5223881759080232,0.45195518692189235,149.4446,0.43791828988113074,0.36811023622047245,0.4634146341463415
19,DOMC11,Lajes Corporativas,47550.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36374574068219334,0.32622978993429663,0.5258398972269441,0.08677639927086961,992.6755,0.0,0.1377952755905512,0.024390243902439025
