,Ativo,Setor,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Vacância Física,Qtd Ativos
1,BCRI11,Títulos e Val. Mob.,10520.0,1712.0,0.050042257906676754,0.8355289028706252,0.6569182655734933,0.7705129583826219,0.7053552148564025,0.8256954323939825,0.6257697922280416,0.6613128194207837,0.805201313288405,0.03643240772842533,96.8327,0.712806127953393,0.0676829268292683,0.0
2,BNFS11,Outros,11565.0,56.0,0.04786819981317557,0.7153952025167125,0.6116135576029076,0.7454565006989999,0.7295400561433815,0.8325362472379453,0.8026977391522738,0.8360785775127768,0.7964748574390876,0.013487561174576139,89.4679,0.9352680979609451,0.0676829268292683,0.43902439024390244
5,BBRC11,Outros,13191.0,625.0,0.050042257906676754,0.6554266614235155,0.5778885977516693,0.6679212818582644,0.6481321528827466,0.7261555225958773,0.4528863611391617,0.47438777683134586,0.578427016218618,0.052372057919185346,97.5197,1.0,0.0676829268292683,0.4634146341463415
6,RNDP11,Títulos e Val. Mob.,95000.0,72.0,0.31523286330679245,0.5806134486826582,0.4816160933141746,0.6086675986665233,0.6268624487151803,0.6858673608378484,0.5978244376657964,0.6187819420783647,0.9503320249821028,0.03506208614257778,1059.819,0.5078217714963859,0.0676829268292683,0.0
7,BCIA11,Títulos e Val. Mob.,10451.0,225.0,0.03892175614963747,0.6245576091230829,0.5435719719381287,0.6602860522636843,0.6442453033901965,0.7280170717680177,0.543241786702804,0.5652789608177172,0.702949961736898,0.06450386616543217,108.8378,0.5766533606645808,0.0676829268292683,0.0
8,CARE11,Híbrido,185.0,43617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5814213883206103,0.5705547274275979,0.6943099064405441,0.05334707683753098,1.4394,0.9272844967094617,0.0676829268292683,0.0
9,CXRI11,Híbrido,95300.0,24.0,0.3892175614963747,0.7274872198191112,0.6159242667568253,0.739326809334337,0.7433599654502268,0.8152223264824288,0.303835749752777,0.3254205706984668,0.3335727862944038,0.05305059150080293,994.2457,0.5748192901068077,0.0676829268292683,0.0
10,CPTS11B,Títulos e Val. Mob.,9950.0,1337.0,0.04448200702815711,0.7864726700747149,0.6936860789451441,0.8477255618883751,0.831353919239905,0.9335896116475466,0.6369406089272354,0.6700862436115843,0.8880298205337087,0.027695353169976154,96.3996,0.6543316431114468,0.0676829268292683,0.0
11,CBOP11,Lajes Corporativas,6744.0,741.0,0.0261331791290423,0.6764648053480141,0.5825374017411884,0.7038391224862889,0.6853811271863528,0.7782788994158065,0.5433987536821838,0.5682336030664396,0.5156878718309511,0.02967888685969349,71.459,0.5589599741072392,0.08536585365853659,0.024390243902439025
12,ATSA11B,Shoppings,1.09,24.0,0.05560250878519639,0.09014942980731419,0.08029752345532921,0.12184105817829875,0.12211185489095228,0.13521203499107062,0.36341518289269215,0.35342312606473597,0.48813350119726484,0.0775485690364774,1252.9222,0.47933973459920165,0.27317073170731704,0.024390243902439025
13,HGBS11,Shoppings,20499.0,8135.0,0.06394288510297584,0.570389303971687,0.49167441467331585,0.5853317561028067,0.5507449794860722,0.6447467990434967,0.5606494247160206,0.5801852640545144,0.4027376632353305,0.511209011664227,231.7647,0.49498327759197325,0.08207317073170732,0.1951219512195122
14,GRLV11,Logística,11696.0,706.0,0.04170188158889729,0.6172827369248918,0.5440791141915308,0.6455532852994945,0.6530986827898941,0.7233102279262645,0.6012096921877534,0.6242387137989779,0.771142215310178,0.0404105051775346,117.9507,0.6105297227316863,0.08878048780487806,0.024390243902439025
15,HGJH11,Lajes Corporativas,14006.0,1254.0,0.04170188158889729,0.5156311443177348,0.4304792494294649,0.5153242284116573,0.5395163031742604,0.5847534582437873,0.3707298441317895,0.3829748722316865,0.6430373497247526,0.06816712922871049,116.7281,0.8352573093106053,0.0,0.04878048780487805
16,HGLG11,Logística,12700.0,10614.0,0.04170188158889729,0.5850373574518285,0.5035922576282648,0.6501774384342403,0.6811703735694234,0.744649937948361,0.588490134625346,0.6094708262350937,0.7122121010145894,0.3716158517786599,115.9577,0.7223001402524544,0.07317073170731707,0.2682926829268293
17,HGRE11,Lajes Corporativas,12790.0,13504.0,0.04448200702815711,0.6317341722375146,0.5527850562082665,0.6444779008495538,0.6408982941049449,0.7056784817023337,0.69960182709564,0.7257825809199319,0.37222592510306357,0.4458534273845519,147.684,0.4750242744632647,0.24414634146341463,0.4634146341463415
18,HGCR11,Títulos e Val. Mob.,10680.0,4922.0,0.04281393176460122,0.7108729846637828,0.6748372918603668,0.8061081836756642,0.7844957892463831,0.8961164754669008,0.33824814386546886,0.3598381601362862,0.9593201510775383,0.09964580587212715,102.9956,0.6594023087711727,0.0676829268292683,0.0
19,DOMC11,Lajes Corporativas,48551.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154309005195607,0.1359774275979557,0.363694487644721,0.08546642772415841,971.8172,0.07972812601143597,0.0676829268292683,0.024390243902439025
20,FIXX11,Títulos e Val. Mob.,7720.0,192.0,0.02946932965615409,0.6432363350373573,0.5340207928323895,0.6386708248198731,0.6604405096091557,0.6872900081726548,0.7687667104430133,0.7972529812606474,0.4514404206472636,9.431359358598572e-05,84.1366,0.5306937102168519,0.0676829268292683,0.0
21,VRTA11,Títulos e Val. Mob.,10750.0,2516.0,0.05449045860949246,0.8850766810853322,0.6950384582875496,0.8075061834605872,0.7474627510256964,0.8652874050307231,0.7003918942251849,0.740625,0.7946481028907157,0.08126884504833258,99.8057,0.7027726831373395,0.0676829268292683,0.0
22,BRCR11,Híbrido,9700.0,30843.0,0.019460878074818735,0.35843491938655125,0.32955794100245117,0.37971824927411557,0.419455841071043,0.37096285982383387,0.8707272280154666,0.8853971465076661,0.5331259720062209,1.0,125.2346,0.3763081238537059,0.4195121951219512,0.2682926829268293
24,PQDP11,Shoppings,2.799,42.0,0.7290712156932521,0.4523200943767204,0.4019102358211478,0.47596515754382196,0.4625350896134744,0.4550958016769077,0.5090020562674299,0.5210232112436116,0.42662371324890763,0.2649998367025424,2769.5535,0.631028158377387,0.03048780487804878,0.024390243902439025
25,PRSV11,Lajes Corporativas,31001.0,41.0,0.08173568791423869,0.46028313016122685,0.2667568252894937,0.2759436498548231,0.2694882314834809,0.27691679026545996,0.514469739382492,0.5270389693356048,0.17094472833197563,0.020456963402701294,406.1224,0.3642248354730823,0.0676829268292683,0.04878048780487805
26,TBOF11,Lajes Corporativas,7500.0,11677.0,0.014879231350918554,0.35086511993708214,0.2313413912602485,0.2604581137756748,0.24649103865255884,0.2862094015800466,0.4621212517593383,0.46773317717206137,0.5126836011750476,0.32410981756523993,79.6995,0.5559391520120833,0.3439024390243902,0.024390243902439025
27,VLOL11,Lajes Corporativas,7995.0,876.0,0.018832569725546016,0.39874164372788046,0.35618290930606034,0.4441337778255726,0.4397538328654718,0.47628416623785447,0.37610334705922366,0.3823999148211244,0.5888123626848355,0.04308034257483612,74.5001,0.698565109504801,0.0,0.024390243902439025
28,AGCX11,Outros,98796.0,477.0,0.4031181886926738,0.7142154935116004,0.5976671456343504,0.7007205075814603,0.6773914921183329,0.7635378514998334,0.4685673623792008,0.49356899488926753,0.2608482065713792,0.1687758949384321,1066.0482,0.5405113820261085,0.0676829268292683,1.0
29,BBVJ11,Lajes Corporativas,4602.0,939.0,0.0016680752635558915,0.060656704679512376,0.04344518637477812,0.027637380363479947,0.10850788166702656,0.023337470109271424,1.0,1.0,0.22836406724431613,0.05573762702669209,60.1684,0.3659510195274571,0.8145121951219513,0.024390243902439025
30,BMLC11B,Lajes Corporativas,7300.0,270.0,0.022797028601930516,0.5407982697601258,0.41129236750908627,0.5194106893214324,0.5467501619520622,0.5621575808941489,0.26239646719651744,0.27345613287904597,0.4906341800587525,0.02260923008788078,84.4445,0.47340597691228825,0.23170731707317074,0.04878048780487805
31,BPFF11,Títulos e Val. Mob.,8769.0,2148.0,0.03336150527111783,0.6362563900904443,0.5975826219254501,0.7214754274653189,0.7307277045994385,0.8044919332869207,0.5870721995782822,0.6107964224872232,0.611175294379027,0.06075079552593091,87.4864,0.6220735785953178,0.0676829268292683,0.0
32,CXCE11B,Outros,2.03992,13.0,1.0,0.8159653952025165,0.6870087059420167,0.8413807936337241,0.8141870006478082,0.9282471168689651,0.3878967994432904,0.4162052810902896,0.5560122441926486,0.05362235262438364,2306.3771,0.49498327759197325,0.0676829268292683,0.024390243902439025
34,CTXT11,Lajes Corporativas,407.0,4219.0,0.0015235087407143811,0.6650609516319307,0.5699433691150367,0.7147005054306915,0.6831137983156986,0.7111874564881798,0.5557101970982038,0.5802331771720614,0.5540077513638945,0.03957823181228413,3.4319,0.8201531988348257,0.06707317073170732,0.024390243902439025
35,FLMA11,Híbrido,231.0,23128.0,0.0006783506071793959,0.5191702713330711,0.4710506297016313,0.5614582213141198,0.5181386309652343,0.5935466295365802,0.5143389335663421,0.5300574957410562,0.5330914117850355,0.06447863795408187,2.663,0.47664257201424104,0.0676829268292683,0.024390243902439025
37,EURO11,Logística,15601.0,156.0,0.050042257906676754,0.5143531262288635,0.4363113853435889,0.5936122163673514,0.5874541135823796,0.6518903048097587,0.5481757820879748,0.5644058773424191,0.4421486583228419,0.037329609560937914,310.7297,0.08242528859639658,0.29829268292682926,0.14634146341463414
39,ABCP11,Shoppings,1616.0,37563.0,0.004726213246741693,0.5119937082186394,0.465133970078607,0.5708140660286053,0.5669401857050314,0.6611980506704604,0.7707758877790742,0.7919505962521295,0.7054703892962059,0.3174382325317261,12.8668,0.8956737512137232,0.021951219512195124,0.024390243902439025
40,GWIR11,Híbrido,17300.0,5921.0,0.07561941194786709,0.6258356272119544,0.4986898825120446,0.6734057425529627,0.6472684085510689,0.4350273935284681,0.5726207730100511,0.5954322827938672,0.4683823347897998,0.014717044039564892,171.5893,0.6284388822958248,0.0676829268292683,0.04878048780487805
41,FIIB11,Híbrido,39900.0,840.0,0.14901472354432632,0.6586708611875737,0.5610683796805003,0.6813635874825251,0.6633556467285683,0.6618488361534037,0.6610978270537822,0.6878353918228279,0.6815176874274853,0.09970022979119143,390.5926,0.6427877872478153,0.011585365853658536,0.024390243902439025
