,Ativo,Dividendo,Dividend Yield,Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Vacância Física,Qtd Ativos
0,AEFI11,0.06503678820063,0.8145514756014416,0.8057473598700243,0.9006734006734006,0.7964094021839719,0.16782048049562373,0.21410594045682357,0.37002871492591893,0.03279826222277203,132.2936,0.5929287199848743,0.0,0.07142857142857142
1,BCRI11,0.052029430560504006,0.7999415603389501,0.9396831844029244,1.0,1.0,0.789640888952923,0.8479613647803789,0.42480779176377154,0.04163859550611682,97.4165,0.6972962752883343,0.20943396226415092,0.0
2,BNFS11,0.0420703189064771,0.6059218856530633,0.6456133225020309,0.6791877104377104,0.6021654636313158,0.3839858804884199,0.41981514039554413,0.4168230082942208,0.014853584264680201,89.0822,0.8792777462658348,0.20943396226415092,0.0
4,BBPO11,0.05400881107095796,0.6868608162072661,0.7174045491470349,0.8223905723905723,0.7191375161947067,0.6968051003133667,0.7446617594490688,0.5360472941537968,0.7005557564352809,93.1922,0.9841179807146909,0.20943396226415092,0.0
5,BBRC11,0.047505132250894956,0.6524788156228695,0.6674451665312754,0.733270202020202,0.6777716083657228,0.5662068220293196,0.6089278288844956,0.5107167046430758,0.05874491903678561,96.4338,0.8396672338816411,0.20943396226415092,0.0
6,RNDP11,0.5234386929302183,0.8924710236680627,0.9019090170593014,0.9882154882154882,0.9511382565241533,0.43718618304938234,0.4948167818087644,0.3794503266403969,0.038734091983029795,1040.6857,0.5278880695783702,0.20943396226415092,0.0
7,BCIA11,0.047505132250894956,0.6956267653647609,0.6451056051990252,0.7240109427609428,0.7321858226910976,0.5175881568994706,0.5625378436936904,0.3699919286606121,0.03115846512871445,117.2423,0.558612214029117,0.20943396226415092,0.0
8,CARE11,0.0,0.0,0.0,0.0,0.0,0.6610596837517559,0.6567622577091707,0.3400500725987765,0.008554257876227616,1.2839,0.846001134429949,0.20943396226415092,0.0
9,CXRI11,0.4524298309609044,0.7666309535404695,0.7681762794476035,0.8051346801346801,0.7714232833610957,0.6850988726002234,0.738723491176492,0.4387606058048727,0.06926806564239699,1111.4685,0.474758933635848,0.20943396226415092,0.0
10,CPTS11B,0.03958761020907913,0.6846206292003506,0.9487205523964257,0.851010101010101,0.0,0.6313943017685409,0.6777869372688343,0.4377587210497501,0.03306334568118906,100.1004,0.550860276044621,0.20943396226415092,0.0
11,CBOP11,0.27711327146355397,0.666406934839778,0.6909017059301381,0.7421085858585859,0.6864704793633167,0.7001260670676801,0.7465074374256805,0.541348844153905,0.03492020774010759,734.6221,0.5319531102287767,0.1320754716981132,0.03571428571428571
12,ATSA11B,0.2262149154804522,0.3745982273302815,0.19618196588139725,0.10164141414141414,0.06755506200259115,0.7574253502863524,0.7827863171793955,0.3893371764161089,0.0959013535987633,1342.9498,0.34240877292493854,0.4573584905660377,0.03571428571428571
13,HGBS11,0.7012662379894018,0.5678387065355021,0.5810316815597076,0.649621212121212,0.6252082176568573,0.6405719842956453,0.678421617047353,0.49331247335700634,0.546694764772909,2166.8941,0.5382870107770845,0.12811320754716982,0.2857142857142857
14,GRLV11,0.4015314749778026,0.6915359890912632,0.7210601137286758,0.7687289562289562,0.689524338330557,0.6968195079782444,0.7450265179424702,0.6427858887886282,0.042100403131477025,1106.9201,0.46435999243713366,0.1320754716981132,0.03571428571428571
15,HGJH11,0.42415296652584783,0.5693970974968345,0.6005280259951259,0.6461489898989898,0.5698685915232279,0.740820516514786,0.7806561275779307,0.6550660097072462,0.06720095730526206,1035.4929,0.7815276989979202,0.2358490566037736,0.07142857142857142
16,HGLG11,0.49201744116998347,0.6770234732638551,0.7148659626320064,0.7638888888888888,0.6946141032759579,0.6596477325937399,0.7060265398279799,0.6633320999114964,0.16680418746166578,1109.3821,0.6769710720363018,0.20943396226415092,0.2857142857142857
17,HGRE11,0.5316050513790627,0.6628031557416967,0.6983143785540211,0.7771464646464646,0.7082176568573014,0.8528833339336528,0.9019820976531439,0.5807036563383816,0.513436932305729,1484.1405,0.490168273775761,0.5641509433962264,0.7857142857142857
18,HGCR11,0.5089835598310174,0.8501996688419208,0.873578391551584,0.978114478114478,0.8803442531926707,0.4876634369484566,0.5433223662612985,0.48932873721406794,0.03664017012589405,1026.7879,0.5595575723199092,0.20943396226415092,0.0
19,DOMC11,0.0,0.0,0.0,0.0,0.0,0.17379245758743656,0.16331696783559607,0.0,0.06570371263948249,958.5888,0.031858574399697484,0.20943396226415092,0.0
20,FIXX11,0.03110455087856218,0.5947209506184865,0.6805442729488221,0.7656776094276094,0.7531001295576532,0.7306126859489249,0.7721645498515434,0.4308558865598134,0.0,86.2661,0.5974664397806769,0.20943396226415092,0.0
21,VRTA11,0.05542265429271078,0.8473750852245058,0.8669780666125102,0.9283459595959596,0.9361465852304276,0.4410618449014876,0.49550252777635934,0.2695524409850929,0.0690941119715785,103.1455,0.6427491019096238,0.20943396226415092,0.0
22,BRCR11,0.03223562545596444,0.550209408785429,0.6245938261575954,0.7779882154882154,0.7466222468998704,0.3309152469113568,0.3617528834158904,0.5068519828878949,1.0,109.4559,0.48175458498771034,0.6264150943396227,0.35714285714285715
23,BCFF11B,0.028276864435056524,0.6869582156423494,0.7493907392363932,0.7974537037037037,0.7179344808439756,0.6119223426863091,0.6581118641347563,0.4462152342744125,0.1711315264300151,91.6223,0.341747022121384,0.20943396226415092,0.0
26,HCRI11B,0.13226786108142038,0.7222168111424955,0.7687855402112104,0.8645833333333333,0.7912270960577457,0.9118827216078954,0.9667486157415175,0.6325398319516844,0.013531404291339007,298.0856,0.6106069200226886,0.0,0.03571428571428571
27,PQDP11,0.7143075278668498,0.48982175903379765,0.5714865962632006,0.6273148148148148,0.5682028502683694,0.7728559593703851,0.8072397265770334,0.8786788970179322,0.2767582880856018,2537.768,0.5458498771034221,0.03018867924528302,0.03571428571428571
