,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos
0,FIVN11,Shoppings,3.95,0.004132203549785301,0.0,0.0,0.0,0.0,0.0,0.0,0.7246973989183622,0.7131272174353775,0.6089408528198075,0.016643549469250677,0.0014898158854398291,0.2,0.6407322654462242,0.015625
1,BZLI11,Títulos e Val. Mob.,14.9,0.20448677762273587,0.0,0.0,0.0,0.0,0.0,0.0,0.7422096317280453,0.7303598580841358,0.6246217331499313,0.1102872931827372,0.002868451480921462,0.784,0.06864988558352403,0.0
3,ALMI11,Lajes Corporativas,1170.1,0.0004920894928781843,0.0,0.0,0.0,0.0,0.0,0.0,0.7831573525624518,0.7706538266599088,0.2198074277854196,0.05582045699393631,0.6333115208193034,0.256,0.8145308924485125,0.015625
4,DOMC11,Lajes Corporativas,439.0,0.0002763790302466514,0.0,0.0,0.0,0.0,0.0,0.0,0.8367241823332475,0.8233654333502282,0.47138927097661626,0.06672407868571256,0.3420191611288293,0.112,0.26819221967963386,0.015625
10,ATSA11,Shoppings,118.0,6.740951957235401e-06,0.017205781142463867,0.11392405063291139,0.15267175572519084,0.16666666666666666,0.1798561151079137,0.033605812897366034,0.7437548287406645,0.7364419665484034,0.6240715268225585,0.04729766651749108,0.03412599585774006,0.64,0.21853546910755148,0.015625
11,XPHT11,Hotel,91.19,0.00041793902134859486,0.023399862353750862,0.25316455696202533,0.2671755725190839,0.2803030303030303,0.0,0.09536784741144415,0.25418490857584347,0.2584896097313735,0.37661623108665754,0.12176776220385285,0.03874474276057483,0.368,1.0,0.078125
12,HTMX11,Hotel,124.94,0.015558117117299305,0.0,0.0,0.20610687022900764,0.2803030303030303,0.32374100719424465,0.07266121707538602,0.0,0.0,0.16519944979367268,0.0452868993660214,0.04495177951995527,0.48,0.9496567505720823,0.359375
13,BPML11,Shoppings,99.49,0.00037075235764794703,0.019270474879559536,0.1962025316455696,0.0,0.0,0.0,0.02815622161671208,0.7246973989183622,0.7209832742017233,0.6132049518569465,0.1504868632128915,0.0422707462421062,0.368,0.06864988558352403,0.109375
14,RBGS11,Shoppings,39.5,0.013670650569273394,0.003441156228492774,0.07594936708860758,0.030534351145038167,0.19696969696969696,0.2733812949640288,0.13987284287011809,0.8611898016997167,0.8507349214394323,0.12063273727647872,0.022529068804194644,0.0268262156770562,0.144,0.15446224256292906,0.015625
15,WPLZ11,Shoppings,75.0,0.010515885053287224,0.003441156228492774,0.03797468354430379,0.09160305343511449,0.26515151515151514,0.302158273381295,0.19346049046321526,0.7074426989441154,0.6979219462747085,0.2756533700137552,0.02272091013083531,0.028611453475813526,0.432,0.08581235697940504,0.015625
16,GSFI11,Shoppings,3.17,0.05297714143191302,0.0,0.018987341772151896,0.007633587786259542,0.0,0.0,0.0027247956403269754,0.7246973989183622,0.713887480993411,0.609353507565337,0.2102607799041334,0.002855745162069097,0.0,0.06864988558352403,0.15625
17,FVPQ11,Shoppings,146.99,0.00639042245545916,0.005505849965588438,0.03164556962025317,0.1297709923664122,0.12121212121212122,0.2877697841726619,0.15622161671207993,0.6250321916044296,0.6163203243791181,0.24855570839064653,0.1536597381110765,0.0668670029605723,0.336,0.08810068649885583,0.015625
18,NEWU11,Lajes Corporativas,43.5,0.00033704759786177006,0.0,0.0,0.0,0.06818181818181818,1.0,0.055404178019981834,0.6206541334020088,0.6107450582868728,0.1740027510316369,0.011332054292346431,0.020990838744107444,0.288,0.5526315789473684,0.046875
20,PRSV11,Lajes Corporativas,163.9,0.00014830094305917882,0.11149346180316587,0.26582278481012656,0.3893129770992366,0.3636363636363636,0.3597122302158274,0.405086285195277,0.8611898016997167,0.858590978205778,0.45419532324621736,0.010061034638241194,0.07451938348940929,0.336,0.41590389016018303,0.03125
23,FLMA11,Híbrido,3.02,0.35933318503239026,0.0006882312456985548,0.15189873417721517,0.16793893129770993,0.14393939393939392,0.18705035971223025,0.22706630336058128,0.6649497810970899,0.6601621895590472,0.2840440165061898,0.05025916056122393,0.0,0.616,0.06864988558352403,0.03125
24,SCPF11,Shoppings,9.04,0.009221622277498029,0.0013764624913971096,0.12658227848101267,0.09160305343511449,0.12878787878787878,0.2589928057553957,0.2025431425976385,0.7594643317022921,0.752660922453117,0.09105914718019263,0.010586094344240883,0.0027318585532585355,0.416,0.2997711670480549,0.015625
25,VGIP11,Outros,98.94,0.10069634033718242,0.06882312456985547,0.6265822784810127,0.6564885496183206,0.5984848484848485,0.0,0.5358764759309719,0.7571465361833635,0.7704004054738975,0.9266850068775792,0.03921862449003584,0.02937065602724235,0.616,0.06864988558352403,0.0
26,QAGR11,Outros,83.18,0.10363539539053705,0.025464556090846524,0.27848101265822783,0.3129770992366412,0.28787878787878785,0.0,0.2706630336058129,0.7004893123873294,0.7004561581348201,0.4499312242090784,0.12482144049036774,0.02976137533195258,0.472,0.06864988558352403,0.1875
27,BRCR11,Híbrido,87.3,0.6568855453767181,0.03234686854783207,0.33544303797468356,0.3893129770992366,0.3712121212121212,0.3597122302158274,0.4087193460490463,0.637651300540819,0.6406487582361886,0.4160935350756534,0.7338257326353215,0.03276006658111079,0.44,0.19221967963386727,0.21875
28,MAXR11,Outros,1979.69,0.00020222855871706203,0.799036476256022,0.36708860759493667,0.4580152671755725,0.47727272727272724,0.4388489208633094,0.4604904632152589,0.8246201390677312,0.8269133299543843,0.4628610729023384,0.032473706091212126,0.7087171700486653,0.496,0.0,0.125
29,FAED11,Outros,208.89,0.0011998894483879012,0.08740536820371646,0.38607594936708856,0.4580152671755725,0.45454545454545453,0.43165467625899284,0.5495004541326067,0.6330157095029617,0.6378611251900659,0.3452544704264099,0.03229704718735617,0.06421138232042796,0.6,0.0,0.046875
30,DRIT11B,Lajes Corporativas,139.99,0.0001415599911019434,0.034411562284927734,0.23417721518987342,0.25190839694656486,0.22727272727272727,0.24460431654676262,0.3006357856494096,0.6052021632758177,0.604409528636594,0.4491059147180193,0.0137258112450222,0.0404791552839227,0.64,0.27139588100686496,0.09375
31,ONEF11,Lajes Corporativas,148.37,0.0026626760231079835,0.04404679972470751,0.2721518987341772,0.3282442748091603,0.3181818181818182,0.2949640287769784,0.3778383287920073,0.7334535153232038,0.7326406487582362,0.5242090784044017,0.034661786711030325,0.04815377187075132,0.552,0.11784897025171624,0.015625
32,MBRF11,Outros,1030.5,0.0018470208362824998,0.4748795595320028,0.34177215189873417,0.4961832061068702,0.5151515151515151,0.48920863309352525,0.6276112624886467,0.7267576616018543,0.728839330968069,0.6675378266850068,0.03205584079312645,0.4076091790447389,0.424,0.0,0.03125
33,NCHB11,Títulos e Val. Mob.,93.19,0.005621953932334324,0.035788024776324846,0.36708860759493667,0.23664122137404578,0.11363636363636363,0.0,0.08356039963669391,0.6049446304403813,0.6092245311708059,0.5569463548830812,0.011556602107896963,0.028030139388317814,0.6,0.06864988558352403,0.0
35,THRA11,Lajes Corporativas,132.15,0.0034918131138479374,0.03922918100481762,0.2721518987341772,0.32061068702290074,0.3484848484848485,0.3165467625899281,0.3950953678474114,0.6837496780839557,0.6834769386720729,0.5055020632737276,0.043754227326535965,0.0369626815415306,0.672,0.11224256292906179,0.015625
36,MGFF11,Títulos e Val. Mob.,84.4,0.12886677856646916,0.034411562284927734,0.36075949367088606,0.41984732824427484,0.43939393939393934,0.4460431654676259,0.5576748410535877,0.6458923512747876,0.6495184997465788,0.340302613480055,0.20059134367240278,0.026371964778084143,0.568,0.06864988558352403,0.0
37,CEOC11,Lajes Corporativas,70.0,0.024233722286261267,0.021335168616655197,0.27848101265822783,0.3969465648854962,0.43939393939393934,0.43165467625899284,0.5495004541326067,0.44939479783672426,0.45210339584389253,0.31389270976616235,0.044317203089158895,0.03018386043379373,0.352,0.0,0.015625
38,BTCR11,Títulos e Val. Mob.,84.2,0.01110908882552394,0.03303509979353063,0.36075949367088606,0.3511450381679389,0.3409090909090909,0.3525179856115108,0.44141689373297005,0.7308781869688386,0.7336543335022807,0.4372764786795048,0.11907246634542602,0.029770905071091855,0.48,0.06864988558352403,0.0
39,FEXC11,Títulos e Val. Mob.,91.82,0.00973393462624792,0.03234686854783207,0.310126582278481,0.35877862595419846,0.47727272727272724,0.4820143884892087,0.631244323342416,0.6221993304146279,0.6241763811454638,0.5063273727647868,0.08628314927860045,0.030536460781946866,0.528,0.06864988558352403,0.0
40,RBRL11,Logística,110.02,0.016872602748960207,0.04473503097040606,0.3734177215189873,0.4427480916030534,0.4621212121212121,0.0,0.42415985467756584,0.6796291527169714,0.6832235174860618,0.8330123796423659,0.0839918946945195,0.0317308547540692,0.64,0.0,0.078125
41,RBRP11,Outros,93.61,0.21767207965108834,0.03991741225051617,0.3924050632911392,0.47328244274809156,0.43939393939393934,0.36690647482014394,0.5068119891008175,0.6958537213494721,0.7002027369488089,0.7236588720770288,0.18818273478877584,0.026190899734437938,0.664,0.09153318077803203,0.1875
42,RECR11,Títulos e Val. Mob.,108.49,0.20744605553196221,0.09015829318651067,0.8164556962025317,0.8931297709923663,0.7045454545454546,0.6187050359712231,0.8274296094459582,0.8462528972443987,0.866953877344146,0.6629986244841816,0.21541495764268717,0.029723256375395486,0.68,0.06864988558352403,0.0
43,RECT11,Híbrido,94.32,0.1525612246961516,0.04955264969029594,0.47468354430379744,0.564885496183206,0.5909090909090909,0.5611510791366907,0.7275204359673024,0.7010043780582024,0.7085656360871769,0.6210453920220083,0.1725905119808418,0.029605722926011106,0.568,0.15789473684210525,0.125
44,BCFF11,Títulos e Val. Mob.,89.92,0.27453875036232617,0.034411562284927734,0.35443037974683544,0.3969465648854962,0.3712121212121212,0.3597122302158274,0.4568574023614896,0.6852948750965748,0.6882919412062848,0.5144429160935351,0.4434087497404317,0.02548887561784476,0.648,0.06864988558352403,0.0
45,BMLC11B,Lajes Corporativas,95.72,0.0009100285142267791,0.03991741225051617,0.38607594936708856,0.4580152671755725,0.4621212121212121,0.41007194244604317,0.5349682107175295,0.7293329899562194,0.7331474911302585,0.5456671251719395,0.02243705828304829,0.028925934867409565,0.6,0.019450800915331808,0.03125
46,LASC11,Shoppings,103.99,0.0020155446352133847,0.021335168616655197,0.20253164556962025,0.22900763358778625,0.1818181818181818,0.0,0.14713896457765668,0.6721607004893124,0.6695387734414597,0.5753782668500689,0.060661855529727436,0.02942148130265181,0.656,0.06864988558352403,0.046875
47,JRDM11,Shoppings,75.0,0.012288755418040136,0.006194081211286993,0.07594936708860758,0.03816793893129771,0.04545454545454545,0.1510791366906475,0.06902815622161672,0.7079577646149885,0.6996958945767866,0.24814305364511693,0.057688522159459465,0.027925312257785797,0.448,0.05377574370709382,0.015625
48,CVBI11,Títulos e Val. Mob.,99.28,0.1392141398208255,0.06882312456985547,0.6329113924050632,0.6335877862595419,0.553030303030303,0.5179856115107914,0.6693914623069936,0.8362091166623744,0.8492143943233653,0.6551581843191197,0.09064413824434467,0.031108245130303303,0.568,0.06864988558352403,0.0
49,CPFF11,Híbrido,79.78,0.03247790652996016,0.04129387474191328,0.46835443037974683,0.36641221374045796,0.29545454545454547,0.0,0.3914623069936421,0.7898532062838013,0.796502787633046,0.35955983493810184,0.08212873961060242,0.02489485521149668,0.568,0.06864988558352403,0.0
50,RVBI11,Títulos e Val. Mob.,91.6,0.03623261677014028,0.042670337233310394,0.43037974683544306,0.5038167938931297,0.45454545454545453,0.0,0.38964577656675753,0.6814318825650271,0.6875316776482514,0.546079779917469,0.03346215412457441,0.02911017649076886,0.56,0.06864988558352403,0.0
51,CPTS11,Títulos e Val. Mob.,96.8,0.42743702265633954,0.06194081211286993,0.5822784810126582,0.6183206106870229,0.5681818181818181,0.49640287769784175,0.6503178928247049,0.6711305691475664,0.6832235174860618,0.5742778541953232,0.20349815769750507,0.028760752722328815,0.616,0.06864988558352403,0.0
52,RCRB11,Lajes Corporativas,168.8,0.05201992625398559,0.05849965588437715,0.310126582278481,0.3740458015267175,0.4090909090909091,0.32374100719424465,0.43051771117166215,0.6886428019572496,0.6898124683223517,0.08459422283356266,0.18188303575106846,0.059834055475788114,0.488,0.09382151029748283,0.15625
53,TORD11,Outros,12.08,0.5728326154219499,0.011011699931176877,0.8987341772151898,0.8473282442748092,0.7424242424242424,0.0,0.6357856494096277,0.8259078032449138,0.8502280790674099,0.8667125171939478,0.008700327387145872,0.00243008348051486,0.696,0.06864988558352403,0.0
