,Ativo,Setor,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Vacância Física,Qtd Ativos
0,AEFI11,Outros,15655.0,1417.0,0.062369956085416164,0.6741000877963126,0.5061803940766124,0.5614940987124464,0.7739692001987084,0.786240067300043,0.5429395285835958,0.5558915954650017,0.6956959096964679,0.03399727641738408,151.439,0.6085152622740294,0.0,0.04878048780487805
1,BCRI11,Títulos e Val. Mob.,10635.0,3313.0,0.06288118523365728,1.0,0.6169991433117121,0.5987124463519313,0.7529061102831596,0.775468402812703,0.2521164482663082,0.28138863785737755,0.8060976487955929,0.036940347506481216,99.9884,0.6380519608811617,0.07036981584069471,0.0
2,BNFS11,Outros,12130.0,118.0,0.04336756864529388,0.5962247585601405,0.43323950556847385,0.48001609442060084,0.682762046696473,0.6972321028520222,0.34898564406727484,0.35572420308905683,0.8619162495949303,0.01250891036383806,89.4895,0.9264052158451052,0.07036981584069471,0.43902439024390244
5,BBRC11,Outros,13970.0,994.0,0.04601062334170045,0.5631255487269534,0.39860482193122015,0.44769313304721026,0.6172876304023845,0.6174230301478589,0.25975618515972126,0.2639099983568846,0.6076697692003025,0.05132444778146217,97.6956,1.0,0.07036981584069471,0.4634146341463415
6,RNDP11,Títulos e Val. Mob.,93001.0,55.0,0.25232225840588524,0.46093064091308167,0.3251743972585974,0.3692328326180257,0.5531048186785892,0.5601631294519984,0.27474320427702126,0.273090905356556,0.8058613581536024,0.03451975983063776,1071.8694,0.44453225328459944,0.07036981584069471,0.0
7,BCIA11,Títulos e Val. Mob.,10410.0,524.0,0.035786040376878124,0.5899912203687445,0.3941378044303023,0.4315987124463519,0.6079483358171883,0.6165452035003338,0.28739058603811146,0.29330122412093323,0.5111281640442156,0.06614814581924329,112.8872,0.4983700484046231,0.07036981584069471,0.0
8,CARE11,Híbrido,168.0,47206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3279494309960903,0.2996580266184686,0.585107388470817,0.06858191108580362,1.4584,0.7252790674701175,0.07036981584069471,0.0
9,CXRI11,Híbrido,99681.0,27.0,0.35786040376878125,0.6115013169446883,0.4396646677273284,0.4852467811158798,0.6873323397913562,0.6896425599619609,0.45883572256826505,0.4673225435425566,0.4204150613905592,0.05490142441951203,1039.9935,0.5342289835029141,0.07036981584069471,0.0
10,CPTS11B,Títulos e Val. Mob.,10141.0,1193.0,0.04089833185928929,0.6892010535557507,0.47766491249541054,0.5368830472103003,0.764828614008942,0.778184179003484,0.2692224810417543,0.28073139171869865,0.8664305260504807,0.050725119988712965,97.5424,0.6144423589844907,0.07036981584069471,0.0
11,CBOP11,Lajes Corporativas,7291.0,913.0,0.024027769967332455,0.5711150131694468,0.4085179292620242,0.45493562231759654,0.6438152011922504,0.6533590585309206,0.34648182163343627,0.3517242441669405,0.5875265545673857,0.028620478955403775,71.4614,0.5952780796206658,0.10480610869890701,0.024390243902439025
12,HGBS11,Shoppings,22985.0,5942.0,0.06901593501255068,0.5354697102721686,0.3503243177089707,0.3870037553648068,0.5355191256830601,0.5465842484980935,0.5188402376578998,0.5231781958593493,0.5893921254455766,0.4857301861216723,221.9043,0.6105897461226909,0.10495583171133402,0.1951219512195122
13,GRLV11,Logística,9799.0,2601.0,0.034252352932154784,0.5882352941176471,0.4606535307795863,0.46821351931330474,0.6344759066070541,0.643520084856576,0.48663430852428397,0.49393074268813664,0.3215150505887012,0.039378131614661555,118.1221,0.40689518917317,0.1089983530468633,0.024390243902439025
14,HGJH11,Lajes Corporativas,16365.0,1538.0,0.04089833185928929,0.41220368744512725,0.3044914943091421,0.33764753218884114,0.4871336313959265,0.48980898126388756,0.8377184431150013,0.8363200377916529,1.0,0.06706510945876804,116.9245,0.9699693766669959,0.0254529121125917,0.04878048780487805
