,Ano/Mês,Unnamed: 0,Códigodo fundo,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos
0,202012,0,FIVN11,3.95,0.004132203549785301,0.0,0.0,0.0,0.0,0.0,0.0,0.7246973989183622,0.7131272174353775,0.6089408528198075,0.016643549469250674,0.0014898158854398293,0.2,0.6407322654462242,0.015625
1,202012,1,BZLI11,14.9,0.20448677762273587,0.0,0.0,0.0,0.0,0.0,0.0,0.7422096317280453,0.7303598580841358,0.6246217331499313,0.1102872931827372,0.002868451480921462,0.784,0.06864988558352403,0.0
2,202012,3,ALMI11,1170.1,0.0004920894928781843,0.0,0.0,0.0,0.0,0.0,0.0,0.7831573525624518,0.7706538266599088,0.2198074277854196,0.05582045699393631,0.6333115208193034,0.256,0.8145308924485125,0.015625
3,202012,4,DOMC11,439.0,0.0002763790302466514,0.0,0.0,0.0,0.0,0.0,0.0,0.8367241823332475,0.8233654333502282,0.4713892709766162,0.06672407868571256,0.3420191611288293,0.11199999999999999,0.26819221967963386,0.015625
4,202012,10,ATSA11,118.0,6.740951957235401e-06,0.01720578114246387,0.1139240506329114,0.15267175572519084,0.16666666666666666,0.1798561151079137,0.033605812897366034,0.7437548287406645,0.7364419665484034,0.6240715268225585,0.04729766651749108,0.034125995857740066,0.64,0.21853546910755148,0.015625
5,202012,11,XPHT11,91.19,0.00041793902134859486,0.023399862353750862,0.2531645569620253,0.2671755725190839,0.2803030303030303,0.0,0.09536784741144416,0.2541849085758435,0.2584896097313735,0.3766162310866576,0.12176776220385285,0.03874474276057483,0.368,1.0,0.078125
6,202012,12,HTMX11,124.94,0.015558117117299304,0.0,0.0,0.20610687022900764,0.2803030303030303,0.32374100719424465,0.07266121707538603,0.0,0.0,0.16519944979367268,0.0452868993660214,0.04495177951995527,0.48,0.9496567505720824,0.359375
7,202012,13,BPML11,99.49,0.00037075235764794703,0.01927047487955954,0.1962025316455696,0.0,0.0,0.0,0.028156221616712083,0.7246973989183622,0.7209832742017233,0.6132049518569465,0.1504868632128915,0.0422707462421062,0.368,0.06864988558352403,0.109375
8,202012,14,RBGS11,39.5,0.013670650569273394,0.0034411562284927736,0.07594936708860757,0.03053435114503817,0.19696969696969696,0.2733812949640288,0.13987284287011809,0.8611898016997167,0.8507349214394323,0.12063273727647872,0.022529068804194644,0.0268262156770562,0.14400000000000002,0.15446224256292904,0.015625
9,202012,15,WPLZ11,75.0,0.010515885053287223,0.0034411562284927736,0.037974683544303785,0.09160305343511448,0.26515151515151514,0.302158273381295,0.19346049046321528,0.7074426989441154,0.6979219462747085,0.2756533700137552,0.02272091013083531,0.028611453475813526,0.43200000000000005,0.08581235697940504,0.015625
10,202012,16,GSFI11,3.17,0.05297714143191302,0.0,0.018987341772151896,0.0076335877862595426,0.0,0.0,0.0027247956403269754,0.7246973989183622,0.7138874809934109,0.609353507565337,0.2102607799041334,0.0028557451620690967,0.0,0.06864988558352403,0.15625
11,202012,17,FVPQ11,146.99,0.00639042245545916,0.005505849965588438,0.03164556962025317,0.1297709923664122,0.12121212121212123,0.2877697841726619,0.15622161671207993,0.6250321916044296,0.6163203243791181,0.2485557083906465,0.1536597381110765,0.0668670029605723,0.336,0.08810068649885583,0.015625
12,202012,18,NEWU11,43.5,0.00033704759786177006,0.0,0.0,0.0,0.06818181818181818,1.0,0.05540417801998184,0.6206541334020088,0.6107450582868728,0.1740027510316369,0.011332054292346431,0.020990838744107444,0.28800000000000003,0.5526315789473684,0.046875
13,202012,20,PRSV11,163.9,0.00014830094305917882,0.11149346180316587,0.26582278481012656,0.3893129770992366,0.3636363636363636,0.3597122302158274,0.40508628519527706,0.8611898016997167,0.858590978205778,0.4541953232462174,0.010061034638241194,0.07451938348940929,0.336,0.41590389016018303,0.03125
14,202012,23,FLMA11,3.02,0.35933318503239026,0.0006882312456985548,0.15189873417721514,0.16793893129770993,0.14393939393939392,0.18705035971223025,0.2270663033605813,0.6649497810970899,0.6601621895590472,0.2840440165061898,0.05025916056122393,0.0,0.616,0.06864988558352403,0.03125
15,202012,24,SCPF11,9.04,0.009221622277498029,0.0013764624913971096,0.12658227848101267,0.09160305343511448,0.12878787878787878,0.2589928057553957,0.2025431425976385,0.7594643317022921,0.7526609224531171,0.09105914718019263,0.010586094344240885,0.0027318585532585355,0.41600000000000004,0.2997711670480549,0.015625
16,202012,25,VGIP11,98.94,0.10069634033718243,0.06882312456985548,0.6265822784810127,0.6564885496183206,0.5984848484848485,0.0,0.5358764759309719,0.7571465361833635,0.7704004054738975,0.9266850068775792,0.03921862449003584,0.02937065602724235,0.616,0.06864988558352403,0.0
17,202012,26,QAGR11,83.18,0.10363539539053704,0.025464556090846524,0.27848101265822783,0.3129770992366412,0.28787878787878785,0.0,0.2706630336058129,0.7004893123873294,0.7004561581348201,0.4499312242090784,0.12482144049036775,0.02976137533195258,0.47200000000000003,0.06864988558352403,0.1875
18,202012,27,BRCR11,87.3,0.6568855453767181,0.03234686854783207,0.3354430379746836,0.3893129770992366,0.3712121212121212,0.3597122302158274,0.4087193460490463,0.637651300540819,0.6406487582361886,0.4160935350756534,0.7338257326353215,0.03276006658111079,0.44,0.19221967963386727,0.21875
