;Códigodo fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
0;FIVN11;Shoppings;R$ 3,95;614.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 71.582.537,79;R$ 7,60;52.0;;;;;56,00%;;1
1;BZLI11;Títulos e Val. Mob.;R$ 14,90;30336.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,68%;0,68%;1,14%;R$ 431.066.122,01;R$ 11,94;125.0;;;;;;;0
2;XTED11;Lajes Corporativas;R$ 7,28;3610.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,10%;1,10%;-37,83%;R$ 25.934.919,36;R$ 14,47;50.0;;;;;100,00%;100,00%;1
3;ALMI11;Lajes Corporativas;R$ 1.170,10;74.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,27%;2,27%;-28,29%;R$ 221.976.515,83;R$ 1.996,60;59.0;;;;;71,19%;;1
4;DOMC11;Lajes Corporativas;R$ 439,00;42.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;4,35%;4,35%;-10,00%;R$ 263.833.802,30;R$ 1.079,60;41.0;;;;;23,44%;;1
5;PABY11;Híbrido;R$ 15,65;6.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;-19,84%;-19,84%;-31,62%;R$ -3.843.255,05;R$ -5,07;-309.0;;;;;;;1
6;RBCB11;Outros;R$ 19,00;161.0;R$ 0,00;0,00%;0,29%;4,38%;14,62%;0,10%;0,73%;1,22%;4,38%;-71,35%;-71,35%;-75,16%;R$ 0,00;R$ 0,00;inf;;;;;;;0
7;RBDS11;Residencial;R$ 29,40;63.0;R$ 0,62;0,38%;3,38%;6,82%;17,81%;1,13%;1,14%;1,48%;13,35%;-21,63%;-21,33%;-29,55%;R$ 3.065.954,01;R$ 24,23;121.0;;;;;;;0
8;KNRE11;Residencial;R$ 3,61;3008.0;R$ 0,26;3,92%;5,11%;5,11%;9,25%;1,70%;0,85%;0,77%;7,82%;5,28%;9,41%;-24,78%;R$ 58.464.724,28;R$ 3,15;115.0;;;;;;;0
9;FMOF11;Lajes Corporativas;R$ 87,00;2.0;R$ 0,27;0,25%;1,06%;1,06%;3,09%;0,35%;0,18%;0,26%;1,06%;22,10%;22,40%;19,19%;R$ 66.719.657,76;R$ 131,34;66.0;;;;;43,75%;;1
10;ATSA11;Shoppings;R$ 118,00;2.0;R$ 0,25;0,18%;0,59%;1,30%;2,97%;0,20%;0,22%;0,25%;0,37%;0,74%;0,92%;1,10%;R$ 189.258.865,44;R$ 110,34;107.0;;;;;19,10%;;1
11;XPHT11;Hotel;R$ 91,19;63.0;R$ 0,34;0,40%;1,05%;2,23%;0,00%;0,35%;0,37%;0,00%;1,05%;-18,27%;-17,94%;-16,89%;R$ 475.137.834,53;R$ 124,88;73.0;;;;;87,40%;;5
12;HTMX11;Hotel;R$ 124,94;2309.0;R$ 0,00;0,00%;0,80%;2,20%;5,41%;0,27%;0,37%;0,45%;0,80%;-28,14%;-28,14%;-32,26%;R$ 181.539.847,02;R$ 144,42;87.0;;;;;83,00%;;23
13;BPML11;Shoppings;R$ 99,49;56.0;R$ 0,28;0,31%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,31%;0,00%;0,31%;0,31%;R$ 585.385.940,35;R$ 135,98;73.0;;;;;6,00%;;7
14;RBGS11;Shoppings;R$ 39,50;2029.0;R$ 0,05;0,12%;0,12%;1,54%;4,60%;0,04%;0,26%;0,38%;1,54%;5,30%;5,43%;-35,50%;R$ 94.176.119,61;R$ 87,36;45.0;;;;;13,50%;;1
15;WPLZ11;Shoppings;R$ 75,00;1561.0;R$ 0,05;0,06%;0,37%;2,13%;5,05%;0,12%;0,35%;0,42%;2,13%;-0,67%;-0,60%;-24,23%;R$ 94.912.568,25;R$ 92,98;81.0;;;;;7,50%;;1
16;GSFI11;Shoppings;R$ 3,17;7860.0;R$ 0,00;0,03%;0,03%;0,03%;0,03%;0,01%;0,00%;0,00%;0,03%;0,00%;0,03%;0,03%;R$ 814.848.592,77;R$ 11,90;27.0;;;;;;;10
17;FVPQ11;Shoppings;R$ 146,99;949.0;R$ 0,08;0,05%;0,52%;0,93%;4,76%;0,17%;0,16%;0,40%;1,72%;-3,87%;-3,82%;-26,20%;R$ 597.566.107,39;R$ 213,41;69.0;;;;;7,70%;;1
18;NEWU11;Lajes Corporativas;R$ 43,50;51.0;R$ 0,00;0,00%;0,00%;0,56%;16,63%;0,00%;0,09%;1,39%;0,61%;-4,04%;-4,04%;-31,62%;R$ 51.192.544,31;R$ 68,99;63.0;;;;;48,30%;;3
19;HBTT11;Títulos e Val. Mob.;R$ 1.055,00;3.0;R$ 16,58;1,57%;3,46%;5,29%;9,82%;1,15%;0,88%;0,82%;8,19%;0,33%;1,91%;-38,13%;R$ 0,00;R$ 0,00;inf;;;;;;;0
20;PRSV11;Lajes Corporativas;R$ 163,90;23.0;R$ 1,62;0,42%;1,53%;2,91%;5,95%;0,51%;0,48%;0,50%;4,46%;5,30%;5,74%;-11,25%;R$ 46.313.300,03;R$ 237,50;69.0;;;;;36,35%;;2
21;CARE11;Híbrido;R$ 0,80;73413.0;R$ 0,00;0,24%;0,69%;0,69%;0,69%;0,23%;0,12%;0,06%;0,69%;-5,81%;-5,59%;-12,30%;R$ 250.723.762,71;R$ 1,40;57.0;;;;;;;0
22;FAMB11B;Lajes Corporativas;R$ 1.521,00;213.0;R$ 9,16;0,56%;2,17%;4,78%;10,43%;0,72%;0,80%;0,87%;8,82%;-47,80%;-47,51%;-47,80%;R$ 376.574.076,50;R$ 3.593,26;42.0;0,25%;0,53%;0,79%;12,82%;0,00%;;1
23;FLMA11;Híbrido;R$ 3,02;53307.0;R$ 0,01;0,24%;0,66%;1,13%;3,14%;0,22%;0,19%;0,26%;2,50%;-2,32%;-2,09%;-23,62%;R$ 200.627.574,67;R$ 2,91;104.0;0,24%;-0,05%;0,19%;3,22%;6,00%;;2
24;SCPF11;Shoppings;R$ 9,04;1369.0;R$ 0,02;0,20%;0,37%;1,03%;4,33%;0,12%;0,17%;0,36%;2,23%;1,35%;1,56%;-37,65%;R$ 48.328.921,55;R$ 11,51;79.0;0,16%;0,10%;0,26%;2,12%;26,20%;;1
25;VGIP11;Outros;R$ 98,94;14939.0;R$ 1,00;0,99%;2,59%;4,71%;0,00%;0,86%;0,79%;0,00%;5,90%;1,26%;2,26%;23,10%;R$ 158.244.695,46;R$ 95,37;104.0;1,05%;-0,56%;0,48%;0,51%;;;0
26;QAGR11;Outros;R$ 83,18;15375.0;R$ 0,37;0,44%;1,23%;2,28%;0,00%;0,41%;0,38%;0,00%;2,98%;-0,94%;-0,50%;-11,56%;R$ 486.860.424,55;R$ 96,60;86.0;;;;;;;12
27;BRCR11;Híbrido;R$ 87,30;97448.0;R$ 0,47;0,53%;1,53%;2,96%;6,03%;0,51%;0,49%;0,50%;4,50%;-3,38%;-2,86%;-14,02%;R$ 2.824.731.990,38;R$ 106,04;82.0;;;;;16,80%;7,80%;14
28;MAXR11;Outros;R$ 1.979,69;31.0;R$ 11,61;0,58%;1,79%;3,77%;7,27%;0,60%;0,63%;0,61%;5,07%;3,88%;4,49%;-10,62%;R$ 132.352.015,98;R$ 2.233,98;89.0;;;;;0,00%;;8
29;FAED11;Outros;R$ 208,89;179.0;R$ 1,27;0,61%;1,79%;3,61%;7,15%;0,60%;0,60%;0,60%;6,05%;-3,56%;-2,97%;-19,17%;R$ 131.673.850,27;R$ 205,05;102.0;0,62%;-0,01%;0,60%;6,80%;0,00%;;3
30;DRIT11B;Lajes Corporativas;R$ 139,99;22.0;R$ 0,50;0,37%;0,98%;1,79%;4,05%;0,33%;0,30%;0,34%;3,31%;-4,64%;-4,29%;-11,62%;R$ 60.381.800,26;R$ 130,34;107.0;;;;;23,72%;;6
31;ONEF11;Lajes Corporativas;R$ 148,37;396.0;R$ 0,64;0,43%;1,28%;2,54%;4,87%;0,43%;0,42%;0,41%;4,16%;0,34%;0,77%;-6,16%;R$ 140.751.712,88;R$ 154,50;96.0;0,41%;0,03%;0,44%;4,29%;10,30%;;1
32;MBRF11;Outros;R$ 1.030,50;275.0;R$ 6,90;0,54%;1,96%;4,06%;8,19%;0,65%;0,68%;0,68%;6,91%;0,08%;0,62%;4,26%;R$ 130.747.896,91;R$ 1.286,08;80.0;0,54%;0,01%;0,55%;7,21%;0,00%;;2
33;NCHB11;Títulos e Val. Mob.;R$ 93,19;835.0;R$ 0,52;0,58%;0,92%;0,92%;0,00%;0,31%;0,15%;0,00%;0,92%;-4,65%;-4,10%;-3,78%;R$ 52.054.548,01;R$ 91,15;102.0;0,57%;1,13%;1,71%;-0,34%;;;0
34;HCTR11;Outros;R$ 145,52;45739.0;R$ 2,38;1,58%;4,92%;7,60%;14,18%;1,64%;1,27%;1,18%;12,44%;14,19%;16,00%;31,38%;R$ 323.484.833,45;R$ 115,99;125.0;;;;;;;0
35;THRA11;Lajes Corporativas;R$ 132,15;519.0;R$ 0,57;0,43%;1,26%;2,73%;5,24%;0,42%;0,46%;0,44%;4,35%;-1,59%;-1,17%;-7,52%;R$ 175.656.160,44;R$ 119,27;111.0;0,48%;0,50%;0,98%;5,03%;9,81%;;1
36;MGFF11;Títulos e Val. Mob.;R$ 84,40;19118.0;R$ 0,50;0,57%;1,65%;3,49%;7,44%;0,55%;0,58%;0,62%;6,14%;-3,06%;-2,51%;-19,53%;R$ 777.729.149,91;R$ 85,93;98.0;0,58%;-1,10%;-0,53%;-26,21%;;;0
37;CEOC11;Lajes Corporativas;R$ 70,00;3596.0;R$ 0,31;0,44%;1,55%;3,50%;7,23%;0,52%;0,58%;0,60%;6,05%;-10,69%;-10,30%;-21,45%;R$ 177.817.335,73;R$ 97,93;71.0;0,32%;-0,06%;0,26%;4,85%;0,00%;;1
38;BTCR11;Títulos e Val. Mob.;R$ 84,20;1649.0;R$ 0,48;0,57%;1,37%;2,72%;5,92%;0,46%;0,45%;0,49%;4,86%;0,24%;0,81%;-12,48%;R$ 464.791.018,21;R$ 96,63;87.0;0,50%;-0,04%;0,45%;3,20%;;;0
