;Códigodo fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
39;FEXC11;Títulos e Val. Mob.;R$ 91,82;1445.0;R$ 0,47;0,49%;1,42%;3,80%;8,03%;0,47%;0,63%;0,67%;6,95%;-3,98%;-3,51%;-7,46%;R$ 338.917.993,96;R$ 99,04;93.0;0,47%;0,24%;0,72%;5,17%;;;0
40;RBRL11;Logística;R$ 110,02;2504.0;R$ 0,65;0,59%;1,74%;3,65%;0,00%;0,58%;0,61%;0,00%;4,67%;-1,75%;-1,18%;16,29%;R$ 330.122.228,46;R$ 102,80;107.0;0,63%;0,11%;0,75%;5,89%;0,00%;0,00%;5
41;RBRP11;Outros;R$ 93,61;32292.0;R$ 0,58;0,62%;1,85%;3,47%;6,12%;0,62%;0,58%;0,51%;5,58%;-1,12%;-0,51%;8,34%;R$ 730.094.454,63;R$ 85,36;110.0;0,68%;-0,59%;0,08%;6,21%;8,00%;10,00%;12
42;RECR11;Títulos e Val. Mob.;R$ 108,49;30775.0;R$ 1,31;1,29%;3,50%;5,59%;10,37%;1,17%;0,93%;0,86%;9,11%;4,72%;6,07%;3,93%;R$ 834.634.669,38;R$ 96,48;112.0;1,36%;-0,84%;0,51%;9,17%;;;0
43;RECT11;Híbrido;R$ 94,32;22633.0;R$ 0,72;0,75%;2,21%;4,66%;9,41%;0,74%;0,78%;0,78%;8,01%;-0,92%;-0,18%;0,88%;R$ 670.238.366,88;R$ 96,11;98.0;0,75%;-0,11%;0,64%;4,60%;13,80%;;8
44;BCFF11;Títulos e Val. Mob.;R$ 89,92;40728.0;R$ 0,50;0,56%;1,55%;2,95%;6,05%;0,52%;0,49%;0,50%;5,03%;-1,53%;-0,98%;-6,87%;R$ 1.709.866.930,64;R$ 83,15;108.0;0,60%;-1,14%;-0,55%;-18,33%;;;0
45;BMLC11B;Lajes Corporativas;R$ 95,72;136.0;R$ 0,58;0,61%;1,80%;3,64%;6,87%;0,60%;0,61%;0,57%;5,89%;0,18%;0,79%;-4,60%;R$ 93.822.905,71;R$ 93,97;102.0;0,62%;-0,01%;0,60%;4,23%;1,70%;;2
46;LASC11;Shoppings;R$ 103,99;300.0;R$ 0,31;0,32%;0,91%;1,47%;0,00%;0,30%;0,24%;0,00%;1,62%;-2,04%;-1,72%;-2,44%;R$ 240.561.882,34;R$ 95,53;109.0;;;;;6,00%;;3
47;JRDM11;Shoppings;R$ 75,00;1824.0;R$ 0,09;0,12%;0,15%;0,36%;2,56%;0,05%;0,06%;0,21%;0,76%;-0,65%;-0,53%;-26,23%;R$ 229.147.723,80;R$ 90,82;83.0;;;;;4,70%;;1
48;CVBI11;Títulos e Val. Mob.;R$ 99,28;20653.0;R$ 1,00;1,00%;2,50%;4,39%;8,69%;0,83%;0,73%;0,72%;7,37%;4,33%;5,37%;3,36%;R$ 355.659.143,79;R$ 100,84;98.0;0,99%;0,52%;1,52%;7,97%;;;0
49;CPFF11;Híbrido;R$ 79,78;4819.0;R$ 0,60;0,74%;1,44%;2,36%;0,00%;0,48%;0,39%;0,00%;4,31%;2,53%;3,29%;-18,13%;R$ 322.969.869,52;R$ 81,28;98.0;0,74%;-3,97%;-3,26%;-8,88%;;;0
50;RVBI11;Títulos e Val. Mob.;R$ 91,60;5376.0;R$ 0,62;0,68%;1,98%;3,59%;0,00%;0,66%;0,60%;0,00%;4,29%;-1,68%;-1,01%;-4,57%;R$ 136.146.512,31;R$ 94,55;97.0;0,66%;-0,56%;0,09%;2,13%;;;0
51;CPTS11;Títulos e Val. Mob.;R$ 96,80;63410.0;R$ 0,90;0,92%;2,42%;4,49%;8,31%;0,81%;0,75%;0,69%;7,16%;-2,08%;-1,18%;-2,52%;R$ 788.887.951,16;R$ 93,45;104.0;0,96%;-0,03%;0,94%;0,16%;;;0
52;RCRB11;Lajes Corporativas;R$ 168,80;7718.0;R$ 0,85;0,49%;1,48%;3,25%;5,45%;0,49%;0,54%;0,45%;4,74%;-1,40%;-0,92%;-38,12%;R$ 705.910.902,16;R$ 191,27;88.0;0,44%;-3,12%;-2,69%;0,75%;8,20%;;10
53;TORD11;Outros;R$ 12,08;84979.0;R$ 0,16;1,42%;3,33%;5,88%;0,00%;1,11%;0,98%;0,00%;7,00%;3,93%;5,41%;18,74%;R$ 41.089.759,19;R$ 10,56;114.0;;;;;;;0
54;IRDM11;Títulos e Val. Mob.;R$ 124,90;55274.0;R$ 1,22;0,94%;2,73%;4,92%;9,55%;0,91%;0,82%;0,80%;7,96%;2,59%;3,55%;19,42%;R$ 1.132.244.953,75;R$ 98,46;127.0;1,24%;0,22%;1,46%;3,27%;;;0
55;IBFF11;Títulos e Val. Mob.;R$ 77,50;3032.0;R$ 0,48;0,60%;1,73%;3,38%;7,00%;0,58%;0,56%;0,58%;5,69%;5,87%;6,51%;-18,17%;R$ 58.321.213,70;R$ 87,48;89.0;0,55%;-1,19%;-0,65%;-19,70%;;;0
56;RBRY11;Títulos e Val. Mob.;R$ 103,02;1407.0;R$ 0,60;0,58%;1,74%;3,64%;7,58%;0,58%;0,61%;0,63%;6,35%;0,24%;0,82%;-1,99%;R$ 205.341.437,74;R$ 105,03;98.0;0,57%;0,36%;0,94%;4,22%;;;0
57;RBRR11;Títulos e Val. Mob.;R$ 95,26;17687.0;R$ 0,50;0,51%;1,50%;3,09%;6,49%;0,50%;0,52%;0,54%;5,42%;-3,65%;-3,15%;-3,16%;R$ 745.370.939,63;R$ 97,58;98.0;0,51%;-0,04%;0,47%;3,67%;;;0
58;RBRF11;Títulos e Val. Mob.;R$ 99,44;28484.0;R$ 0,75;0,77%;2,15%;3,75%;7,42%;0,72%;0,62%;0,62%;6,12%;0,51%;1,28%;-17,32%;R$ 849.867.097,35;R$ 92,48;108.0;0,81%;-0,81%;-0,01%;-20,93%;;;0
59;MCCI11;Títulos e Val. Mob.;R$ 102,85;20920.0;R$ 0,60;0,59%;1,75%;3,51%;6,68%;0,58%;0,59%;0,56%;6,19%;-2,42%;-1,84%;3,54%;R$ 715.776.385,27;R$ 98,91;104.0;0,61%;0,32%;0,93%;5,04%;;;0
60;VGIR11;Títulos e Val. Mob.;R$ 86,87;6427.0;R$ 0,41;0,47%;1,47%;3,08%;6,60%;0,49%;0,51%;0,55%;5,47%;-1,75%;-1,28%;-14,29%;R$ 436.008.664,78;R$ 96,75;90.0;0,42%;-0,07%;0,35%;4,31%;;;0
61;MGHT11;Hotel;R$ 100,00;108.0;R$ 0,31;0,32%;1,52%;3,53%;0,00%;0,51%;0,59%;0,00%;3,53%;-1,71%;-1,39%;1,51%;R$ 82.806.116,11;R$ 99,38;101.0;0,31%;-0,10%;0,22%;2,73%;;;0
62;BTLG11;Logística;R$ 108,39;52908.0;R$ 0,60;0,53%;1,42%;2,82%;6,00%;0,47%;0,47%;0,50%;5,06%;7,78%;8,35%;9,01%;R$ 1.306.770.944,24;R$ 100,64;108.0;0,60%;-0,76%;-0,17%;5,80%;0,00%;;10
63;TRNT11;Lajes Corporativas;R$ 173,03;2.0;R$ 0,41;0,22%;0,83%;1,64%;3,34%;0,28%;0,27%;0,28%;2,58%;-1,42%;-1,20%;-21,19%;R$ 874.303.311,94;R$ 222,15;78.0;0,18%;-0,05%;0,14%;2,37%;49,40%;;1
64;HCRI11;Hospital;R$ 435,00;165.0;R$ 3,09;0,72%;1,89%;3,78%;7,49%;0,63%;0,63%;0,62%;6,34%;-5,50%;-4,82%;6,89%;R$ 58.374.553,56;R$ 291,87;149.0;1,06%;-0,01%;1,05%;9,58%;0,00%;;1
65;BLCP11;Outros;R$ 103,39;10986.0;R$ 0,70;0,67%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,67%;0,00%;0,67%;0,67%;R$ 109.518.272,56;R$ 100,46;103.0;0,70%;-0,10%;0,59%;1,19%;;;2
66;MORE11;Títulos e Val. Mob.;R$ 110,50;153.0;R$ 0,90;0,81%;2,46%;4,13%;0,00%;0,82%;0,69%;0,00%;4,13%;0,18%;0,99%;14,11%;R$ 58.078.070,20;R$ 99,48;111.0;0,90%;-0,43%;0,47%;4,08%;;;0
67;GCFF11;Títulos e Val. Mob.;R$ 103,30;276.0;R$ 1,29;1,26%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,26%;0,00%;1,26%;1,26%;R$ 7.690.572,56;R$ 95,62;108.0;1,35%;-1,52%;-0,19%;1,07%;;;0
68;MGCR11;;R$ 97,98;359.0;R$ 0,14;0,14%;0,14%;0,14%;0,14%;0,05%;0,02%;0,01%;0,14%;-0,04%;0,10%;0,10%;R$ 67.937.225,56;R$ 95,93;102.0;0,15%;0,00%;0,15%;0,15%;;;0
69;OULG11;Outros;R$ 89,39;3588.0;R$ 0,61;0,67%;1,99%;3,98%;7,70%;0,66%;0,66%;0,64%;6,27%;-0,27%;0,39%;-9,96%;R$ 238.978.302,52;R$ 96,31;93.0;0,63%;-0,11%;0,52%;6,41%;0,00%;;2
70;WTSP11B;Híbrido;R$ 50,99;15.0;R$ 0,13;0,28%;0,78%;1,74%;4,61%;0,26%;0,29%;0,38%;3,75%;-10,47%;-10,21%;-31,99%;R$ 90.459.404,61;R$ 91,14;56.0;0,14%;0,01%;0,15%;2,10%;;;0
71;OUFF11;Títulos e Val. Mob.;R$ 82,18;1494.0;R$ 0,48;0,58%;1,61%;3,67%;7,87%;0,54%;0,61%;0,66%;6,68%;-2,06%;-1,49%;-15,74%;R$ 159.844.431,10;R$ 88,10;93.0;0,54%;-1,64%;-1,11%;-13,45%;;;0
72;OUCY11;Títulos e Val. Mob.;R$ 85,86;361.0;R$ 0,60;0,73%;2,07%;3,95%;7,85%;0,69%;0,66%;0,65%;6,56%;-0,13%;0,60%;-14,99%;R$ 81.907.519,25;R$ 98,47;87.0;0,61%;0,21%;0,83%;3,87%;;;0
73;BREV11;Híbrido;R$ 106,01;4.0;R$ 0,37;0,35%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,99%;0,00%;0,35%;1,00%;R$ 89.380.698,05;R$ 107,35;99.0;0,34%;0,09%;0,44%;0,84%;5,00%;;12
74;ARCT11;Híbrido;R$ 1.293,85;61.0;R$ 12,43;1,11%;3,94%;7,89%;0,00%;1,31%;1,32%;0,00%;8,97%;-2,43%;-1,35%;28,43%;R$ 22.946.717,67;R$ 983,61;132.0;1,26%;-0,20%;1,06%;6,56%;;;2
75;CJCT11;Lajes Corporativas;R$ 61,00;2000.0;R$ 0,33;0,61%;0,74%;0,94%;0,96%;0,25%;0,16%;0,08%;0,96%;19,24%;19,96%;-9,15%;R$ 154.967.078,45;R$ 57,18;107.0;;;;;59,00%;;1
76;FATN11;Híbrido;R$ 103,30;9.0;R$ 0,57;0,55%;1,70%;2,99%;4,58%;0,57%;0,50%;0,38%;4,58%;2,79%;3,35%;8,12%;R$ 52.061.163,88;R$ 100,23;103.0;0,57%;0,35%;0,92%;2,14%;20,70%;;7
77;XPIN11;Outros;R$ 114,85;26259.0;R$ 0,62;0,53%;1,60%;3,17%;6,35%;0,53%;0,53%;0,53%;5,49%;1,79%;2,33%;-4,33%;R$ 730.523.168,34;R$ 110,91;104.0;;;;;7,40%;;5
78;FCFL11;Outros;R$ 118,26;1501.0;R$ 0,55;0,46%;1,43%;2,99%;5,61%;0,48%;0,50%;0,47%;4,92%;-0,25%;0,21%;-8,48%;R$ 367.629.808,99;R$ 105,82;112.0;0,52%;-0,06%;0,46%;5,11%;0,00%;;1
79;XPML11;Shoppings;R$ 109,80;71904.0;R$ 0,42;0,38%;0,78%;1,47%;2,64%;0,26%;0,24%;0,22%;1,83%;1,57%;1,95%;-18,39%;R$ 2.034.555.661,63;R$ 111,74;98.0;0,38%;0,23%;0,61%;4,75%;4,10%;;13
80;ALZR11;Logística;R$ 125,70;12086.0;R$ 0,37;0,29%;0,97%;2,38%;5,44%;0,32%;0,40%;0,45%;4,59%;-4,89%;-4,61%;3,38%;R$ 459.338.706,31;R$ 102,54;123.0;0,36%;0,00%;0,36%;14,59%;0,00%;;7
81;CNES11;Lajes Corporativas;R$ 65,41;247.0;R$ 0,19;0,30%;1,09%;2,22%;3,99%;0,36%;0,37%;0,33%;3,66%;-1,95%;-1,65%;-20,24%;R$ 279.746.123,47;R$ 94,85;69.0;0,21%;-0,03%;0,17%;1,62%;36,30%;;1
82;FLRP11;Shoppings;R$ 1.310,04;33.0;R$ 3,35;0,25%;0,59%;2,33%;5,00%;0,20%;0,39%;0,42%;1,82%;-0,75%;-0,50%;0,32%;R$ 103.976.357,69;R$ 1.593,95;82.0;0,21%;0,00%;0,21%;1,90%;2,12%;;1
83;EDGA11;Lajes Corporativas;R$ 29,42;4946.0;R$ 0,15;0,51%;1,14%;2,41%;4,71%;0,38%;0,40%;0,39%;4,02%;-3,63%;-3,14%;-41,10%;R$ 300.012.777,88;R$ 78,70;37.0;0,19%;-0,09%;0,10%;1,19%;41,70%;;1
84;RZTR11;;R$ 99,52;13286.0;R$ 0,65;0,66%;0,66%;0,66%;0,66%;0,22%;0,11%;0,05%;0,66%;-1,00%;-0,35%;-0,35%;R$ 474.661.649,05;R$ 96,92;103.0;0,00%;-3,08%;-3,08%;-3,08%;;;0
85;DMAC11;Residencial;R$ 181,99;586.0;R$ 1,85;0,79%;2,04%;4,30%;8,81%;0,68%;0,72%;0,73%;8,08%;-32,87%;-32,34%;-62,28%;R$ 50.700.236,88;R$ 324,78;56.0;0,66%;-42,84%;-42,47%;-54,16%;;;0
86;NVIF11B;Outros;;;R$ 0,15;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 56.610.408,88;R$ 167,78;;0,18%;-5,33%;-5,16%;-6,27%;;;0
87;MFAI11;Híbrido;R$ 137,00;200.0;R$ 2,01;1,58%;3,28%;0,00%;0,00%;1,09%;0,00%;0,00%;7,23%;5,88%;7,55%;18,90%;R$ 12.723.325,29;R$ 97,33;141.0;1,50%;-0,64%;0,85%;4,92%;;;0
88;VLOL11;Lajes Corporativas;R$ 100,67;546.0;R$ 0,41;0,40%;1,28%;2,63%;5,07%;0,43%;0,44%;0,42%;4,70%;-3,89%;-3,50%;-9,49%;R$ 161.967.128,56;R$ 90,75;111.0;0,50%;0,06%;0,56%;5,32%;12,00%;;1
89;RFOF11;Títulos e Val. Mob.;R$ 83,90;10412.0;R$ 0,63;0,73%;2,01%;3,20%;0,00%;0,67%;0,53%;0,00%;3,79%;1,23%;1,97%;8,89%;R$ 101.508.274,92;R$ 94,15;89.0;0,62%;-1,11%;-0,50%;-0,65%;;;0
90;RBCO11;Lajes Corporativas;R$ 89,70;5650.0;R$ 0,55;0,62%;1,89%;3,22%;6,72%;0,63%;0,54%;0,56%;6,72%;1,73%;2,35%;-33,98%;R$ 385.210.348,01;R$ 101,93;88.0;0,55%;-0,58%;-0,04%;-3,16%;28,00%;15,00%;3
91;FIIP11B;Logística;R$ 201,00;354.0;R$ 0,67;0,33%;1,07%;7,19%;11,61%;0,36%;1,20%;0,97%;11,01%;1,10%;1,44%;8,06%;R$ 184.205.524,01;R$ 198,68;101.0;0,28%;0,03%;0,31%;12,83%;0,00%;;7
92;EDFO11B;Lajes Corporativas;R$ 257,87;858.0;R$ 1,60;0,62%;1,79%;3,43%;6,86%;0,60%;0,57%;0,57%;6,37%;-1,11%;-0,50%;2,18%;R$ 47.932.491,63;R$ 203,10;127.0;0,76%;-0,01%;0,75%;7,59%;6,96%;;1
93;VIFI11;Títulos e Val. Mob.;R$ 97,30;6068.0;R$ 0,60;0,62%;1,98%;0,00%;0,00%;0,66%;0,00%;0,00%;3,99%;2,40%;3,04%;0,69%;R$ 281.097.493,84;R$ 99,95;97.0;0,65%;-1,59%;-0,95%;2,58%;;;0
94;VSHO11;Shoppings;R$ 81,51;161.0;R$ 0,12;0,15%;0,77%;2,42%;6,07%;0,26%;0,40%;0,51%;1,32%;0,00%;0,15%;-27,71%;R$ 207.316.464,59;R$ 98,78;83.0;0,28%;0,33%;0,61%;1,17%;15,31%;;3
95;VTLT11;Logística;R$ 115,87;2016.0;R$ 0,72;0,62%;1,84%;3,11%;6,99%;0,61%;0,52%;0,58%;6,40%;-0,09%;0,53%;6,31%;R$ 214.938.262,34;R$ 101,63;114.0;0,71%;0,00%;0,71%;7,45%;0,00%;0,00%;1
96;VISC11;Shoppings;R$ 114,30;24263.0;R$ 0,45;0,39%;0,92%;1,41%;3,73%;0,31%;0,24%;0,31%;3,18%;4,32%;4,73%;-13,71%;R$ 1.657.085.478,44;R$ 116,12;98.0;0,32%;0,04%;0,37%;-2,01%;8,70%;;15
