;Ativo;Setor;Preço;Volume (21d);Dividendo;Dividend Yield;Dividend Yield 3M (acumulado);Dividend Yield 6M (acumulado);Dividend Yield 12M (acumulado);Dividend Yield 3M (média);Dividend Yield 6M (média);Dividend Yield 12M (média);Dividend Yield no Ano;Variação Preço;Rentabilidade no Período;Rentabilidade Acumulada;Patrimônio Líquido;Valor Patrimonial;P/VPA;Dividend Yield Patrimonial;Variação Patrimonial;Rentabilidade Patrimonial no Período;Rentabilidade Patrimonial Acumulada;Vacância Física;Vacância Financeira;Qtd Ativos
17;HGCR11;Títulos e Val. Mob.;11275.0;7520.0;R$ 0,7700;0,6929%;2,1070%;4,5021%;8,7302%;0,7023%;0,7503%;0,7275%;8,0280%;0,2074%;0,9018%;18,0128%;R$ 270.925.720,0000;R$ 104,3432;10806.0;0,7379%;-0,0221%;0,7157%;11,2176%;;;0
18;DOMC11;Lajes Corporativas;56900.0;49.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;4,3499%;4,3499%;-9,9982%;R$ 245.679.354,0900;R$ 1.005,3169;5660.0;;;;;;;1
19;FIXX11;Títulos e Val. Mob.;8500.0;368.0;R$ 0,4800;0,5607%;1,6746%;3,5701%;6,8620%;0,5582%;0,5950%;0,5718%;6,2158%;0,1287%;0,6901%;-3,1136%;R$ 32.770.726,5500;R$ 89,5444;9493.0;0,5360%;2,4950%;3,0444%;2,1196%;;;0
20;VRTA11;Títulos e Val. Mob.;11400.0;5512.0;R$ 1,0300;0,9075%;2,8321%;5,2989%;9,1800%;0,9440%;0,8831%;0,7650%;8,5494%;0,8889%;1,8044%;11,6124%;R$ 228.833.842,6200;R$ 102,0760;11168.0;1,0091%;0,0492%;1,0587%;6,9906%;;;0
21;BRCR11;Híbrido;10025.0;27071.0;R$ 0,3500;0,3466%;1,0626%;2,2322%;4,4074%;0,3542%;0,3720%;0,3673%;3,5137%;0,9700%;1,3200%;-0,6420%;R$ 2.420.819.549,4400;R$ 125,9234;7961.0;;;;;33,2000%;29,3000%;11
22;FAMB11B;Lajes Corporativas;2.3;97.0;R$ 35,0575;1,5078%;4,7008%;9,0386%;14,8880%;1,5669%;1,5064%;1,2407%;13,9647%;22,4979%;24,3450%;-34,5350%;R$ 486.413.672,2700;R$ 4.641,3518;4955.0;0,7553%;0,1009%;0,8570%;9,1710%;0,0000%;;1
23;NVHO11;Hospital;3197.0;70.0;R$ 0,0529;0,1994%;0,5554%;1,8205%;6,3684%;0,1851%;0,3034%;0,5307%;5,3338%;-8,6207%;-8,4384%;335,3134%;R$ 290.393.092,6100;R$ 6,9983;45682.0;0,7552%;0,0413%;0,7968%;38,1286%;;;0
24;PQDP11;Shoppings;2.99701;35.0;R$ 15,6286;0,5210%;1,5699%;2,9965%;5,4632%;0,5233%;0,4994%;0,4553%;4,5769%;1,7294%;2,2594%;-4,6702%;R$ 660.286.986,7200;R$ 2.768,7659;10824.0;;;;;2,1000%;;1
25;PRSV11;Lajes Corporativas;33201.0;62.0;R$ 1,7400;0,5234%;1,5098%;2,4567%;3,5330%;0,5033%;0,4095%;0,2944%;3,3394%;3,8744%;4,4181%;-15,3050%;R$ 79.179.263,2800;R$ 406,0475;8177.0;0,3965%;-0,0122%;0,3843%;2,6305%;;;2
26;TBOF11;Lajes Corporativas;7800.0;7724.0;R$ 0,2102;0,2694%;0,7985%;1,6197%;2,8845%;0,2662%;0,2699%;0,2404%;2,6896%;3,9861%;4,2663%;-2,8805%;R$ 802.081.016,9300;R$ 79,8091;9773.0;0,2633%;0,0177%;0,2811%;2,9731%;28,2000%;;1
27;VLOL11;Lajes Corporativas;8800.0;1928.0;R$ 0,4377;0,5003%;1,2435%;2,5079%;4,8116%;0,4145%;0,4180%;0,4010%;4,3905%;4,9664%;5,4915%;1,5768%;R$ 133.451.088,0400;R$ 74,7697;11769.0;0,5854%;-0,0507%;0,5344%;6,0159%;0,0000%;;1
28;AGCX11;Outros;1.17;271.0;R$ 7,0000;0,6034%;1,9497%;4,0709%;7,6688%;0,6499%;0,6785%;0,6391%;6,9947%;5,4582%;6,0946%;-2,2939%;R$ 428.283.987,3700;R$ 1.057,4913;11064.0;0,6619%;-0,7831%;-0,1263%;6,7504%;;;41
29;BBVJ11;Lajes Corporativas;4756.0;1733.0;R$ 0,0300;0,0663%;0,1959%;0,3502%;1,0157%;0,0653%;0,0584%;0,0846%;0,3502%;-1,5652%;-1,5000%;-24,2687%;R$ 163.273.940,4900;R$ 60,2487;7894.0;0,0498%;0,0403%;0,0901%;1,0893%;66,7900%;;1
30;BMLC11B;Lajes Corporativas;7349.0;725.0;R$ 0,3913;0,5345%;1,3730%;2,8328%;5,8091%;0,4577%;0,4721%;0,4841%;5,0874%;1,1607%;1,7014%;-8,6453%;R$ 84.283.006,4400;R$ 84,4177;8706.0;0,4635%;-0,0056%;0,4579%;4,9225%;21,0000%;;2
31;BPFF11;Títulos e Val. Mob.;9059.0;2392.0;R$ 0,6000;0,6664%;2,0169%;4,1380%;8,0717%;0,6723%;0,6897%;0,6726%;7,3325%;-2,0239%;-1,3711%;-4,2347%;R$ 184.590.497,5100;R$ 92,2952;9815.0;0,6501%;1,5902%;2,2506%;1,5688%;;;0
32;CXCE11B;Outros;2.21601;19.0;R$ 19,5607;0,8587%;2,7678%;5,2061%;9,6427%;0,9226%;0,8677%;0,8036%;8,9011%;8,5284%;9,4603%;2,0153%;R$ 158.225.690,1300;R$ 2.309,2573;9596.0;0,8471%;0,0413%;0,8887%;9,5079%;;;1
33;CXTL11;Logística;48000.0;39.0;R$ 0,8602;0,1720%;0,1720%;0,4822%;1,6121%;0,0573%;0,0804%;0,1343%;1,4184%;-4,9430%;-4,7794%;-11,3399%;R$ 50.745.094,6600;R$ 946,7898;5070.0;0,0908%;0,0125%;0,1034%;-1,4195%;;;4
34;CTXT11;Lajes Corporativas;406.0;6470.0;R$ 0,0274;0,6732%;2,0214%;4,0443%;7,5209%;0,6738%;0,6741%;0,6267%;6,7205%;-0,4890%;0,1809%;-3,2889%;R$ 123.727.998,0900;R$ 3,4066;11918.0;0,8043%;-0,6882%;0,1106%;7,8497%;5,5000%;;1
35;FLMA11;Híbrido;249.0;27876.0;R$ 0,0153;0,6296%;1,8021%;3,4741%;6,1612%;0,6007%;0,5790%;0,5134%;5,7239%;-3,5714%;-2,9643%;0,1073%;R$ 184.385.080,0800;R$ 2,6710;9323.0;0,5728%;0,1693%;0,7431%;6,0044%;;;1
36;EDFO11B;Lajes Corporativas;28389.0;70.0;R$ 1,7753;0,6296%;1,8868%;3,7206%;7,2342%;0,6289%;0,6201%;0,6029%;6,6525%;-0,0071%;0,6224%;7,6129%;R$ 42.117.945,1200;R$ 178,4659;15907.0;0,9948%;-0,0139%;0,9807%;11,1939%;6,9600%;;1
37;EURO11;Logística;17150.0;161.0;R$ 0,9000;0,5172%;1,6710%;3,2196%;6,6193%;0,5570%;0,5366%;0,5516%;5,9783%;2,3529%;2,8824%;-7,6554%;R$ 119.178.008,5400;R$ 310,4111;5525.0;0,2899%;-0,0687%;0,2210%;3,8143%;24,4600%;;6
38;FIGS11;Shoppings;6925.0;6453.0;R$ 0,8333;1,1905%;3,6243%;7,2354%;12,7012%;1,2081%;1,2059%;1,0584%;11,7989%;1,2292%;2,4343%;-17,5752%;R$ 242.809.623,3100;R$ 93,6946;7391.0;0,8894%;-0,0944%;0,7942%;16,0269%;10,3600%;;2
39;ABCP11;Shoppings;1692.0;19771.0;R$ 0,0900;0,5389%;1,5757%;3,2265%;6,4416%;0,5252%;0,5377%;0,5368%;5,9444%;0,6024%;1,1446%;4,4192%;R$ 905.327.702,6200;R$ 14,8368;11404.0;0,6066%;15,4829%;16,1835%;24,1799%;1,2000%;;1
40;FIIB11;Híbrido;42200.0;1326.0;R$ 2,6800;0,6373%;1,9757%;3,9671%;7,5203%;0,6586%;0,6612%;0,6267%;6,3488%;4,8628%;5,5312%;6,6600%;R$ 267.320.539,1800;R$ 390,2490;10814.0;;;;;4,5900%;;1
41;FMOF11;Lajes Corporativas;8001.0;208.0;R$ 0,2500;0,2857%;0,8519%;1,7532%;3,3511%;0,2840%;0,2922%;0,2793%;2,9329%;6,0356%;6,3386%;-22,3291%;R$ 67.276.951,6000;R$ 132,4329;6042.0;0,1888%;0,4108%;0,6004%;2,7032%;47,8000%;;1
42;MBRF11;Outros;1.04722;87.0;R$ 8,0000;0,7562%;2,3151%;4,6941%;9,1407%;0,7717%;0,7823%;0,7617%;8,4213%;1,7298%;2,4990%;5,4607%;R$ 119.784.289,7600;R$ 1.178,2370;8888.0;0,6790%;3,1097%;3,8097%;11,3884%;0,0000%;;2
43;PABY11;Híbrido;2075.0;43.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;-19,8397%;-19,8397%;-31,6239%;R$ 189.721.449,6000;R$ 250,1601;829.0;;;;;;;1
44;FPAB11;Lajes Corporativas;34400.0;100.0;R$ 1,7000;0,5015%;3,7364%;5,3279%;8,4992%;1,2455%;0,8880%;0,7083%;7,9298%;-4,5072%;-4,0283%;3,3183%;R$ 260.461.506,2200;R$ 347,2820;9905.0;0,4895%;-0,0480%;0,4413%;8,6527%;24,7200%;;1
45;FFCI11;Lajes Corporativas;14760.0;1318.0;R$ 0,6300;0,4228%;1,2727%;2,5950%;4,9046%;0,4242%;0,4325%;0,4087%;4,9046%;-3,1839%;-2,7745%;-9,3735%;R$ 373.481.562,3500;R$ 172,1113;8576.0;0,3660%;-2,8927%;-2,5372%;1,3923%;5,6000%;;8
46;RNGO11;Lajes Corporativas;8419.0;3000.0;R$ 0,4800;0,5645%;1,7485%;3,6614%;7,2157%;0,5828%;0,6102%;0,6013%;6,6344%;4,0886%;4,6762%;-2,8403%;R$ 250.387.659,6500;R$ 93,5679;8998.0;0,5130%;0,8133%;1,3305%;7,0907%;11,7000%;;3
47;SCPF11;Shoppings;1100.0;1676.0;R$ 0,0459;0,4082%;1,1550%;2,7956%;6,1561%;0,3850%;0,4659%;0,5130%;5,6184%;-3,9283%;-3,5361%;-15,0124%;R$ 47.459.940,7800;R$ 11,3000;9735.0;0,4064%;0,3056%;0,7133%;8,0381%;;;1
48;SHPH11;Shoppings;91500.0;83.0;R$ 3,5500;0,3893%;1,1327%;2,2630%;4,5235%;0,3776%;0,3772%;0,3770%;4,1769%;-4,0000%;-3,6263%;-4,9186%;R$ 433.108.958,2300;R$ 711,2389;12865.0;0,4991%;2,1462%;2,6561%;2,3914%;1,5000%;;1
49;ONEF11;Lajes Corporativas;13200.0;701.0;R$ 0,7200;0,5414%;1,6367%;3,2440%;6,4247%;0,5456%;0,5407%;0,5354%;5,9128%;6,1368%;6,7114%;16,5941%;R$ 101.553.837,0300;R$ 111,4751;11841.0;0,6459%;2,3964%;3,0578%;9,6059%;0,0000%;;1
50;FIVN11;Shoppings;298.0;378.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;;0,0000%;0,0000%;0,0000%;R$ 87.587.374,3500;R$ 9,3053;3202.0;;;;;;;1
51;RBBV11;Títulos e Val. Mob.;7235.0;814.0;R$ 0,5294;0,7450%;1,5381%;5,0875%;8,2251%;0,5127%;0,8479%;0,6854%;7,6699%;2,0247%;2,7848%;18,0825%;R$ 125.969.285,8300;R$ 100,4408;7203.0;0,5270%;-0,0335%;0,4934%;5,1871%;;;1
52;JSRE11;Híbrido;9740.0;10064.0;R$ 0,6000;0,5935%;1,6165%;3,1714%;6,3757%;0,5388%;0,5286%;0,5313%;5,7594%;1,9153%;2,5202%;0,1661%;R$ 881.966.540,3700;R$ 109,1301;8925.0;0,5498%;0,8712%;1,4258%;5,0942%;2,0000%;;2
53;KNRE11;Residencial;928.0;6213.0;R$ 0,0539;0,5938%;0,5938%;8,9472%;12,0781%;0,1979%;1,4912%;1,0065%;8,9472%;-6,3918%;-5,8359%;-6,0828%;R$ 134.001.217,1400;R$ 7,2249;12844.0;;;;;;;0
54;KNRI11;Híbrido;14750.0;18086.0;R$ 0,7400;0,4872%;1,6243%;3,4118%;6,3205%;0,5414%;0,5686%;0,5267%;5,7613%;-1,0423%;-0,5603%;-0,6890%;R$ 2.235.450.348,6500;R$ 143,9977;10243.0;0,5139%;-0,0020%;0,5119%;7,0180%;8,3800%;11,7400%;15
55;KNCR11;Títulos e Val. Mob.;10510.0;20686.0;R$ 0,5300;0,4983%;1,6016%;3,4775%;6,8943%;0,5339%;0,5796%;0,5745%;6,3018%;0,2073%;0,7066%;5,8484%;R$ 3.272.477.251,1200;R$ 104,3022;10076.0;0,5081%;-0,0947%;0,4130%;6,4671%;;;0
56;MXRF11;Híbrido;1005.0;70137.0;R$ 0,0600;0,5894%;1,8971%;4,4108%;8,2472%;0,6324%;0,7351%;0,6873%;7,7214%;0,6924%;1,2859%;14,6414%;R$ 303.623.618,2600;R$ 9,6441;10421.0;0,6221%;0,2016%;0,8250%;10,9853%;;;0
57;MFII11;Híbrido;9300.0;6958.0;R$ 1,1300;1,1472%;2,5044%;3,5216%;8,9209%;0,8348%;0,5869%;0,7434%;8,0839%;17,2619%;18,6071%;-25,2039%;R$ 197.400.301,5600;R$ 98,5714;9435.0;1,1464%;-0,7182%;0,4200%;-1,2213%;;;9
58;DRIT11B;Lajes Corporativas;15000.0;20.0;R$ 0,7000;0,5344%;1,6618%;3,3955%;8,0824%;0,5539%;0,5659%;0,6735%;7,6413%;6,2019%;6,7694%;17,7893%;R$ 57.851.511,1100;R$ 124,8746;12012.0;0,5606%;3,2873%;3,8663%;8,2212%;4,1700%;;6
59;PLRI11;Títulos e Val. Mob.;7750.0;252.0;R$ 0,3364;0,4154%;2,0989%;4,7033%;8,5235%;0,6996%;0,7839%;0,7103%;7,8674%;-1,8186%;-1,4108%;-4,2823%;R$ 77.468.573,9800;R$ 81,1781;9547.0;0,4143%;-1,4433%;-1,0349%;-10,0034%;;;0
60;PORD11;Títulos e Val. Mob.;10400.0;93.0;R$ 5,0000;4,9087%;4,9087%;4,9087%;8,0854%;1,6362%;0,8181%;0,6738%;4,9087%;1,4542%;6,4343%;6,8600%;R$ 108.849.000,5800;R$ 108,8490;9555.0;;;;;;;0
61;RBDS11;Residencial;30500.0;78.0;R$ 7,7468;2,5399%;6,6288%;13,4283%;22,2987%;2,2096%;2,2381%;1,8582%;20,2404%;1,6701%;4,2524%;-6,8494%;R$ 33.783.496,3000;R$ 267,0147;11423.0;2,9013%;-9,7062%;-7,0865%;-40,8222%;;;0
62;RBGS11;Shoppings;4152.0;655.0;R$ 0,0986;0,2245%;0,8456%;1,6825%;4,3619%;0,2819%;0,2804%;0,3635%;4,0516%;2,8103%;3,0411%;-1,3791%;R$ 107.152.345,1300;R$ 99,3992;4177.0;0,0991%;0,0007%;0,0999%;2,1304%;12,4000%;;1
63;FIIP11B;Logística;19400.0;666.0;R$ 1,1808;0,6079%;1,9464%;3,9589%;9,0432%;0,6488%;0,6598%;0,7536%;8,3676%;5,0400%;5,6786%;8,2627%;R$ 176.663.139,7100;R$ 190,5418;10181.0;0,6197%;0,1243%;0,7448%;16,1122%;;;7
64;RBRD11;Híbrido;8751.0;1290.0;R$ 0,5141;0,5842%;4,9025%;6,7606%;10,3308%;1,6342%;1,1268%;0,8609%;9,7111%;0,3421%;0,9283%;17,5157%;R$ 137.781.058,6700;R$ 74,4044;11761.0;0,6910%;0,3668%;1,0603%;11,8674%;0,0000%;;4
65;RDES11;Lajes Corporativas;7001.0;275.0;R$ 0,2939;0,4082%;0,9665%;2,2137%;4,1745%;0,3222%;0,3690%;0,3479%;3,7250%;-0,5525%;-0,1465%;11,4997%;R$ 67.053.548,9500;R$ 90,3687;7747.0;0,3252%;-0,2142%;0,1103%;3,0315%;50,5300%;;4
66;RBCB11;Outros;21000.0;77.0;R$ 4,4000;1,8326%;4,9218%;9,9231%;13,3081%;1,6406%;1,6538%;1,1090%;12,4899%;7,1830%;9,1473%;-57,4673%;R$ 4.710.740,6800;R$ 88,7145;23671.0;4,9597%;-15,3224%;-11,1227%;-50,7754%;;;0
67;RBVO11;Outros;5262.0;726.0;R$ 0,8000;1,3311%;3,3568%;4,9688%;10,0203%;1,1189%;0,8281%;0,8350%;7,6506%;1,1614%;2,5080%;3,7736%;R$ 30.372.892,8800;R$ 58,8823;8936.0;1,3586%;-0,7948%;0,5530%;7,3311%;;;0
68;SAAG11;Outros;12450.0;7169.0;R$ 0,8700;0,6911%;2,2158%;4,4652%;8,3592%;0,7386%;0,7442%;0,6966%;7,6898%;5,4271%;6,1558%;5,1899%;R$ 506.955.672,1500;R$ 90,0212;13830.0;0,9664%;2,3808%;3,3702%;14,0530%;;;28
69;SDIL11;Logística;10530.0;5379.0;R$ 0,6400;0,6681%;2,0135%;4,1822%;8,0215%;0,6712%;0,6970%;0,6685%;7,3335%;-0,5192%;0,1454%;3,9479%;R$ 269.217.570,8600;R$ 92,4636;11388.0;0,6922%;3,5796%;4,2966%;6,9057%;0,0000%;;1
70;SPTW11;Lajes Corporativas;7480.0;2109.0;R$ 0,6100;0,8139%;2,3046%;4,5621%;8,7862%;0,7682%;0,7604%;0,7322%;8,0668%;0,1202%;0,9351%;2,7484%;R$ 134.068.783,0000;R$ 74,5655;10031.0;0,8181%;0,2179%;1,0377%;9,2798%;;;2
71;XTED11;Lajes Corporativas;1702.0;1101.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;1,0962%;1,0962%;-37,8277%;R$ 50.018.449,0700;R$ 27,9034;6100.0;;;;;96,8000%;91,6000%;2
72;TRXL11;Logística;7250.0;1299.0;R$ 0,3465;0,4695%;1,4231%;2,8510%;5,5578%;0,4744%;0,4752%;0,4632%;5,1059%;11,2786%;11,8011%;-2,6614%;R$ 189.014.942,5100;R$ 101,2148;7163.0;0,3423%;0,0876%;0,4303%;-0,2302%;24,6000%;38,2000%;6
73;XPCM11;Lajes Corporativas;9575.0;3877.0;R$ 0,8600;0,9134%;2,6135%;5,1854%;9,9617%;0,8712%;0,8642%;0,8301%;9,1705%;1,4547%;2,3815%;4,7239%;R$ 199.940.530,0500;R$ 82,8059;11563.0;1,0386%;3,2352%;4,3073%;14,6783%;0,0000%;0,0000%;1
74;KNIP11;Títulos e Val. Mob.;10974.0;14936.0;R$ 0,8500;0,7709%;2,0737%;4,3055%;8,2294%;0,6912%;0,7176%;0,6858%;7,5846%;1,7253%;2,5095%;10,1282%;R$ 1.807.595.619,1000;R$ 103,5819;10595.0;0,8206%;-0,3879%;0,4295%;8,4869%;;;0
75;FAED11;Outros;20998.0;0.0;R$ 1,5057;0,7248%;2,2188%;4,5269%;8,6737%;0,7396%;0,7545%;0,7228%;7,9400%;2,2543%;2,9954%;-0,0582%;R$ 103.272.198,3000;R$ 160,8180;13057.0;0,9363%;-0,0033%;0,9330%;10,7294%;0,0000%;;3
76;CNES11;Lajes Corporativas;7800.0;0.0;R$ 0,0628;0,0867%;0,8618%;1,7041%;3,7079%;0,2873%;0,2840%;0,3090%;2,6205%;2,8681%;2,9573%;-26,0003%;R$ 277.453.601,8400;R$ 94,0761;8291.0;;;;;59,8000%;;1
77;FLRP11;Shoppings;1.233;11.0;R$ 5,6319;0,4470%;1,3928%;2,7757%;6,4641%;0,4643%;0,4626%;0,5387%;5,6874%;-0,0032%;0,4438%;13,9749%;R$ 77.198.802,9300;R$ 1.386,1989;8895.0;;;;;2,7300%;;1
78;FEXC11;Títulos e Val. Mob.;10566.0;0.0;R$ 0,8500;0,7759%;2,3263%;5,0923%;9,5861%;0,7754%;0,8487%;0,7988%;8,9337%;-2,1875%;-1,4286%;15,1382%;R$ 147.087.480,7000;R$ 100,6566;10497.0;0,8445%;-0,8676%;-0,0305%;9,6479%;;;0
79;EDGA11;Lajes Corporativas;4418.0;0.0;R$ 0,2194;0,5084%;1,3232%;2,0465%;3,4779%;0,4411%;0,3411%;0,2898%;2,7033%;16,6486%;17,2417%;-8,5761%;R$ 311.425.454,1800;R$ 81,6949;5408.0;;;;;19,5000%;;1
80;NSLU11;Hospital;22071.0;0.0;R$ 1,5680;0,7016%;2,1070%;4,3057%;7,8750%;0,7023%;0,7176%;0,6562%;6,6481%;-4,8371%;-4,1695%;-9,7132%;R$ 236.236.711,2900;R$ 206,3563;10696.0;;;;;0,0000%;;1
81;HTMX11;Hotel;15050.0;0.0;R$ 0,9884;0,6912%;2,3048%;4,0110%;6,7307%;0,7683%;0,6685%;0,5609%;5,9492%;9,1603%;9,9148%;15,8303%;R$ 149.656.455,2000;R$ 133,7460;11253.0;0,7390%;-0,3674%;0,3689%;5,2970%;27,0000%;;24
82;MAXR11;Outros;1.75999;0.0;R$ 9,9759;0,5223%;1,3280%;4,0019%;8,5121%;0,4427%;0,6670%;0,7093%;5,6979%;0,5274%;1,0524%;0,9725%;R$ 110.625.211,3600;R$ 1.867,2497;9426.0;;;;;0,0000%;;8
83;JRDM11;Shoppings;7070.0;0.0;R$ 0,3607;0,5045%;1,6746%;3,3934%;6,4000%;0,5582%;0,5656%;0,5333%;5,0223%;-1,3793%;-0,8817%;-7,7633%;R$ 188.963.244,9600;R$ 85,0014;8318.0;;;;;2,5000%;;1
84;ALMI11;Lajes Corporativas;1.26155;0.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;2,2692%;2,2692%;-28,2913%;R$ 221.858.126,7200;R$ 1.995,5398;6322.0;;;;;82,0000%;;1
85;TRNT11;Lajes Corporativas;17201.0;378.0;R$ 0,6109;0,3432%;0,9326%;1,6782%;2,9690%;0,3109%;0,2797%;0,2474%;2,7649%;4,7059%;5,0652%;2,7939%;R$ 741.127.131,9900;R$ 188,3155;9134.0;0,3244%;0,0495%;0,3741%;4,0630%;20,1000%;;1
