;Ativo;Setor;Preço;Volume (21d);Dividendo;Dividend Yield;Dividend Yield 3M (acumulado);Dividend Yield 6M (acumulado);Dividend Yield 12M (acumulado);Dividend Yield 3M (média);Dividend Yield 6M (média);Dividend Yield 12M (média);Dividend Yield no Ano;Variação Preço;Rentabilidade no Período;Rentabilidade Acumulada;Patrimônio Líquido;Valor Patrimonial;P/VPA;Dividend Yield Patrimonial;Variação Patrimonial;Rentabilidade Patrimonial no Período;Rentabilidade Patrimonial Acumulada;Vacância Física;Vacância Financeira;Qtd Ativos
0;AEFI11;Outros;15655.0;1417.0;R$ 1,2200;0,7678%;2,4817%;5,0240%;9,3482%;0,8272%;0,8373%;0,7790%;8,5984%;4,1902%;4,9902%;4,9142%;R$ 113.957.882,4800;R$ 151,4390;10337.0;0,8056%;3,6399%;4,4749%;12,3895%;0,0000%;;2
1;BCRI11;Títulos e Val. Mob.;10635.0;3313.0;R$ 1,2300;1,1390%;3,0249%;5,3566%;9,0941%;1,0083%;0,8928%;0,7578%;8,4806%;-1,4780%;-0,3558%;9,8201%;R$ 120.986.079,9300;R$ 99,9884;10636.0;1,2301%;-0,2099%;1,0177%;11,7549%;;;0
2;BNFS11;Outros;12130.0;118.0;R$ 0,8483;0,6791%;2,1240%;4,2948%;8,2461%;0,7080%;0,7158%;0,6872%;7,6250%;0,4100%;1,0919%;12,3005%;R$ 62.642.615,2200;R$ 89,4895;13555.0;0,9479%;-0,0007%;0,9472%;10,7759%;;;18
3;BBFI11B;Lajes Corporativas;1.93;199.0;R$ 24,3352;1,1452%;3,8281%;7,1670%;12,2225%;1,2760%;1,1945%;1,0185%;11,4529%;14,8648%;16,1802%;-20,3011%;R$ 350.969.439,5800;R$ 2.699,7649;7149.0;0,9014%;0,0422%;0,9440%;10,2223%;;;2
4;BBPO11;Lajes Corporativas;13900.0;17289.0;R$ 1,0249;0,7357%;2,2872%;4,6290%;8,8729%;0,7624%;0,7715%;0,7394%;8,0043%;0,9493%;1,6919%;5,1248%;R$ 1.644.313.289,5700;R$ 103,2880;13458.0;0,9922%;-0,1154%;0,8757%;19,7773%;;;64
5;BBRC11;Outros;13970.0;994.0;R$ 0,9000;0,6414%;1,9541%;4,0053%;7,4560%;0,6514%;0,6676%;0,6213%;6,7522%;-1,3291%;-0,6962%;1,0026%;R$ 155.336.013,6600;R$ 97,6956;14300.0;0,9212%;0,1126%;1,0349%;10,5074%;;;19
6;RNDP11;Títulos e Val. Mob.;93001.0;55.0;R$ 4,9356;0,5250%;1,5941%;3,3036%;6,6805%;0,5314%;0,5506%;0,5567%;6,1260%;-1,0370%;-0,5174%;9,8096%;R$ 115.205.598,3800;R$ 1.071,8694;8677.0;0,4605%;0,5375%;1,0005%;8,3636%;;;0
7;BCIA11;Títulos e Val. Mob.;10410.0;524.0;R$ 0,7000;0,6720%;1,9323%;3,8615%;7,3429%;0,6441%;0,6436%;0,6119%;6,7426%;-0,7905%;-0,1238%;-3,2874%;R$ 190.735.728,3100;R$ 112,8872;9222.0;0,6201%;4,8173%;5,4673%;-0,1284%;;;0
8;CARE11;Híbrido;168.0;47206.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;;0,0000%;0,0000%;0,0000%;R$ 196.547.678,5900;R$ 1,4584;11519.0;;;;;;;0
9;CXRI11;Híbrido;99681.0;27.0;R$ 7,0000;0,6965%;2,1555%;4,3416%;8,3013%;0,7185%;0,7236%;0,6918%;7,5420%;2,5510%;3,2653%;-7,3184%;R$ 163.878.008,5100;R$ 1.039,9935;9585.0;0,6731%;1,5282%;2,2116%;2,4906%;;;0
10;CPTS11B;Títulos e Val. Mob.;10141.0;1193.0;R$ 0,8000;0,7850%;2,3417%;4,8037%;9,2377%;0,7806%;0,8006%;0,7698%;8,5103%;-1,1446%;-0,3686%;12,5011%;R$ 153.904.789,6300;R$ 97,5424;10397.0;0,8202%;-0,1776%;0,6411%;7,8839%;;;0
11;CBOP11;Lajes Corporativas;7291.0;913.0;R$ 0,4700;0,6505%;2,0028%;4,0704%;7,7761%;0,6676%;0,6784%;0,6480%;7,1452%;0,3612%;1,0140%;0,1075%;R$ 101.117.827,6300;R$ 71,4614;10203.0;0,6577%;0,0066%;0,6644%;7,3253%;7,0000%;;1
12;HGBS11;Shoppings;22985.0;5942.0;R$ 1,3500;0,6099%;1,7174%;3,4626%;6,4679%;0,5725%;0,5771%;0,5390%;5,9775%;3,7205%;4,3531%;0,1904%;R$ 1.192.718.125,7600;R$ 221,9043;10358.0;0,6084%;-0,0187%;0,5896%;2,6144%;7,0100%;;8
13;GRLV11;Logística;9799.0;2601.0;R$ 0,6700;0,6700%;2,2584%;4,1895%;7,6626%;0,7528%;0,6982%;0,6386%;7,0376%;3,0928%;3,7835%;-11,7132%;R$ 126.807.627,4000;R$ 118,1221;8296.0;0,5672%;0,1122%;0,6800%;7,2747%;7,2800%;;1
14;HGJH11;Lajes Corporativas;16365.0;1538.0;R$ 0,8000;0,4695%;1,4929%;3,0207%;5,8833%;0,4976%;0,5035%;0,4903%;5,3566%;9,9355%;10,4516%;18,4365%;R$ 192.925.482,2500;R$ 116,9245;13996.0;0,6842%;0,0067%;0,6909%;7,2473%;1,7000%;;2
15;HGLG11;Logística;13800.0;10614.0;R$ 0,7500;0,5482%;1,7158%;3,5031%;7,2838%;0,5719%;0,5839%;0,6070%;6,6360%;4,4112%;4,9836%;11,2364%;R$ 917.999.603,8600;R$ 116,4776;11848.0;0,6439%;0,3101%;0,9560%;11,4980%;4,7000%;7,3000%;11
16;HGRE11;Lajes Corporativas;14390.0;11277.0;R$ 0,7400;0,5139%;1,5529%;3,5148%;6,8684%;0,5176%;0,5858%;0,5724%;6,2156%;6,8646%;7,4137%;2,1417%;R$ 1.093.382.333,2000;R$ 148,0926;9717.0;0,4997%;0,0510%;0,5510%;4,9879%;18,3300%;17,8300%;19
