;Códigodo fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
0;ABCP11;Shoppings;R$ 95,00;14935.0;R$ 0,49;0,47%;1,70%;3,22%;5,86%;0,57%;0,54%;0,49%;1,25%;-3,48%;-3,02%;-2,27%;R$ 1.037.448.043,69;R$ 85,01;112.0;0,98%;0,00%;0,98%;0,98%;1,00%;;1
1;ALMI11;Lajes Corporativas;R$ 1.800,00;614.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,27%;2,27%;-28,29%;R$ 220.392.952,12;R$ 1.982,36;91.0;;;;;78,56%;;1
2;ALZR11;Logística;R$ 101,99;22451.0;R$ 0,59;0,46%;1,31%;2,68%;6,18%;0,44%;0,45%;0,52%;0,46%;0,00%;0,46%;0,46%;R$ 270.787.367,74;R$ 94,65;108.0;0,63%;0,00%;0,63%;0,63%;0,00%;;7
3;ARRI11;Títulos e Val. Mob.;R$ 85,00;1348.0;R$ 0,28;0,30%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,68%;-9,08%;-8,81%;-8,47%;R$ 37.215.613,37;R$ 94,85;90.0;0,42%;0,00%;0,42%;0,42%;;;0
4;ATSA11;Shoppings;R$ 139,00;7.0;R$ 0,25;0,18%;0,59%;1,30%;2,97%;0,20%;0,22%;0,25%;0,37%;0,74%;0,92%;1,10%;R$ 191.135.103,81;R$ 111,44;125.0;0,22%;0,00%;0,22%;0,22%;17,40%;;1
5;BARI11;Títulos e Val. Mob.;R$ 99,06;31935.0;R$ 0,71;0,66%;1,64%;4,39%;0,00%;0,55%;0,73%;0,00%;1,31%;-2,40%;-1,75%;-1,12%;R$ 223.415.073,48;R$ 100,00;99.0;0,71%;0,00%;0,71%;0,71%;;;0
6;BBFI11B;Lajes Corporativas;R$ 2.265,00;364.0;R$ 27,16;1,11%;2,84%;5,57%;11,36%;0,95%;0,93%;0,95%;1,98%;-16,95%;-16,03%;-15,30%;R$ 406.836.160,47;R$ 3.129,51;72.0;0,82%;0,00%;0,82%;0,82%;72,20%;;2
7;BBPO11;Lajes Corporativas;R$ 142,00;90209.0;R$ 1,06;0,66%;1,92%;3,96%;8,22%;0,64%;0,66%;0,69%;1,30%;-1,60%;-0,95%;-0,31%;R$ 1.627.118.133,27;R$ 102,21;139.0;1,04%;0,00%;1,04%;1,04%;0,00%;;64
8;BBRC11;Outros;R$ 126,00;5678.0;R$ 0,92;0,62%;1,99%;4,03%;8,11%;0,66%;0,67%;0,68%;1,24%;-0,81%;-0,19%;0,42%;R$ 175.432.818,82;R$ 110,34;114.0;0,83%;0,00%;0,83%;0,83%;;;20
9;BBVJ11;Lajes Corporativas;R$ 58,20;3358.0;R$ 0,33;0,61%;0,74%;0,94%;0,96%;0,25%;0,16%;0,08%;0,96%;19,24%;19,96%;-9,15%;R$ 156.413.408,78;R$ 57,72;101.0;;;;;70,40%;;1
10;BCFF11;Títulos e Val. Mob.;R$ 87,65;91888.0;R$ 0,53;0,54%;1,62%;3,25%;6,94%;0,54%;0,54%;0,58%;1,10%;-2,69%;-2,16%;-1,61%;R$ 1.195.756.794,02;R$ 94,27;93.0;0,60%;0,00%;0,60%;0,60%;;;0
11;BCIA11;Títulos e Val. Mob.;R$ 172,00;1190.0;R$ 1,00;0,49%;2,67%;5,45%;9,67%;0,89%;0,91%;0,81%;1,04%;-7,24%;-6,79%;-6,28%;R$ 234.457.207,91;R$ 138,76;124.0;0,86%;0,00%;0,86%;0,86%;;;0
12;BCRI11;Títulos e Val. Mob.;R$ 105,00;16057.0;R$ 1,04;0,91%;2,40%;3,96%;8,31%;0,80%;0,66%;0,69%;1,84%;-7,31%;-6,47%;-5,60%;R$ 265.490.058,53;R$ 106,20;99.0;1,08%;0,00%;1,08%;1,08%;;;0
13;BICR11;Títulos e Val. Mob.;R$ 100,00;1868.0;R$ 0,34;0,30%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,02%;-2,95%;-2,66%;-1,96%;R$ 53.603.674,87;R$ 107,21;93.0;0,78%;0,00%;0,78%;0,78%;;;0
14;BMLC11B;Lajes Corporativas;R$ 91,00;925.0;R$ 0,53;0,50%;1,49%;2,92%;5,51%;0,50%;0,49%;0,46%;1,01%;-0,75%;-0,25%;0,25%;R$ 93.932.333,05;R$ 94,08;97.0;0,56%;0,00%;0,56%;0,56%;1,70%;;2
15;BNFS11;Outros;R$ 115,00;591.0;R$ 0,86;0,67%;1,98%;4,14%;8,37%;0,66%;0,69%;0,70%;1,30%;-2,60%;-1,95%;-1,33%;R$ 66.908.327,53;R$ 95,58;120.0;0,87%;0,00%;0,87%;0,87%;;;18
