;Códigodo fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
16;BPFF11;Títulos e Val. Mob.;R$ 102,50;9201.0;R$ 0,75;0,66%;2,43%;4,41%;8,64%;0,81%;0,73%;0,72%;1,27%;-6,71%;-6,10%;-5,52%;R$ 284.218.424,18;R$ 106,49;96.0;0,70%;0,00%;0,70%;0,70%;;;0
17;BRCO11;Logística;R$ 115,00;17764.0;R$ 0,55;0,44%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,86%;-2,92%;-2,50%;-2,08%;R$ 1.205.390.682,74;R$ 95,92;120.0;0,58%;0,00%;0,58%;0,58%;;;10
18;BRCR11;Híbrido;R$ 94,07;176569.0;R$ 0,56;0,52%;1,50%;3,18%;6,06%;0,50%;0,53%;0,50%;0,52%;0,00%;0,52%;0,52%;R$ 2.532.709.557,85;R$ 110,51;85.0;0,51%;0,00%;0,51%;0,51%;14,10%;8,10%;12
19;BTCR11;Títulos e Val. Mob.;R$ 92,00;15559.0;R$ 0,61;0,61%;1,75%;3,43%;7,08%;0,58%;0,57%;0,59%;1,20%;-1,09%;-0,49%;0,11%;R$ 382.909.697,83;R$ 98,04;94.0;0,62%;0,00%;0,62%;0,62%;;;0
20;BTLG11;Logística;R$ 94,20;8147.0;R$ 0,60;0,55%;1,49%;2,59%;5,02%;0,50%;0,43%;0,42%;0,55%;0,00%;0,55%;0,55%;R$ 204.152.551,22;R$ 100,20;94.0;0,60%;0,00%;0,60%;0,60%;0,00%;;6
21;BZLI11;Títulos e Val. Mob.;R$ 14,50;2.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,68%;0,68%;1,14%;R$ 408.179.917,08;R$ 11,88;122.0;;;;;;;0
22;CARE11;Híbrido;R$ 0,94;524353.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 249.816.084,01;R$ 1,40;67.0;;;;;;;0
23;CBOP11;Lajes Corporativas;R$ 82,00;18322.0;R$ 0,49;0,54%;1,60%;3,36%;7,32%;0,53%;0,56%;0,61%;1,05%;-5,22%;-4,71%;-4,22%;R$ 120.906.277,63;R$ 85,45;96.0;0,57%;0,00%;0,57%;0,57%;10,37%;10,76%;1
24;CEOC11;Lajes Corporativas;R$ 80,07;4224.0;R$ 0,56;0,60%;1,75%;3,62%;7,51%;0,58%;0,60%;0,63%;1,18%;-4,62%;-4,05%;-3,50%;R$ 178.531.937,77;R$ 98,33;81.0;0,57%;0,00%;0,57%;0,57%;0,00%;;1
25;CNES11;Lajes Corporativas;R$ 71,99;789.0;R$ 0,18;0,21%;0,54%;1,31%;2,55%;0,18%;0,22%;0,21%;0,21%;0,00%;0,21%;0,21%;R$ 282.008.377,32;R$ 95,62;75.0;0,19%;0,00%;0,19%;0,19%;33,90%;;1
26;CPFF11;Híbrido;R$ 87,50;11484.0;R$ 0,58;0,58%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,21%;-2,43%;-1,86%;-1,24%;R$ 235.810.253,83;R$ 98,25;89.0;0,66%;0,00%;0,66%;0,66%;;;0
27;CPTS11B;Títulos e Val. Mob.;R$ 94,50;16085.0;R$ 0,65;0,60%;1,75%;3,77%;7,90%;0,58%;0,63%;0,66%;0,60%;0,00%;0,60%;0,60%;R$ 304.298.404,42;R$ 97,69;97.0;0,67%;0,00%;0,67%;0,67%;;;0
28;CRFF11;Títulos e Val. Mob.;R$ 98,99;1194.0;R$ 0,70;0,66%;1,98%;3,51%;0,00%;0,66%;0,59%;0,00%;1,27%;-5,90%;-5,29%;-4,70%;R$ 74.167.854,47;R$ 107,48;92.0;0,65%;0,00%;0,65%;0,65%;;;0
29;CTXT11;Lajes Corporativas;R$ 53,00;1390.0;R$ 0,38;0,66%;1,93%;3,80%;7,42%;0,64%;0,63%;0,62%;1,31%;-2,63%;-1,99%;-1,36%;R$ 138.163.069,92;R$ 53,26;100.0;0,71%;0,00%;0,71%;0,71%;8,60%;;1
30;CVBI11;Títulos e Val. Mob.;R$ 94,77;17337.0;R$ 0,73;0,73%;2,31%;0,00%;0,00%;0,77%;0,00%;0,00%;1,59%;-4,35%;-3,65%;-2,82%;R$ 152.775.318,67;R$ 100,06;95.0;0,90%;0,00%;0,90%;0,90%;;;0
31;CXCE11B;Outros;R$ 2.370,00;48.0;R$ 20,12;0,78%;2,24%;4,74%;9,66%;0,75%;0,79%;0,80%;1,51%;-6,59%;-5,86%;-5,17%;R$ 147.519.482,61;R$ 2.153,00;110.0;0,94%;0,00%;0,94%;0,94%;;;1
32;CXRI11;Híbrido;R$ 1.230,00;178.0;R$ 8,50;0,58%;3,63%;6,52%;10,53%;1,21%;1,09%;0,88%;1,07%;-15,19%;-14,70%;-14,28%;R$ 183.741.842,71;R$ 1.166,05;105.0;0,73%;0,00%;0,73%;0,73%;;;0
33;CXTL11;Logística;R$ 345,00;1.0;R$ 1,08;0,28%;0,70%;1,48%;2,98%;0,23%;0,25%;0,25%;0,43%;0,20%;0,48%;0,63%;R$ 41.142.884,16;R$ 767,63;45.0;0,08%;0,00%;0,08%;0,08%;;;4
34;DMAC11;Residencial;R$ 430,00;78.0;R$ 3,45;0,73%;2,21%;4,42%;8,91%;0,74%;0,74%;0,74%;2,21%;-12,04%;-11,40%;-14,96%;R$ 131.812.186,54;R$ 844,37;51.0;0,50%;0,00%;0,50%;0,50%;;;0
35;DOMC11;Lajes Corporativas;R$ 547,98;405.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;4,35%;4,35%;-10,00%;R$ 241.921.029,50;R$ 989,94;55.0;;;;;23,44%;;1
36;DRIT11B;Lajes Corporativas;R$ 186,96;2.0;R$ 0,70;0,38%;1,19%;2,32%;4,31%;0,40%;0,39%;0,36%;0,89%;19,38%;19,83%;20,45%;R$ 60.837.063,08;R$ 131,32;142.0;0,62%;0,00%;0,62%;0,62%;6,30%;;6
37;EDFO11B;Lajes Corporativas;R$ 240,00;1337.0;R$ 1,52;0,56%;1,57%;3,21%;6,80%;0,52%;0,53%;0,57%;1,08%;-0,04%;0,52%;1,04%;R$ 47.925.378,03;R$ 203,07;118.0;0,68%;0,00%;0,68%;0,68%;6,96%;;1
38;EDGA11;Lajes Corporativas;R$ 39,00;7011.0;R$ 0,19;0,36%;1,05%;2,34%;4,90%;0,35%;0,39%;0,41%;0,36%;0,00%;0,36%;0,36%;R$ 299.819.613,32;R$ 78,65;50.0;0,24%;0,00%;0,24%;0,24%;29,20%;;1
39;EURO11;Logística;R$ 152,02;1107.0;R$ 0,70;0,37%;1,04%;2,06%;7,87%;0,35%;0,34%;0,66%;0,71%;-10,57%;-10,24%;-9,94%;R$ 117.516.569,46;R$ 306,08;50.0;0,23%;0,00%;0,23%;0,23%;19,07%;;6
40;FAED11;Outros;R$ 198,00;1945.0;R$ 1,58;0,61%;1,72%;3,42%;7,31%;0,57%;0,57%;0,61%;1,19%;-4,82%;-4,24%;-3,68%;R$ 131.631.374,33;R$ 204,98;97.0;0,78%;0,00%;0,78%;0,78%;0,00%;;3
41;FAMB11B;Lajes Corporativas;R$ 2.480,02;155.0;R$ 28,43;1,05%;2,68%;5,39%;11,86%;0,89%;0,90%;0,99%;1,89%;-21,76%;-20,94%;-20,27%;R$ 361.588.835,10;R$ 3.450,28;72.0;0,84%;0,00%;0,84%;0,84%;0,00%;;1
42;FCFL11;Outros;R$ 110,00;5418.0;R$ 0,58;0,43%;1,12%;2,66%;5,82%;0,37%;0,44%;0,49%;0,43%;0,00%;0,43%;0,43%;R$ 354.113.406,33;R$ 106,02;104.0;0,55%;0,00%;0,55%;0,55%;0,00%;;1
43;FEXC11;Títulos e Val. Mob.;R$ 101,52;6249.0;R$ 0,70;0,63%;1,82%;3,44%;7,69%;0,61%;0,57%;0,64%;1,26%;0,54%;1,18%;1,82%;R$ 245.294.506,66;R$ 100,39;101.0;0,70%;0,00%;0,70%;0,70%;;;0
44;FIGS11;Shoppings;R$ 66,01;24912.0;R$ 0,39;0,49%;3,09%;3,09%;5,27%;1,03%;0,51%;0,44%;0,95%;-6,39%;-5,93%;-5,50%;R$ 280.758.413,48;R$ 98,51;67.0;0,40%;0,00%;0,40%;0,40%;10,70%;;2
45;FIIB11;Híbrido;R$ 478,92;3300.0;R$ 2,70;0,46%;1,40%;2,93%;6,38%;0,47%;0,49%;0,53%;0,46%;0,00%;0,46%;0,46%;R$ 288.463.360,37;R$ 421,11;114.0;0,64%;0,00%;0,64%;0,64%;2,62%;;1
46;FIIB11;Híbrido;R$ 478,92;3300.0;R$ 2,80;0,52%;1,47%;3,00%;6,44%;0,49%;0,50%;0,54%;0,52%;0,00%;0,52%;0,52%;R$ 288.463.360,37;R$ 421,11;114.0;0,64%;0,00%;0,64%;0,64%;2,62%;;1
47;FIIP11B;Logística;R$ 160,11;2394.0;R$ 0,86;0,42%;2,65%;4,01%;7,36%;0,88%;0,67%;0,61%;2,05%;-3,05%;-2,64%;-1,06%;R$ 181.154.745,81;R$ 195,39;82.0;1,73%;0,00%;1,73%;1,73%;32,00%;20,23%;7
48;FIVN11;Shoppings;R$ 6,85;892.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 81.735.780,52;R$ 8,68;79.0;;;;;56,00%;;1
49;FLMA11;Híbrido;R$ 3,00;355141.0;R$ 0,01;0,32%;0,98%;1,89%;4,34%;0,33%;0,32%;0,36%;0,65%;-6,57%;-6,27%;-5,96%;R$ 199.889.712,80;R$ 2,90;104.0;0,45%;0,00%;0,45%;0,45%;16,82%;;1
50;FLRP11;Shoppings;R$ 1.420,00;50.0;R$ 13,52;0,86%;1,87%;3,17%;6,64%;0,62%;0,53%;0,55%;0,86%;0,00%;0,86%;0,86%;R$ 95.487.826,63;R$ 1.596,39;89.0;0,85%;0,00%;0,85%;0,85%;0,73%;;1
51;FMOF11;Lajes Corporativas;R$ 95,21;5.0;R$ 0,27;0,25%;1,06%;1,06%;3,09%;0,35%;0,18%;0,26%;1,06%;22,10%;22,40%;19,19%;R$ 66.492.961,30;R$ 130,89;73.0;;;;;45,83%;;1
52;FPAB11;Lajes Corporativas;R$ 372,99;78.0;R$ 1,70;0,43%;1,43%;2,94%;5,95%;0,48%;0,49%;0,50%;0,84%;-1,95%;-1,53%;-1,12%;R$ 309.924.252,99;R$ 413,23;90.0;0,41%;0,00%;0,41%;0,41%;20,44%;;1
53;FVBI11;Lajes Corporativas;R$ 158,00;3161.0;R$ 0,63;0,41%;1,13%;2,21%;4,12%;0,38%;0,37%;0,34%;0,41%;0,00%;0,41%;0,41%;R$ 314.282.247,72;R$ 146,18;108.0;0,43%;0,00%;0,43%;0,43%;0,00%;;1
54;FVPQ11;Shoppings;R$ 181,88;8237.0;R$ 0,87;0,42%;2,05%;3,95%;7,26%;0,68%;0,66%;0,60%;1,21%;-5,44%;-5,05%;-4,29%;R$ 600.578.628,62;R$ 214,48;85.0;0,81%;0,00%;0,81%;0,81%;2,40%;;1
55;GGRC11;Logística;R$ 120,00;36244.0;R$ 0,73;0,53%;1,72%;3,14%;6,05%;0,57%;0,52%;0,50%;1,28%;-0,92%;-0,40%;0,35%;R$ 771.527.394,37;R$ 118,64;101.0;0,88%;0,00%;0,88%;0,88%;0,00%;0,00%;15
56;GRLV11;Logística;R$ 120,50;7905.0;R$ 0,64;0,50%;1,47%;3,10%;6,82%;0,49%;0,52%;0,57%;0,99%;-1,43%;-0,94%;-0,46%;R$ 141.138.493,29;R$ 131,47;92.0;0,49%;0,00%;0,49%;0,49%;8,20%;8,20%;1
57;GTWR11;Lajes Corporativas;R$ 106,00;146125.0;R$ 0,69;0,59%;1,77%;3,62%;0,00%;0,59%;0,60%;0,00%;1,18%;0,69%;1,28%;1,88%;R$ 1.178.822.340,74;R$ 98,24;108.0;0,70%;0,00%;0,70%;0,70%;;;1
58;HABT11;Títulos e Val. Mob.;R$ 99,61;46758.0;R$ 0,80;0,70%;2,57%;0,00%;0,00%;0,86%;0,00%;0,00%;1,81%;-1,03%;-0,34%;0,76%;R$ 362.847.295,82;R$ 101,38;98.0;1,27%;0,00%;1,27%;1,27%;;;0
59;HBTT11;Títulos e Val. Mob.;R$ 1.299,99;20.0;R$ 11,00;0,86%;2,18%;3,90%;7,98%;0,73%;0,65%;0,66%;1,62%;-31,08%;-30,49%;-29,96%;R$ 205.464.458,11;R$ 1.140,11;114.0;1,23%;0,00%;1,23%;1,23%;;;0
60;HCRI11;Hospital;R$ 346,50;708.0;R$ 2,65;0,62%;1,78%;3,70%;7,79%;0,59%;0,62%;0,65%;0,62%;0,00%;0,62%;0,62%;R$ 58.358.231,07;R$ 291,79;119.0;0,91%;0,00%;0,91%;0,91%;0,00%;;1
61;HCTR11;Outros;R$ 115,38;18461.0;R$ 1,92;1,58%;3,76%;6,03%;0,00%;1,25%;1,01%;0,00%;2,78%;-6,58%;-5,10%;-3,96%;R$ 123.248.895,39;R$ 114,96;100.0;1,36%;0,00%;1,36%;1,36%;;;0
62;HFOF11;Títulos e Val. Mob.;R$ 104,60;248218.0;R$ 0,70;0,60%;2,25%;4,20%;10,04%;0,75%;0,70%;0,84%;1,14%;-5,88%;-5,31%;-4,80%;R$ 1.232.868.433,19;R$ 109,33;96.0;0,61%;0,00%;0,61%;0,61%;;;0
63;HGBS11;Shoppings;R$ 250,00;54358.0;R$ 1,40;0,50%;1,45%;2,99%;6,51%;0,48%;0,50%;0,54%;0,98%;-2,84%;-2,35%;-1,88%;R$ 2.404.321.609,92;R$ 240,43;104.0;0,58%;0,00%;0,58%;0,58%;5,63%;;16
64;HGCR11;Títulos e Val. Mob.;R$ 102,00;99054.0;R$ 0,60;0,53%;1,50%;3,20%;6,92%;0,50%;0,53%;0,58%;1,04%;-2,44%;-1,93%;-1,43%;R$ 1.312.486.763,68;R$ 106,08;96.0;0,57%;0,00%;0,57%;0,57%;;;0
65;HGFF11;Títulos e Val. Mob.;R$ 91,10;3216.0;R$ 0,60;0,55%;2,00%;3,16%;0,00%;0,67%;0,53%;0,00%;1,08%;-2,31%;-1,78%;-1,25%;R$ 199.312.339,84;R$ 110,73;82.0;0,54%;0,00%;0,54%;0,54%;;;0
66;HGLG11;Logística;R$ 154,10;106237.0;R$ 0,78;0,44%;1,23%;2,64%;5,53%;0,41%;0,44%;0,46%;0,85%;-7,55%;-7,14%;-6,77%;R$ 1.624.063.432,88;R$ 136,68;113.0;0,57%;0,00%;0,57%;0,57%;6,40%;7,90%;13
67;HGPO11;Lajes Corporativas;R$ 199,90;5947.0;R$ 0,89;0,41%;1,21%;2,52%;5,19%;0,40%;0,42%;0,43%;0,82%;-3,24%;-2,84%;-2,45%;R$ 335.485.503,45;R$ 203,32;98.0;0,44%;0,00%;0,44%;0,44%;1,73%;1,45%;2
68;HGRE11;Lajes Corporativas;R$ 155,44;64777.0;R$ 0,74;0,42%;1,34%;2,67%;5,50%;0,45%;0,44%;0,46%;0,79%;-10,70%;-10,32%;-9,99%;R$ 1.770.859.983,15;R$ 163,78;95.0;0,45%;0,00%;0,45%;0,45%;21,19%;20,98%;22
69;HGRU11;Híbrido;R$ 114,84;99275.0;R$ 0,68;0,52%;1,59%;3,30%;6,93%;0,53%;0,55%;0,58%;1,04%;-1,35%;-0,83%;-0,32%;R$ 1.054.962.018,18;R$ 108,30;106.0;0,63%;0,00%;0,63%;0,63%;0,00%;0,00%;13
70;HMOC11;Shoppings;R$ 229,00;45.0;R$ 1,27;0,50%;1,48%;2,98%;6,34%;0,49%;0,50%;0,53%;1,00%;1,44%;1,94%;2,45%;R$ 81.577.130,66;R$ 213,54;107.0;0,59%;0,00%;0,59%;0,59%;2,70%;;1
71;HPDP11;Shoppings;R$ 90,00;15306.0;R$ 0,20;0,19%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,78%;-3,74%;-3,55%;-2,98%;R$ 273.217.980,64;R$ 97,27;93.0;0,65%;0,00%;0,65%;0,65%;1,70%;;1
72;HSML11;Shoppings;R$ 100,88;231069.0;R$ 0,60;0,52%;1,54%;3,30%;0,00%;0,51%;0,55%;0,00%;1,01%;-5,70%;-5,20%;-4,74%;R$ 1.540.466.017,15;R$ 97,62;103.0;0,61%;0,00%;0,61%;0,61%;6,00%;;5
73;HTMX11;Hotel;R$ 138,85;5149.0;R$ 0,71;0,45%;1,05%;2,79%;5,89%;0,35%;0,46%;0,49%;0,80%;-6,48%;-6,05%;-5,73%;R$ 184.343.185,95;R$ 146,65;95.0;0,40%;0,00%;0,40%;0,40%;22,00%;;23
74;HUSC11;Outros;R$ 155,55;8.0;R$ 0,42;0,27%;0,27%;0,27%;1,11%;0,09%;0,05%;0,09%;0,27%;-3,13%;-2,87%;-0,02%;R$ 71.465.732,68;R$ 99,01;157.0;;;;;;;0
75;IBFF11;Títulos e Val. Mob.;R$ 86,01;2309.0;R$ 0,70;0,72%;2,63%;0,00%;0,00%;0,88%;0,00%;0,00%;1,69%;-4,70%;-4,01%;-3,08%;R$ 67.981.777,79;R$ 101,97;84.0;0,98%;0,00%;0,98%;0,98%;;;0
76;IRDM11;Títulos e Val. Mob.;R$ 112,00;80631.0;R$ 0,95;0,77%;2,23%;4,52%;8,80%;0,74%;0,75%;0,73%;1,66%;4,15%;4,96%;5,88%;R$ 494.547.254,43;R$ 99,54;113.0;1,05%;0,00%;1,05%;1,05%;;;0
77;JRDM11;Shoppings;R$ 90,00;8190.0;R$ 0,40;0,39%;1,63%;3,21%;6,32%;0,54%;0,53%;0,53%;0,39%;0,00%;0,39%;0,39%;R$ 228.341.214,20;R$ 90,50;99.0;0,44%;0,00%;0,44%;0,44%;1,80%;;1
78;JSRE11;Híbrido;R$ 101,00;95086.0;R$ 0,44;0,38%;1,16%;2,68%;5,94%;0,39%;0,45%;0,49%;0,78%;-1,27%;-0,89%;-0,50%;R$ 1.597.604.630,90;R$ 115,39;88.0;0,41%;0,00%;0,41%;0,41%;0,00%;;3
79;KFOF11;Títulos e Val. Mob.;R$ 101,00;6726.0;R$ 0,54;0,43%;1,19%;2,54%;5,58%;0,40%;0,42%;0,46%;0,85%;-1,99%;-1,57%;-1,16%;R$ 459.078.247,84;R$ 127,58;79.0;0,42%;0,00%;0,42%;0,42%;;;0
80;KNCR11;Títulos e Val. Mob.;R$ 100,65;173762.0;R$ 0,41;0,39%;1,36%;2,76%;6,13%;0,45%;0,46%;0,51%;0,87%;-0,79%;-0,40%;0,07%;R$ 4.096.629.987,44;R$ 104,78;96.0;0,48%;0,00%;0,48%;0,48%;;;0
81;KNHY11;Títulos e Val. Mob.;R$ 112,00;15050.0;R$ 0,90;0,78%;2,33%;3,72%;7,67%;0,78%;0,62%;0,64%;1,63%;-1,88%;-1,12%;-0,28%;R$ 871.665.300,24;R$ 111,12;101.0;0,90%;0,00%;0,90%;0,90%;;;0
82;KNIP11;Títulos e Val. Mob.;R$ 111,00;74104.0;R$ 0,80;0,68%;2,05%;3,52%;7,52%;0,68%;0,59%;0,63%;1,41%;0,19%;0,87%;1,60%;R$ 3.743.984.192,32;R$ 114,14;97.0;0,74%;0,00%;0,74%;0,74%;;;0
83;KNRE11;Residencial;R$ 5,20;4119.0;R$ 0,26;3,92%;5,11%;5,11%;9,25%;1,70%;0,85%;0,77%;7,82%;5,28%;9,41%;-24,78%;R$ 84.055.183,52;R$ 4,53;115.0;;;;;;;0
84;KNRI11;Híbrido;R$ 150,10;109107.0;R$ 0,74;0,43%;1,21%;2,53%;5,41%;0,40%;0,42%;0,45%;0,84%;-5,89%;-5,48%;-5,09%;R$ 3.558.905.692,17;R$ 150,80;100.0;0,49%;0,00%;0,49%;0,49%;5,09%;7,15%;19
85;LGCP11;Logística;R$ 98,00;5028.0;R$ 0,46;0,44%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,58%;-0,80%;-0,37%;-0,22%;R$ 168.940.786,75;R$ 95,83;102.0;0,16%;0,00%;0,16%;0,16%;2,46%;;3
86;LUGG11;Residencial;R$ 95,01;2042.0;R$ 0,49;0,47%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,52%;-2,33%;-1,87%;-1,82%;R$ 85.945.761,77;R$ 95,50;99.0;0,06%;0,00%;0,06%;0,06%;;;4
87;LVBI11;Logística;R$ 109,00;29831.0;R$ 0,64;0,52%;1,50%;2,69%;6,81%;0,50%;0,45%;0,57%;0,52%;0,00%;0,52%;0,52%;R$ 775.079.736,08;R$ 102,82;106.0;0,62%;0,00%;0,62%;0,62%;5,00%;;5
88;MALL11;Shoppings;R$ 96,50;68298.0;R$ 0,50;0,44%;1,41%;2,68%;6,09%;0,47%;0,45%;0,51%;1,12%;-3,51%;-3,09%;-2,42%;R$ 799.507.436,64;R$ 105,75;91.0;0,77%;0,00%;0,77%;0,77%;2,00%;;7
89;MAXR11;Outros;R$ 1.930,00;169.0;R$ 12,95;0,60%;1,64%;3,40%;8,24%;0,55%;0,57%;0,69%;0,60%;0,00%;0,60%;0,60%;R$ 132.603.485,49;R$ 2.238,22;86.0;0,58%;0,00%;0,58%;0,58%;0,00%;;8
90;MBRF11;Outros;R$ 1.070,47;115.0;R$ 8,50;0,68%;1,95%;4,00%;8,18%;0,65%;0,67%;0,68%;1,33%;-4,12%;-3,47%;-2,85%;R$ 130.359.061,22;R$ 1.282,25;83.0;0,66%;0,00%;0,66%;0,66%;0,00%;;2
91;MCCI11;Títulos e Val. Mob.;R$ 102,06;30211.0;R$ 0,85;0,83%;1,77%;0,00%;0,00%;0,59%;0,00%;0,00%;1,43%;-1,82%;-1,00%;-0,41%;R$ 543.679.907,98;R$ 99,54;103.0;0,62%;0,00%;0,62%;0,62%;;;0
92;MFII11;Híbrido;R$ 113,50;22460.0;R$ 1,02;0,80%;2,28%;4,74%;10,59%;0,76%;0,79%;0,88%;1,53%;-6,36%;-5,62%;-4,93%;R$ 298.472.941,70;R$ 119,26;95.0;0,84%;0,00%;0,84%;0,84%;;;9
93;MGFF11;Títulos e Val. Mob.;R$ 93,00;85312.0;R$ 0,70;0,66%;1,93%;3,83%;8,67%;0,64%;0,64%;0,72%;1,27%;-7,17%;-6,56%;-5,99%;R$ 810.719.485,23;R$ 103,30;90.0;0,68%;0,00%;0,68%;0,68%;;;0
