;Ativo;Preço;Volume (21d);Dividendo;Dividend Yield;Dividend Yield 3M (acumulado);Dividend Yield 6M (acumulado);Dividend Yield 12M (acumulado);Dividend Yield 3M (média);Dividend Yield 6M (média);Dividend Yield 12M (média);Dividend Yield no Ano;Variação Preço;Rentabilidade no Período;Rentabilidade Acumulada;Patrimônio Líquido;Valor Patrimonial;P/VPA;Dividend Yield Patrimonial;Variação Patrimonial;Rentabilidade Patrimonial no Período;Rentabilidade Patrimonial Acumulada;Vacância Física;Vacância Financeira;Qtd Ativos
17;HGRE11;1.494;1019.0;R$ 8,0000;0,5333%;1,7195%;3,5276%;7,5241%;0,5732%;0,5879%;0,6270%;1,0667%;0,0033%;0,5367%;1,0729%;R$ 1.105.189.516,9800;R$ 1.496,9180;9981;0,5344%;0,0000%;0,5344%;0,5344%;18,1000%;18,7000%;19
18;HGCR11;10700.0;2873.0;R$ 0,7500;0,6881%;2,1256%;4,2214%;9,0792%;0,7085%;0,7036%;0,7566%;1,4234%;6,8627%;7,5980%;8,3892%;R$ 106.861.059,5800;R$ 102,0553;10485;0,7349%;0,0000%;0,7349%;0,7349%;;;0
19;DOMC11;58000.0;34.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;R$ 193.020.245,3400;R$ 1.018,5765;5694;0,0000%;0,0000%;0,0000%;0,0000%;;;1
20;FIXX11;8790.0;344.0;R$ 0,4200;0,4456%;1,6237%;3,7765%;7,7567%;0,5412%;0,6294%;0,6464%;0,9775%;0,2660%;0,7128%;1,2485%;R$ 34.034.033,3800;R$ 92,9963;9452;0,5377%;0,0000%;0,5377%;0,5377%;;;0
21;VRTA11;10585.0;3128.0;R$ 0,6200;0,5795%;1,8423%;3,8018%;8,6050%;0,6141%;0,6336%;0,7171%;1,2117%;-3,3776%;-2,8177%;-2,2033%;R$ 234.292.280,7600;R$ 104,5108;10128;0,6698%;0,0000%;0,6698%;0,6698%;;;0
22;BRCR11;10475.0;68900.0;R$ 0,3500;0,3325%;1,2262%;2,5429%;5,5070%;0,4087%;0,4238%;0,4589%;0,3325%;0,0000%;0,3325%;0,3325%;R$ 2.400.460.414,5000;R$ 124,8644;8389;0,2803%;0,0000%;0,2803%;0,2803%;32,9000%;29,4000%;11
23;FAMB11B;4.0591;43.0;R$ 36,4026;0,8879%;2,6799%;5,3898%;10,0222%;0,8933%;0,8983%;0,8352%;1,7565%;0,4902%;1,3824%;2,2631%;R$ 483.571.831,2100;R$ 4.614,2350;8797;0,7681%;0,0000%;0,7681%;0,7681%;0,0000%;;1
24;PQDP11;3.17205;40.0;R$ 11,5671;0,3512%;1,2374%;2,4850%;5,7263%;0,4125%;0,4142%;0,4772%;0,3512%;0,0000%;0,3512%;0,3512%;R$ 635.694.247,1000;R$ 2.665,6417;11900;0,4339%;0,0000%;0,4339%;0,4339%;2,1000%;;1
25;PRSV11;40000.0;94.0;R$ 0,4200;0,1035%;0,4645%;1,6887%;3,7546%;0,1548%;0,2815%;0,3129%;0,1035%;0,0000%;0,1035%;0,1035%;R$ 78.977.639,5900;R$ 405,0135;9876;0,1037%;0,0000%;0,1037%;0,1037%;;;2
26;WPLZ11B;7596.0;253.0;R$ 0,1250;0,1761%;0,4370%;0,6410%;1,8182%;0,1457%;0,1068%;0,1515%;1,8182%;-4,0676%;-3,8986%;-3,3516%;R$ 81.255.524,7900;R$ 82,1311;9249;;;;;8,8000%;;1
27;TBOF11;8423.0;5724.0;R$ 0,1862;0,2256%;0,6199%;1,3343%;3,4298%;0,2066%;0,2224%;0,2858%;0,2256%;0,0000%;0,2256%;0,2256%;R$ 799.769.804,1900;R$ 79,5791;10584;0,2339%;0,0000%;0,2339%;0,2339%;32,1000%;;1
28;VLOL11;8849.0;1459.0;R$ 0,2846;0,3163%;1,0904%;2,4100%;5,4451%;0,3635%;0,4017%;0,4538%;0,6693%;0,0000%;0,3163%;0,6704%;R$ 132.545.574,9300;R$ 74,2624;11916;0,4278%;0,0000%;0,4278%;0,4278%;11,2100%;;1
29;AGCX11;1.239;321.0;R$ 7,2100;0,5633%;1,8092%;3,6189%;7,5187%;0,6031%;0,6032%;0,6266%;1,1352%;0,5499%;1,1163%;1,6945%;R$ 431.946.781,5000;R$ 1.066,5353;11617;0,6760%;-0,0036%;0,6724%;1,3595%;;;41
30;BBVJ11;6024.0;1898.0;R$ 0,4000;0,6656%;0,7660%;1,4363%;4,1236%;0,2553%;0,2394%;0,3436%;4,1236%;4,3403%;5,0347%;14,7892%;R$ 161.952.768,8300;R$ 59,7612;10080;;;;;49,2900%;;1
31;BMLC11B;8397.0;246.0;R$ 0,2993;0,3565%;1,5381%;3,1788%;6,7059%;0,5127%;0,5298%;0,5588%;0,8164%;-0,4033%;-0,0482%;0,4115%;R$ 84.186.639,5200;R$ 84,3211;9958;0,4599%;0,0000%;0,4599%;0,4599%;32,7000%;;2
32;BMLC11B;8397.0;246.0;R$ 0,2993;0,3565%;1,5381%;3,1788%;6,7059%;0,5127%;0,5298%;0,5588%;0,8164%;-0,4033%;-0,0482%;0,4115%;R$ 84.186.639,5200;R$ 84,3211;9958;0,4599%;0,0000%;0,4599%;0,4599%;32,7000%;;2
33;BPFF11;10700.0;2240.0;R$ 0,6700;0,6280%;2,0296%;4,0970%;8,4564%;0,6765%;0,6828%;0,7047%;1,2904%;5,4770%;6,1394%;6,8424%;R$ 196.121.380,9300;R$ 98,0607;10912;0,6833%;0,0000%;0,6833%;0,6833%;;;0
34;CXCE11B;2.4;9.0;R$ 17,7068;0,7083%;2,1804%;4,3550%;9,0581%;0,7268%;0,7258%;0,7548%;1,4388%;2,4594%;3,1851%;3,9389%;R$ 157.587.058,4800;R$ 2.299,9366;10435;0,7750%;0,0000%;0,7750%;0,7750%;;;1
35;CXTL11;57299.0;24.0;R$ 1,0711;0,1879%;0,4793%;1,4699%;5,0137%;0,1598%;0,2450%;0,4178%;0,2856%;-0,3497%;-0,1624%;-0,0648%;R$ 51.891.770,7900;R$ 968,1842;5918;0,0577%;0,0000%;0,0577%;0,0577%;;;4
36;CTXT11;409.0;20714.0;R$ 0,0154;0,3689%;1,5119%;3,6048%;8,4403%;0,5040%;0,6008%;0,7034%;0,7115%;-7,1111%;-6,7685%;-6,4490%;R$ 124.349.477,1300;R$ 3,4237;11946;0,4503%;0,0000%;0,4503%;0,4503%;5,2000%;;1
37;FLMA11;266.0;12353.0;R$ 0,0100;0,3731%;1,2268%;2,6265%;5,6343%;0,4089%;0,4377%;0,4695%;0,7895%;4,2802%;4,6693%;5,1050%;R$ 183.367.017,2000;R$ 2,6562;10014;0,4028%;0,0000%;0,4028%;0,4028%;;;1
38;EDFO11B;29500.0;55.0;R$ 1,7446;0,5914%;1,8014%;3,6933%;7,5391%;0,6005%;0,6155%;0,6283%;1,2197%;5,3571%;5,9802%;6,6461%;R$ 42.040.395,3600;R$ 178,1373;16560;0,9876%;0,0000%;0,9876%;0,9876%;;;1
39;EURO11;19963.0;233.0;R$ 1,0000;0,4950%;1,6361%;3,2169%;5,3513%;0,5454%;0,5361%;0,4459%;0,9950%;1,0000%;1,5000%;2,0075%;R$ 118.877.332,5700;R$ 309,6280;6447;0,3230%;0,0000%;0,3230%;0,3230%;11,8200%;;6
40;FIGS11;9590.0;7586.0;R$ 0,8333;0,8683%;2,6432%;5,4550%;12,4553%;0,8811%;0,9092%;1,0379%;1,7409%;0,4921%;1,3647%;2,2493%;R$ 228.782.834,6000;R$ 88,2820;10863;0,9439%;0,0000%;0,9439%;0,9439%;;;2
41;ABCP11;1643.0;34199.0;R$ 0,0800;0,4770%;1,6814%;3,1170%;5,9724%;0,5605%;0,5195%;0,4977%;1,1842%;-1,1786%;-0,7071%;-0,0050%;R$ 784.633.803,1500;R$ 12,8588;12777;0,9332%;0,0000%;0,9332%;0,9332%;1,6000%;;1
42;GWIR11;24199.0;189.0;R$ 1,4300;0,5909%;2,1513%;3,8302%;6,7620%;0,7171%;0,6384%;0,5635%;0,5909%;0,0000%;0,5909%;0,5909%;R$ 79.755.795,9400;R$ 208,7755;11591;0,6849%;0,0000%;0,6849%;0,6849%;;;0
43;FIIB11;41000.0;1140.0;R$ 2,4000;0,5714%;1,7430%;3,5708%;7,4300%;0,5810%;0,5951%;0,6192%;0,5714%;0,0000%;0,5714%;0,5714%;R$ 266.424.657,4800;R$ 388,9411;10541;0,6171%;0,0000%;0,6171%;0,6171%;6,9800%;;1
44;FMOF11;11100.0;22.0;R$ 0,2600;0,2242%;0,8665%;1,5232%;2,9095%;0,2888%;0,2539%;0,2425%;0,4483%;0,0000%;0,2242%;0,4488%;R$ 66.916.095,9600;R$ 131,7225;8427;0,1974%;0,0000%;0,1974%;0,1974%;47,8000%;;1
45;MBRF11;1.07105;109.0;R$ 8,0000;0,7427%;2,1954%;2,9131%;7,5578%;0,7318%;0,4855%;0,6298%;1,4760%;-1,2686%;-0,5353%;0,1941%;R$ 116.092.942,4000;R$ 1.141,9277;9379;0,7006%;0,0000%;0,7006%;0,7006%;0,0000%;;2
46;PABY11;2561.0;40.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;R$ 180.750.293,5500;R$ 238,3311;1075;0,0000%;0,0000%;0,0000%;0,0000%;;;1
47;FPAB11;36000.0;36.0;R$ 1,9000;0,5236%;1,6281%;3,2174%;6,7533%;0,5427%;0,5362%;0,5628%;1,0588%;2,2254%;2,7606%;3,3105%;R$ 259.008.559,3200;R$ 345,3447;10424;0,5502%;0,0000%;0,5502%;0,5502%;6,5500%;;1
48;FFCI11;17403.0;1558.0;R$ 0,7000;0,4023%;1,1945%;2,9388%;7,6404%;0,3982%;0,4898%;0,6367%;0,8034%;-0,2865%;0,1146%;0,5162%;R$ 383.873.859,2000;R$ 176,9004;9838;0,3957%;0,0000%;0,3957%;0,3957%;7,5000%;;8
49;RNGO11;9530.0;4231.0;R$ 0,5400;0,5775%;1,7364%;3,4252%;7,0650%;0,5788%;0,5709%;0,5888%;1,1551%;0,0000%;0,5775%;1,1584%;R$ 248.402.549,1000;R$ 92,8261;10267;0,5817%;0,0000%;0,5817%;0,5817%;11,7000%;;2
50;SCPF11;1545.0;809.0;R$ 0,0710;0,4438%;1,9971%;3,8913%;7,7668%;0,6657%;0,6485%;0,6472%;1,4595%;14,2143%;14,7211%;15,8864%;R$ 46.843.087,3800;R$ 11,1531;13853;1,2750%;0,0000%;1,2750%;1,2750%;;;1
51;SHPH11;1.055;82.0;R$ 3,5500;0,3413%;1,2379%;2,3918%;4,7000%;0,4126%;0,3986%;0,3917%;0,8913%;3,9990%;4,3540%;4,9279%;R$ 425.715.507,6000;R$ 736,0825;14333;0,7472%;0,0000%;0,7472%;0,7472%;1,4000%;;1
52;ONEF11;1.2;91.0;R$ 6,6500;0,5669%;1,6284%;3,2376%;6,7118%;0,5428%;0,5396%;0,5593%;1,1165%;-3,0579%;-2,5083%;-1,9725%;R$ 99.163.027,6100;R$ 1.088,5074;11024;0,6109%;0,0000%;0,6109%;0,6109%;0,0000%;;1
53;FIVN11;600.0;17.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;;0,0000%;0,0000%;0,0000%;R$ 156.087.008,9900;R$ 16,5827;3618;;;;;;;0
54;RBBV11;7645.0;2708.0;R$ 0,3613;0,4925%;1,8597%;3,4277%;5,7143%;0,6199%;0,5713%;0,4762%;1,3045%;12,9658%;13,5222%;14,4439%;R$ 125.978.792,5700;R$ 100,4484;7611;0,5249%;0,0000%;0,5249%;0,5249%;;;1
55;JSRE11;10601.0;10656.0;R$ 0,5500;0,5171%;1,6946%;3,5092%;8,2142%;0,5649%;0,5849%;0,6845%;1,0783%;-0,4958%;0,0187%;0,5801%;R$ 707.884.023,2100;R$ 109,6994;9664;0,5469%;0,0000%;0,5469%;0,5469%;0,0000%;;2
56;KNRE11;1027.0;2461.0;R$ 0,0000;0,0000%;1,2100%;3,1300%;5,1300%;0,4033%;0,5217%;0,4275%;0,0000%;0,0000%;0,0000%;0,0000%;R$ 195.842.002,7400;R$ 1,0559;97262;0,0000%;0,0000%;0,0000%;0,0000%;;;0
57;KNRI11;16950.0;14633.0;R$ 0,8200;0,4887%;1,4307%;3,0653%;6,7396%;0,4769%;0,5109%;0,5616%;0,8714%;3,5802%;4,0864%;4,4848%;R$ 2.222.099.776,4600;R$ 143,1377;11842;0,4331%;0,0000%;0,4331%;0,4331%;11,9000%;13,5800%;15
58;KNCR11;10479.0;30546.0;R$ 0,5500;0,5207%;1,7393%;3,6191%;8,1972%;0,5798%;0,6032%;0,6831%;1,1469%;-1,2804%;-0,7664%;-0,1450%;R$ 2.934.798.409,7700;R$ 104,4452;10033;0,6415%;0,0000%;0,6415%;0,6415%;;;0
59;MXRF11;991.0;51241.0;R$ 0,0700;0,7307%;1,8821%;3,8492%;8,7870%;0,6274%;0,6415%;0,7322%;1,3563%;-0,1043%;0,6257%;1,2552%;R$ 298.539.364,9100;R$ 9,4826;10451;0,6327%;0,0000%;0,6327%;0,6327%;;;0
60;MFII11;12230.0;6577.0;R$ 1,1800;0,9751%;2,6389%;5,3589%;11,5600%;0,8796%;0,8932%;0,9633%;1,8019%;-15,2116%;-14,3848%;-13,6769%;R$ 217.774.490,3200;R$ 108,7452;11246;1,0851%;0,0000%;1,0851%;1,0851%;;;9
61;DRIT11B;12878.0;12.0;R$ 0,6000;0,4659%;1,4487%;2,8756%;8,6802%;0,4829%;0,4793%;0,7234%;1,0076%;7,3167%;7,8167%;8,4007%;R$ 57.807.183,4500;R$ 124,7789;10321;0,5209%;0,0000%;0,5209%;0,5209%;18,1000%;30,3400%;6
62;PLRI11;7939.0;182.0;R$ 0,3600;0,4235%;1,6917%;3,0362%;14,4329%;0,5639%;0,5060%;1,2027%;1,0356%;-7,1038%;-6,7104%;-6,1394%;R$ 90.865.694,4700;R$ 95,2167;8338;0,5881%;0,0000%;0,5881%;0,5881%;;;0
63;PORD11;10230.0;1583.0;R$ 0,0000;0,0000%;3,1767%;3,1767%;8,4519%;1,0589%;0,5295%;0,7043%;0,0000%;0,0000%;0,0000%;0,0000%;R$ 103.128.998,0700;R$ 103,1290;9920;0,0000%;0,0000%;0,0000%;0,0000%;;;0
64;RBDS11;40000.0;31.0;R$ 6,7747;1,7023%;4,3694%;9,0422%;11,5743%;1,4565%;1,5070%;0,9645%;2,3111%;-0,5050%;1,1887%;1,8047%;R$ 68.877.873,6200;R$ 544,3901;7348;0,4473%;0,0000%;0,4473%;0,4473%;;;0
65;RBGS11;5200.0;1302.0;R$ 0,4291;0,8979%;1,7989%;2,6261%;4,8901%;0,5996%;0,4377%;0,4075%;1,4886%;3,1068%;4,0326%;4,6471%;R$ 106.957.957,4700;R$ 99,2189;5241;0,2759%;0,0000%;0,2759%;0,2759%;13,3000%;;1
66;FIIP11B;20400.0;494.0;R$ 1,3006;0,6344%;3,1590%;5,1081%;9,1368%;1,0530%;0,8514%;0,7614%;2,4834%;0,1466%;0,7819%;2,6454%;R$ 166.246.259,0900;R$ 179,3066;11377;2,1109%;0,0000%;2,1109%;2,1109%;;;7
67;RBRD11;8300.0;953.0;R$ 0,4915;0,5715%;1,7929%;6,6179%;10,4036%;0,5976%;1,1030%;0,8670%;1,1731%;4,3056%;4,9018%;5,5328%;R$ 137.582.236,7000;R$ 74,2971;11171;0,6676%;0,0000%;0,6676%;0,6676%;0,0000%;;4
68;RDES11;7100.0;307.0;R$ 0,2194;0,3134%;1,1232%;2,3531%;4,7951%;0,3744%;0,3922%;0,3996%;0,6737%;4,4464%;4,7738%;5,1513%;R$ 66.994.893,1600;R$ 90,2896;7864;0,2674%;0,0000%;0,2674%;0,2674%;50,5300%;;4
69;RBCB11;59998.0;15.0;R$ 2,5000;0,4425%;1,6519%;4,0332%;10,0363%;0,5506%;0,6722%;0,8364%;0,8337%;-11,5822%;-11,1909%;-10,8435%;R$ 12.288.666,5900;R$ 231,4250;25925;1,0803%;0,0000%;1,0803%;1,0803%;;;0
70;RBVO11;6000.0;425.0;R$ 0,3000;0,4814%;3,4911%;5,2977%;8,1382%;1,1637%;0,8829%;0,6782%;1,1214%;-0,2880%;0,1920%;0,8332%;R$ 30.568.232,2200;R$ 59,2610;10125;0,6750%;0,0000%;0,6750%;0,6750%;;;0
71;SAAG11;13222.0;8009.0;R$ 0,8500;0,6346%;1,9618%;3,7979%;7,8142%;0,6539%;0,6330%;0,6512%;1,2925%;3,6765%;4,3344%;5,0208%;R$ 494.630.043,0000;R$ 87,8325;15054;0,9678%;0,0000%;0,9678%;0,9678%;;;28
72;SDIL11;10300.0;2521.0;R$ 0,6200;0,5962%;1,9095%;3,7539%;7,5480%;0,6365%;0,6256%;0,6290%;1,2215%;4,8916%;5,5169%;6,1767%;R$ 134.076.712,5700;R$ 93,1831;11054;0,6654%;0,0000%;0,6654%;0,6654%;14,2000%;13,0000%;1
73;SPTW11;7890.0;3384.0;R$ 0,5350;0,6903%;2,0865%;4,2472%;8,7570%;0,6955%;0,7079%;0,7298%;1,3671%;-1,9608%;-1,2840%;-0,6159%;R$ 133.111.363,8500;R$ 74,0330;10657;0,7227%;0,0000%;0,7227%;0,7227%;;;2
74;XTED11;2475.0;3269.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;R$ 52.022.773,3300;R$ 29,0215;8528;0,0000%;0,0000%;0,0000%;0,0000%;96,8000%;98,3000%;2
75;TRXL11;7220.0;2296.0;R$ 0,3357;0,4241%;1,2988%;2,6000%;5,3482%;0,4329%;0,4333%;0,4457%;0,8468%;-0,7771%;-0,3564%;0,0648%;R$ 173.313.744,9000;R$ 105,0820;6871;0,3209%;0,0000%;0,3209%;0,3209%;50,7000%;40,5000%;6
76;XPCM11;9784.0;3621.0;R$ 0,7800;0,7959%;2,3790%;4,7478%;10,1627%;0,7930%;0,7913%;0,8469%;1,5878%;-0,5076%;0,2843%;1,0784%;R$ 194.031.885,9500;R$ 80,3588;12175;0,9706%;0,0000%;0,9706%;0,9706%;0,0000%;0,0000%;1
77;KNIP11;10839.0;10095.0;R$ 0,7500;0,6881%;2,1293%;3,9825%;7,5873%;0,7098%;0,6637%;0,6323%;1,4845%;0,9446%;1,6392%;2,4487%;R$ 1.046.259.732,8900;R$ 103,3843;10484;0,8318%;0,0000%;0,8318%;0,8318%;;;0
78;FAED11;22050.0;0.0;R$ 1,4879;0,6693%;2,0486%;4,0517%;7,9987%;0,6829%;0,6753%;0,6666%;1,3149%;-1,1912%;-0,5299%;0,1123%;R$ 103.288.748,0100;R$ 160,8438;13709;0,9030%;0,0000%;0,9030%;0,9030%;0,0000%;;3
79;CNES11;9400.0;0.0;R$ 0,2539;0,2526%;1,0535%;1,9952%;4,3157%;0,3512%;0,3325%;0,3596%;0,2526%;0,0000%;0,2526%;0,2526%;R$ 306.525.387,3000;R$ 103,9334;9044;0,2443%;0,0000%;0,2443%;0,2443%;45,5000%;;1
80;FLRP11;1.2031;0.0;R$ 11,1621;0,9540%;1,7307%;3,2347%;6,6226%;0,5769%;0,5391%;0,5519%;0,9540%;0,0000%;0,9540%;0,9540%;R$ 72.402.947,7800;R$ 1.403,0491;8575;0,7956%;0,0000%;0,7956%;0,7956%;2,0800%;;1
81;FEXC11;10520.0;0.0;R$ 0,8500;0,8019%;2,3196%;4,1306%;6,6624%;0,7732%;0,6884%;0,5552%;1,6673%;1,9231%;2,7404%;3,6295%;R$ 147.502.622,0400;R$ 100,9407;10422;0,8916%;0,0000%;0,8916%;0,8916%;;;0
82;EDGA11;4610.0;0.0;R$ 0,1196;0,2467%;0,8814%;1,5740%;3,0218%;0,2938%;0,2623%;0,2518%;0,2467%;0,0000%;0,2467%;0,2467%;R$ 312.868.638,0100;R$ 82,0735;5617;0,1458%;0,0000%;0,1458%;0,1458%;33,0000%;;1
83;NSLU11;26188.0;0.0;R$ 1,5650;0,5917%;1,8186%;3,7982%;7,8081%;0,6062%;0,6330%;0,6507%;0,5917%;0,0000%;0,5917%;0,5917%;R$ 236.144.464,2500;R$ 206,2757;12696;0,7587%;0,0000%;0,7587%;0,7587%;0,0000%;;1
84;HTMX11;13770.0;0.0;R$ 0,3277;0,2375%;1,5617%;3,0199%;6,3252%;0,5206%;0,5033%;0,5271%;0,7802%;5,3435%;5,5937%;6,1668%;R$ 150.391.513,9100;R$ 134,4029;10245;0,5290%;0,0000%;0,5290%;0,5290%;42,0000%;;24
85;MAXR11;2.002;0.0;R$ 7,7202;0,3856%;3,1998%;4,5126%;8,2173%;1,0666%;0,7521%;0,6848%;0,3856%;0,0000%;0,3856%;0,3856%;R$ 108.924.674,6300;R$ 1.838,5463;10889;0,4199%;0,0000%;0,4199%;0,4199%;0,0000%;;8
86;JRDM11;8049.0;0.0;R$ 0,3450;0,4233%;1,8009%;2,9303%;6,5426%;0,6003%;0,4884%;0,5452%;0,4233%;0,0000%;0,4233%;0,4233%;R$ 187.844.013,1300;R$ 84,4980;9526;0,4082%;0,0000%;0,4082%;0,4082%;0,1200%;;1
87;ALMI11;1.9;0.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0207%;0,0000%;0,0000%;0,0017%;0,0000%;7,0101%;7,0101%;7,0101%;R$ 212.390.109,6900;R$ 2.028,5588;9366;0,0000%;0,0000%;0,0000%;0,0000%;82,0000%;;1
88;TRNT11;18175.0;0.0;R$ 0,3491;0,1961%;0,6758%;1,7829%;3,6093%;0,2253%;0,2972%;0,3008%;0,1961%;0,0000%;0,1961%;0,1961%;R$ 730.971.030,8900;R$ 185,7349;9785;0,1880%;0,0000%;0,1880%;0,1880%;28,1000%;;1
89;FVBI11;10200.0;0.0;R$ 0,4053;0,3954%;1,1007%;2,1648%;4,7751%;0,3669%;0,3608%;0,3979%;0,3954%;0,0000%;0,3954%;0,3954%;R$ 171.165.761,5900;R$ 79,6120;12812;0,5091%;0,0000%;0,5091%;0,5091%;12,4000%;;1
