;Ativo;Preço;Volume (21d);Dividendo;Dividend Yield;Dividend Yield 3M (acumulado);Dividend Yield 6M (acumulado);Dividend Yield 12M (acumulado);Dividend Yield 3M (média);Dividend Yield 6M (média);Dividend Yield 12M (média);Dividend Yield no Ano;Variação Preço;Rentabilidade no Período;Rentabilidade Acumulada;Patrimônio Líquido;Valor Patrimonial;P/VPA;Dividend Yield Patrimonial;Variação Patrimonial;Rentabilidade Patrimonial no Período;Rentabilidade Patrimonial Acumulada;Vacância Física;Vacância Financeira;Qtd Ativos
0;AEFI11;16721.0;1535.0;R$ 1,2200;0,7310%;2,2081%;4,4792%;9,5923%;0,7360%;0,7465%;0,7994%;1,4583%;1,1516%;1,8910%;2,6321%;R$ 111.029.706,3800;R$ 147,5478;11333;0,8133%;0,0000%;0,8133%;0,8133%;0,0000%;;2
1;BCRI11;10250.0;1759.0;R$ 0,5600;0,5490%;1,7699%;3,5405%;8,5190%;0,5900%;0,5901%;0,7099%;1,1565%;-4,6729%;-4,1495%;-3,5673%;R$ 118.543.333,4900;R$ 97,9696;10462;0,6635%;0,0000%;0,6635%;0,6635%;;;0
2;BNFS11;11800.0;46.0;R$ 0,7795;0,6550%;1,9627%;3,9494%;7,8141%;0,6542%;0,6582%;0,6512%;1,3416%;-0,8333%;-0,1838%;0,5016%;R$ 62.543.152,5000;R$ 89,3474;13207;0,9222%;0,0000%;0,9222%;0,9222%;;;18
3;BBFI11B;2.94;113.0;R$ 22,8611;0,7623%;2,3086%;4,7909%;10,0586%;0,7695%;0,7985%;0,8382%;1,5389%;0,3681%;1,1332%;1,9187%;R$ 349.518.999,8400;R$ 2.688,6077;10935;0,8631%;0,0000%;0,8631%;0,8631%;;;2
4;BBPO11;14645.0;23808.0;R$ 0,9809;0,6684%;2,2206%;4,1528%;8,3929%;0,7402%;0,6921%;0,6994%;1,3519%;2,2506%;2,9340%;3,6376%;R$ 1.531.126.374,3100;R$ 96,1782;15227;1,0199%;0,0000%;1,0199%;1,0199%;;;64
5;BBRC11;14760.0;927.0;R$ 0,8000;0,5330%;1,7752%;3,4768%;7,2886%;0,5917%;0,5795%;0,6074%;1,0714%;1,0095%;1,5479%;2,0946%;R$ 153.452.461,6600;R$ 96,5110;15294;0,8289%;0,0000%;0,8289%;0,8289%;;;19
6;RNDP11;94700.0;59.0;R$ 4,6586;0,4946%;1,6902%;3,5714%;8,6124%;0,5634%;0,5952%;0,7177%;1,1356%;3,5143%;4,0262%;4,6931%;R$ 112.260.546,3400;R$ 1.044,4688;9067;0,5585%;0,0000%;0,5585%;0,5585%;;;0
7;BCIA11;11900.0;233.0;R$ 0,6200;0,5189%;1,7268%;3,4770%;7,2512%;0,5756%;0,5795%;0,6043%;1,1265%;3,7240%;4,2622%;4,8957%;R$ 202.746.714,1600;R$ 119,9959;9917;0,5834%;0,0000%;0,5834%;0,5834%;;;0
8;CARE11;167.0;69879.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;;0,0000%;0,0000%;0,0000%;R$ 119.670.859,6300;R$ 1,3986;11940;;;;;;;0
9;CXRI11;1.095;39.0;R$ 7,0000;0,6200%;2,0209%;4,1370%;8,5741%;0,6736%;0,6895%;0,7145%;1,2616%;-3,4226%;-2,8238%;-2,2003%;R$ 172.186.546,0000;R$ 1.092,7206;10021;0,6864%;0,0000%;0,6864%;0,6864%;;;0
10;CPTS11B;9847.0;3114.0;R$ 0,7000;0,7086%;2,1662%;4,5104%;9,7221%;0,7221%;0,7517%;0,8102%;1,4388%;0,1927%;0,9026%;1,6395%;R$ 98.617.432,6500;R$ 98,6174;9985;0,7301%;0,0000%;0,7301%;0,7301%;;;0
11;CBOP11;76990.0;369.0;R$ 4,7000;0,6088%;1,8461%;3,6904%;7,7818%;0,6154%;0,6151%;0,6485%;1,2153%;-0,3871%;0,2194%;0,8271%;R$ 101.188.229,5200;R$ 715,1112;10766;0,6572%;0,0000%;0,6572%;0,6572%;7,0000%;;1
12;ATSA11B;1.1499;23.0;R$ 1,5000;0,1304%;0,2964%;0,6780%;2,2276%;0,0988%;0,1130%;0,1856%;0,2138%;-4,1667%;-4,0417%;-3,9617%;R$ 214.380.419,6900;R$ 1.249,8858;9200;0,0800%;0,0000%;0,0800%;0,0800%;23,0000%;;1
13;HGBS11;2.359;633.0;R$ 12,0000;0,5065%;1,4850%;2,8562%;6,2955%;0,4950%;0,4760%;0,5246%;0,9946%;-3,6592%;-3,1712%;-2,6987%;R$ 1.236.694.533,1200;R$ 2.300,8613;10253;0,5215%;0,0000%;0,5215%;0,5215%;5,6000%;;8
14;GRLV11;1.26;456.0;R$ 7,5000;0,5929%;1,8022%;3,6572%;7,9147%;0,6007%;0,6095%;0,6596%;1,1772%;4,1186%;4,7359%;5,3479%;R$ 126.592.453,3700;R$ 1.179,2167;10685;0,6021%;0,0000%;0,6021%;0,6021%;7,2800%;;1
15;HGJH11;1.47;99.0;R$ 7,5000;0,4941%;1,5149%;3,1206%;6,6393%;0,5050%;0,5201%;0,5533%;0,9882%;0,0145%;0,5086%;1,0053%;R$ 193.129.718,9800;R$ 1.170,4831;12559;0,6408%;0,0000%;0,6408%;0,6408%;9,4000%;;2
16;HGLG11;1.40013;684.0;R$ 8,7000;0,6304%;1,9403%;3,9431%;8,1531%;0,6468%;0,6572%;0,6794%;1,2925%;5,0221%;5,6842%;6,3839%;R$ 388.322.927,6900;R$ 1.141,7904;12263;0,7620%;0,0000%;0,7620%;0,7620%;24,1000%;23,2000%;8
