;Códigodo fundo;Setor;Preço Atual;Volume (21D);Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
31;EDGA11;Lajes Corporativas;4800.0;0.0;R$ 0,3376;0,7525%;1,9154%;2,9799%;4,4429%;0,6385%;0,4967%;0,3702%;4,1102%;-2,6476%;-1,9150%;-3,6334%;R$ 311.425.454,18;R$ 81,69;5876.0;0,4132%;0,1680%;0,5819%;1,2948%;19,50%;;1
32;EURO11;Logística;16100.0;219.0;R$ 0,6300;0,3728%;1,4783%;3,0868%;6,3511%;0,4928%;0,5145%;0,5293%;6,3511%;-2,8736%;-2,5115%;-9,9746%;R$ 119.178.008,54;R$ 310,41;5187.0;0,2899%;-0,0687%;0,2210%;3,8143%;24,46%;;6
33;FAED11;Outros;21800.0;0.0;R$ 1,5604;0,7374%;2,1916%;4,4589%;8,6775%;0,7305%;0,7432%;0,7231%;8,6775%;1,8532%;2,6043%;2,5445%;R$ 103.272.198,30;R$ 160,82;13556.0;0,9363%;-0,0033%;0,9330%;10,7294%;0,00%;;3
34;FAMB11B;Lajes Corporativas;2.38;92.0;R$ 34,1855;1,4831%;4,4855%;9,3993%;15,4478%;1,4952%;1,5666%;1,2873%;15,4478%;-0,8606%;0,6097%;-34,1359%;R$ 486.413.672,27;R$ 4.641,35;5128.0;0,7553%;0,1009%;0,8570%;9,1710%;0,00%;;1
35;FCFL11;Outros;2.043;81.0;R$ 11,6128;0,5895%;1,7734%;3,5038%;6,5265%;0,5911%;0,5840%;0,5439%;6,0648%;1,7567%;2,3566%;-6,8610%;R$ 262.294.795,38;R$ 1.570,63;13008.0;0,7394%;0,0054%;0,7448%;20,9225%;0,00%;;1
36;FEXC11;Títulos e Val. Mob.;10401.0;0.0;R$ 0,6200;0,5714%;2,1063%;4,7851%;9,5052%;0,7021%;0,7975%;0,7921%;9,5052%;-0,9585%;-0,3925%;14,6863%;R$ 147.087.480,70;R$ 100,66;10333.0;0,8445%;-0,8676%;-0,0305%;9,6479%;;;0
37;FFCI11;Lajes Corporativas;16840.0;1670.0;R$ 0,5000;0,2959%;1,1281%;2,4199%;4,7994%;0,3760%;0,4033%;0,3999%;0,2959%;0,0000%;0,2959%;0,2959%;R$ 373.481.562,35;R$ 172,11;9784.0;0,3660%;-2,8927%;-2,5372%;1,3923%;5,60%;;8
38;FIGS11;Shoppings;6735.0;7892.0;R$ 0,8333;1,1837%;3,5793%;7,2114%;12,9826%;1,1931%;1,2019%;1,0819%;12,9826%;0,5714%;1,7619%;-16,1230%;R$ 242.809.623,31;R$ 93,69;7188.0;0,8894%;-0,0944%;0,7942%;16,0269%;11,61%;;2
39;FIIB11;Híbrido;43000.0;1476.0;R$ 2,6800;0,6284%;1,9340%;3,9542%;7,5418%;0,6447%;0,6590%;0,6285%;6,9771%;1,4269%;2,0642%;8,8617%;R$ 267.320.539,18;R$ 390,25;11019.0;0,6867%;-0,0160%;0,6706%;7,8894%;4,59%;;1
40;FIIP11B;Logística;19245.0;636.0;R$ 1,2504;0,5997%;1,8651%;3,8874%;8,9673%;0,6217%;0,6479%;0,7473%;8,9673%;7,3414%;7,9852%;16,9077%;R$ 176.663.139,71;R$ 190,54;10100.0;0,6197%;0,1243%;0,7448%;16,1122%;;;7
41;FIVN11;Shoppings;293.0;765.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;;0,0000%;0,0000%;0,0000%;R$ 87.596.013,46;R$ 9,31;3148.0;;;;;;;1
42;FIXX11;Títulos e Val. Mob.;8348.0;345.0;R$ 0,4800;0,5589%;1,6460%;3,6039%;6,7747%;0,5487%;0,6007%;0,5646%;6,7747%;0,3388%;0,8995%;-2,2421%;R$ 32.770.726,55;R$ 89,54;9323.0;0,5360%;2,4950%;3,0444%;2,1196%;;;0
43;FLMA11;Híbrido;294.0;39621.0;R$ 0,0145;0,4833%;1,6566%;3,3734%;6,2072%;0,5522%;0,5622%;0,5173%;6,2072%;23,4568%;24,0535%;24,1866%;R$ 184.385.080,08;R$ 2,67;11007.0;0,5728%;0,1693%;0,7431%;6,0044%;;;1
44;FLRP11;Shoppings;1.2699;14.0;R$ 7,6812;0,6140%;1,5054%;2,9690%;6,8193%;0,5018%;0,4948%;0,5683%;6,3014%;-0,7143%;-0,1047%;13,8556%;R$ 77.198.802,93;R$ 1.386,20;9161.0;0,5541%;-0,1379%;0,4155%;4,4318%;2,73%;;1
45;FMOF11;Lajes Corporativas;8950.0;208.0;R$ 1,0300;1,1771%;1,7659%;2,6369%;4,1101%;0,5886%;0,4395%;0,3425%;4,1101%;0,0114%;1,1887%;-21,4059%;R$ 67.276.951,60;R$ 132,43;6758.0;0,1888%;0,4108%;0,6004%;2,7032%;47,80%;;1
46;FOFT11;Títulos e Val. Mob.;9000.0;840.0;R$ 0,8400;0,9438%;2,2491%;4,1288%;7,6862%;0,7497%;0,6881%;0,6405%;7,6862%;-1,1001%;-0,1667%;5,8219%;R$ 108.068.494,72;R$ 903,55;996.0;;;;;;;0
