;Códigodo fundo;Setor;Preço Atual;Volume (21D);Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
89;PRSV11;Lajes Corporativas;37000.0;88.0;R$ 1,6800;0,4541%;1,4805%;2,6835%;3,7935%;0,4935%;0,4473%;0,3161%;3,7935%;11,2949%;11,8003%;-5,3107%;R$ 79.306.358,88;R$ 406,70;9098.0;0,4131%;0,1104%;0,5239%;3,6620%;;;2
90;RBBV11;Títulos e Val. Mob.;7300.0;656.0;R$ 0,5294;0,7450%;1,5381%;5,0875%;8,2251%;0,5127%;0,8479%;0,6854%;7,6699%;2,0247%;2,7848%;18,0825%;R$ 125.969.285,83;R$ 100,44;7268.0;0,5270%;-0,0335%;0,4934%;5,1871%;;;1
91;RBCB11;Outros;22498.0;89.0;R$ 4,0500;1,7234%;4,6721%;10,2387%;14,2133%;1,5574%;1,7065%;1,1844%;14,2133%;-2,1200%;-0,4332%;-57,6515%;R$ 4.710.740,68;R$ 88,71;25360.0;4,9597%;-15,3224%;-11,1227%;-50,7754%;;;0
92;RBDS11;Residencial;27810.0;78.0;R$ 0,1173;0,0372%;4,4671%;12,4806%;20,2776%;1,4890%;2,0801%;1,6898%;20,2776%;3,2787%;3,3171%;-3,7595%;R$ 33.783.496,30;R$ 267,01;10415.0;2,9013%;-9,7062%;-7,0865%;-40,8222%;;;0
93;RBGS11;Shoppings;4389.0;923.0;R$ 0,1420;0,3398%;0,7930%;1,8455%;4,3914%;0,2643%;0,3076%;0,3660%;4,3914%;-4,7836%;-4,4601%;-5,7777%;R$ 107.152.345,13;R$ 99,40;4416.0;0,0991%;0,0007%;0,0999%;2,1304%;12,40%;;1
94;RBRD11;Híbrido;9060.0;1141.0;R$ 0,5180;0,5724%;4,8714%;6,6734%;10,2835%;1,6238%;1,1122%;0,8570%;10,2835%;2,8295%;3,4182%;21,5326%;R$ 142.791.897,98;R$ 77,11;11749.0;0,6718%;3,6368%;4,3330%;16,7146%;0,00%;;4
95;RBRF11;Títulos e Val. Mob.;10211.0;3305.0;R$ 0,5168;0,5061%;1,8201%;3,7321%;8,6419%;0,6067%;0,6220%;0,7202%;8,6419%;2,2122%;2,7296%;15,3270%;R$ 155.716.445,15;R$ 95,89;10649.0;0,6779%;-0,4058%;0,2693%;2,2712%;;;0
96;RBRR11;Títulos e Val. Mob.;10898.0;11698.0;R$ 0,7036;0,6456%;2,2116%;4,4181%;0,0000%;0,7372%;0,7364%;0,0000%;5,2186%;5,2947%;5,9745%;14,7977%;R$ 142.272.502,78;R$ 96,10;11340.0;0,8324%;-0,0760%;0,7559%;4,7487%;;;0
97;RBVO11;Outros;5299.0;957.0;R$ 0,8000;1,4848%;3,9941%;5,9536%;9,1354%;1,3314%;0,9923%;0,7613%;9,1354%;-10,3494%;-9,0183%;-5,5850%;R$ 30.372.892,88;R$ 58,88;8999.0;1,3586%;-0,7948%;0,5530%;7,3311%;;;0
98;RDES11;Lajes Corporativas;7400.0;306.0;R$ 0,2622;0,3642%;1,0860%;1,8338%;4,0892%;0,3620%;0,3056%;0,3408%;4,0892%;0,0000%;0,3642%;11,9057%;R$ 61.460.913,82;R$ 82,83;8934.0;0,3165%;-8,3406%;-8,0504%;-5,2629%;50,53%;;4
99;RDPD11;Títulos e Val. Mob.;8800.0;77.0;R$ 0,4300;0,4778%;1,3093%;2,5074%;0,0000%;0,4364%;0,4179%;0,0000%;3,1727%;0,6149%;1,0956%;-7,1058%;R$ 104.848.606,41;R$ 97,26;9048.0;0,4421%;0,0405%;0,4828%;3,1142%;;;0
100;RNDP11;Títulos e Val. Mob.;96000.0;37.0;R$ 4,6900;0,4937%;1,5903%;3,2450%;6,6197%;0,5301%;0,5408%;0,5516%;6,6197%;1,0627%;1,5616%;11,5244%;R$ 115.042.597,63;R$ 1.070,35;8969.0;0,4382%;-0,1415%;0,2961%;8,6844%;;;0
101;RNGO11;Lajes Corporativas;8330.0;3342.0;R$ 0,4800;0,5667%;1,7188%;3,5529%;7,2011%;0,5729%;0,5922%;0,6001%;7,2011%;-0,3881%;0,1764%;-2,6689%;R$ 250.387.659,65;R$ 93,57;8903.0;0,5130%;0,8133%;1,3305%;7,0907%;11,70%;;3
102;SAAG11;Outros;12701.0;6826.0;R$ 0,8700;0,6760%;2,0958%;4,3999%;8,3658%;0,6986%;0,7333%;0,6972%;8,3658%;2,2402%;2,9314%;8,2734%;R$ 506.955.672,15;R$ 90,02;14109.0;0,9664%;2,3808%;3,3702%;14,0530%;;;28
103;SCPF11;Shoppings;1120.0;1717.0;R$ 0,0499;0,4451%;1,2161%;2,7766%;6,0635%;0,4054%;0,4628%;0,5053%;6,0635%;-0,2667%;0,1773%;-14,8617%;R$ 48.248.561,59;R$ 11,49;9750.0;0,4348%;1,6617%;2,1037%;10,3108%;;;1
104;SDIL11;Logística;10580.0;5780.0;R$ 0,6400;0,6038%;1,9364%;4,0270%;7,9373%;0,6455%;0,6712%;0,6614%;7,9373%;10,6472%;11,3152%;15,7099%;R$ 269.217.570,86;R$ 92,46;11442.0;0,6922%;3,5796%;4,2966%;6,9057%;0,00%;;1
105;SHPH11;Shoppings;95899.0;84.0;R$ 3,5500;0,3698%;1,1327%;2,2592%;4,5467%;0,3776%;0,3765%;0,3789%;4,5467%;5,2610%;5,6502%;0,4537%;R$ 433.108.958,23;R$ 711,24;13483.0;0,4991%;2,1462%;2,6561%;2,3914%;1,20%;;1
106;SPTW11;Lajes Corporativas;7975.0;2430.0;R$ 0,6100;0,8105%;2,3591%;4,6109%;8,8773%;0,7864%;0,7685%;0,7398%;8,8773%;0,4136%;1,2275%;10,5549%;R$ 134.068.783,00;R$ 74,57;10695.0;0,8181%;0,2179%;1,0377%;9,2798%;;;2
107;TBOF11;Lajes Corporativas;8394.0;6185.0;R$ 0,2102;0,2694%;0,7985%;1,6197%;2,8845%;0,2662%;0,2699%;0,2404%;2,6896%;3,9861%;4,2663%;-2,8805%;R$ 802.081.016,93;R$ 79,81;10518.0;0,2633%;0,0177%;0,2811%;2,9731%;28,20%;;1
108;TGAR11;Outros;12275.0;6335.0;R$ 1,1300;0,9154%;2,2695%;3,9263%;8,1500%;0,7565%;0,6544%;0,6792%;8,1500%;0,4067%;1,3257%;17,3483%;R$ 108.920.713,22;R$ 123,77;9917.0;0,8160%;-5,6246%;-4,8545%;16,4250%;;;0
109;THRA11;Lajes Corporativas;12452.0;2654.0;R$ 0,5803;0,4718%;1,5648%;3,1294%;5,3915%;0,5216%;0,5216%;0,4493%;5,3915%;3,9905%;4,4811%;14,8648%;R$ 134.328.967,30;R$ 91,21;13652.0;0,6351%;-0,1046%;0,5298%;13,1238%;0,00%;;1
110;TRNT11;Lajes Corporativas;18500.0;457.0;R$ 0,6407;0,3463%;1,0372%;1,8208%;3,1112%;0,3457%;0,3035%;0,2593%;3,1112%;3,9326%;4,2925%;7,2064%;R$ 741.127.131,99;R$ 188,32;9824.0;0,3244%;0,0495%;0,3741%;4,0630%;20,10%;;1
111;TRXL11;Logística;7930.0;1312.0;R$ 0,3657;0,5044%;1,4453%;2,8385%;5,6102%;0,4818%;0,4731%;0,4675%;5,6102%;-1,7615%;-1,2660%;-3,8937%;R$ 189.014.942,51;R$ 101,21;7835.0;0,3423%;0,0876%;0,4303%;-0,2302%;24,60%;38,20%;6
112;UBSR11;Títulos e Val. Mob.;10946.0;4622.0;R$ 0,5748;0,5251%;3,2394%;8,1074%;11,4613%;1,0798%;1,3512%;0,9551%;11,4613%;2,7793%;3,3191%;14,2368%;R$ 120.929.103,44;R$ 97,26;11255.0;1,1434%;2,0359%;3,2026%;13,7783%;;;0
113;VGIR11;Títulos e Val. Mob.;10100.0;352.0;R$ 0,8604;0,8519%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;1,5719%;1,0000%;1,8604%;2,5938%;R$ 39.310.590,27;R$ 97,88;10319.0;0,7356%;-0,1061%;0,6287%;0,6287%;;;0
114;VISC11;Shoppings;10850.0;23799.0;R$ 0,6042;0,5594%;1,7334%;3,5802%;6,9782%;0,5778%;0,5967%;0,5815%;6,9782%;2,7397%;3,3145%;11,3183%;R$ 824.888.787,71;R$ 101,08;10734.0;0,5977%;3,5067%;4,1254%;10,3608%;4,80%;;9
115;VLOL11;Lajes Corporativas;9510.0;2103.0;R$ 0,2995;0,3365%;1,1969%;2,3976%;4,7269%;0,3990%;0,3996%;0,3939%;4,7269%;1,7143%;2,0565%;3,6658%;R$ 133.451.088,04;R$ 74,77;12719.0;0,5854%;-0,0507%;0,5344%;6,0159%;0,00%;;1
116;VOTS11;Títulos e Val. Mob.;9799.0;140.0;R$ 0,3500;0,3572%;0,9460%;0,0000%;0,0000%;0,3153%;0,0000%;0,0000%;1,6023%;15,2824%;15,6941%;-0,4299%;;;;;;;;;;0
117;VRTA11;Títulos e Val. Mob.;11899.0;6060.0;R$ 1,0100;0,8452%;2,7749%;5,3857%;9,3946%;0,9250%;0,8976%;0,7829%;9,3946%;5,2863%;6,1762%;18,5058%;R$ 228.833.842,62;R$ 102,08;11657.0;1,0091%;0,0492%;1,0587%;6,9906%;;;0
118;VTLT11;Logística;10000.0;310.0;R$ 1,4067;1,4002%;2,7164%;4,6982%;0,0000%;0,9055%;0,7830%;0,0000%;5,3621%;-0,1491%;1,2490%;5,9697%;R$ 205.210.319,08;R$ 97,03;10306.0;1,4498%;-3,6949%;-2,2987%;1,7136%;;;0
119;WPLZ11;Shoppings;7340.0;324.0;R$ 0,2100;0,2917%;1,0557%;2,2981%;4,9533%;0,3519%;0,3830%;0,4128%;4,7772%;2,8571%;3,1571%;-0,5948%;R$ 82.455.279,58;R$ 83,34;8807.0;0,2400%;0,0414%;0,2815%;5,1799%;7,96%;;1
120;XPCM11;Lajes Corporativas;9520.0;4496.0;R$ 0,8500;0,8946%;2,6486%;5,2287%;10,0651%;0,8829%;0,8715%;0,8388%;10,0651%;0,9134%;1,8163%;6,6259%;R$ 199.940.530,05;R$ 82,81;11497.0;1,0386%;3,2352%;4,3073%;14,6783%;0,00%;0,00%;1
121;XPIN11;Outros;11100.0;1369.0;R$ 0,7700;0,6892%;1,7938%;3,1838%;3,1838%;0,5979%;0,5306%;0,2653%;3,1838%;2,4954%;3,2018%;15,3237%;R$ 190.860.513,38;R$ 115,57;9605.0;0,5105%;0,2090%;0,7206%;1,2662%;0,00%;;2
122;XPLG11;Logística;10243.0;10324.0;R$ 0,6480;0,6461%;1,9620%;3,4640%;3,7922%;0,6540%;0,5773%;0,3160%;3,7922%;5,2913%;5,9717%;4,1540%;R$ 351.568.563,50;R$ 96,03;10667.0;0,6717%;0,0720%;0,7442%;4,3039%;0,00%;;5
123;XPML11;Shoppings;10600.0;12223.0;R$ 0,6500;0,6194%;1,7668%;3,0872%;5,6054%;0,5889%;0,5145%;0,4671%;5,6054%;6,6463%;7,3069%;6,3276%;R$ 519.579.063,44;R$ 104,23;10170.0;0,6236%;-0,9083%;-0,2904%;14,7016%;4,60%;;7
124;XTED11;Lajes Corporativas;1868.0;1042.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;1,0962%;1,0962%;-37,8277%;R$ 50.018.449,07;R$ 27,90;6695.0;;;;;96,80%;91,60%;2
