;Códigodo fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
17;BNFS11;Outros;R$ 125,42;417.0;R$ 0,95;0,75%;2,25%;4,55%;8,83%;0,75%;0,76%;0,74%;6,68%;-1,14%;-0,39%;1,27%;R$ 67.095.298,19;R$ 95,85;131.0;0,99%;-0,04%;0,95%;9,34%;;;18
18;BPFF11;Títulos e Val. Mob.;R$ 84,10;4685.0;R$ 0,50;0,60%;1,80%;3,60%;7,92%;0,60%;0,60%;0,66%;5,40%;-0,60%;0,00%;-28,05%;R$ 283.955.860,02;R$ 89,72;94.0;0,56%;-1,80%;-1,25%;-12,75%;;;0
19;BPML11;Shoppings;R$ 99,99;3071.0;R$ 0,28;0,31%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,31%;0,00%;0,31%;0,31%;R$ 583.868.778,50;R$ 135,62;74.0;;;;;5,60%;;7
20;BRCO11;Logística;R$ 124,60;11447.0;R$ 0,55;0,43%;1,31%;2,72%;0,00%;0,44%;0,45%;0,00%;4,08%;1,42%;1,86%;1,56%;R$ 1.205.360.892,14;R$ 95,92;130.0;0,57%;-0,05%;0,52%;5,32%;0,00%;;10
21;BRCR11;Híbrido;R$ 88,00;67508.0;R$ 0,45;0,49%;1,51%;2,90%;6,08%;0,50%;0,48%;0,51%;3,97%;0,77%;1,26%;-11,49%;R$ 2.829.153.967,86;R$ 106,21;83.0;;;;;13,40%;5,70%;12
22;BTCR11;Títulos e Val. Mob.;R$ 84,39;4152.0;R$ 0,35;0,42%;1,08%;2,63%;5,93%;0,36%;0,44%;0,49%;4,29%;-2,77%;-2,37%;-13,18%;R$ 464.994.619,80;R$ 96,67;87.0;;;;;;;0
23;BTLG11;Logística;R$ 106,00;59757.0;R$ 0,60;0,57%;1,34%;2,82%;5,81%;0,45%;0,47%;0,48%;4,52%;-0,86%;-0,29%;0,61%;R$ 708.332.397,30;R$ 101,41;105.0;;;;;0,00%;;10
24;BZLI11;Títulos e Val. Mob.;R$ 14,60;33194.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,68%;0,68%;1,14%;R$ 428.217.278,87;R$ 11,86;123.0;;;;;;;0
25;CARE11;Híbrido;R$ 0,80;39264.0;R$ 0,00;0,24%;0,69%;0,69%;0,69%;0,23%;0,12%;0,06%;0,69%;-5,81%;-5,59%;-12,30%;R$ 250.181.920,58;R$ 1,40;57.0;0,14%;0,01%;0,15%;0,83%;;;0
26;CBOP11;Lajes Corporativas;R$ 77,80;979.0;R$ 0,49;0,61%;1,93%;3,48%;6,79%;0,64%;0,58%;0,57%;5,09%;3,23%;3,86%;-12,25%;R$ 121.624.326,39;R$ 85,95;91.0;0,57%;0,03%;0,60%;5,38%;10,37%;10,87%;1
27;CEOC11;Lajes Corporativas;R$ 71,90;2837.0;R$ 0,33;0,41%;1,80%;3,75%;7,42%;0,60%;0,62%;0,62%;5,61%;-1,75%;-1,35%;-12,43%;R$ 177.927.088,96;R$ 97,99;73.0;;;;;0,00%;;1
28;CNES11;Lajes Corporativas;R$ 67,42;530.0;R$ 0,23;0,35%;1,08%;2,52%;3,72%;0,36%;0,42%;0,31%;2,93%;2,34%;2,70%;-20,64%;R$ 279.833.028,49;R$ 94,88;71.0;;;;;36,30%;;1
29;CPFF11;Híbrido;R$ 79,01;10666.0;R$ 0,55;0,70%;0,70%;2,00%;0,00%;0,23%;0,33%;0,00%;3,57%;-0,89%;-0,20%;-20,73%;R$ 336.314.079,35;R$ 84,63;93.0;;;;;;;0
30;CPTS11;Títulos e Val. Mob.;R$ 99,03;67079.0;R$ 0,72;0,72%;2,25%;4,25%;8,00%;0,75%;0,71%;0,67%;6,24%;3,55%;4,29%;-1,35%;R$ 789.101.448,06;R$ 93,47;106.0;;;;;;;0
31;CRFF11;Títulos e Val. Mob.;R$ 82,80;199.0;R$ 0,42;0,51%;1,53%;2,95%;6,46%;0,51%;0,49%;0,54%;4,57%;2,99%;3,51%;-23,46%;R$ 65.015.965,37;R$ 94,22;88.0;0,45%;1,37%;1,82%;-8,43%;;;0
32;CTXT11;Lajes Corporativas;R$ 48,80;1562.0;R$ 0,38;0,79%;2,34%;4,65%;8,57%;0,78%;0,78%;0,71%;6,73%;-2,02%;-1,26%;-12,06%;R$ 138.626.650,12;R$ 53,44;91.0;0,71%;-0,04%;0,67%;6,20%;8,60%;;1
33;CVBI11;Títulos e Val. Mob.;R$ 99,00;10013.0;R$ 0,75;0,78%;2,17%;4,03%;8,12%;0,72%;0,67%;0,68%;6,37%;3,91%;4,72%;-1,90%;R$ 353.816.974,10;R$ 100,32;99.0;0,75%;0,27%;1,02%;6,36%;;;0
34;CXCE11B;Outros;R$ 105,49;529.0;R$ 0,92;0,90%;2,50%;4,94%;9,75%;0,83%;0,82%;0,81%;7,40%;0,00%;0,90%;-96,02%;R$ 147.512.832,39;R$ 86,12;122.0;1,07%;0,02%;1,09%;-95,69%;0,00%;;1
35;CXRI11;Híbrido;R$ 162,29;206.0;R$ 0,70;0,38%;1,25%;4,07%;10,63%;0,42%;0,68%;0,89%;5,88%;-87,90%;-87,85%;-88,78%;R$ 156.187.768,35;R$ 99,12;164.0;0,71%;-89,88%;-89,81%;-90,75%;;;0
36;CXTL11;Logística;R$ 384,75;19.0;R$ 0,97;0,27%;0,98%;1,53%;3,05%;0,33%;0,26%;0,25%;1,69%;10,61%;10,90%;-29,14%;R$ 41.129.363,29;R$ 767,38;50.0;0,13%;0,00%;0,13%;0,82%;27,70%;67,20%;4
37;DMAC11;Residencial;R$ 347,93;575.0;R$ 2,44;0,65%;2,13%;4,48%;8,90%;0,71%;0,75%;0,74%;6,69%;0,79%;1,44%;-40,57%;R$ 88.702.356,59;R$ 568,21;61.0;0,43%;-5,34%;-4,94%;-20,33%;;;0
38;DOMC11;Lajes Corporativas;R$ 439,00;42.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;4,35%;4,35%;-10,00%;R$ 259.767.889,57;R$ 1.062,97;41.0;;;;;23,44%;;1
39;DRIT11B;Lajes Corporativas;R$ 149,99;1.0;R$ 0,55;0,39%;0,99%;1,66%;4,15%;0,33%;0,28%;0,35%;2,93%;0,35%;0,75%;-7,66%;R$ 60.596.748,62;R$ 130,80;115.0;0,42%;0,06%;0,48%;2,90%;14,30%;;6
40;EDFO11B;Lajes Corporativas;R$ 255,01;127.0;R$ 1,57;0,58%;1,61%;3,39%;6,73%;0,54%;0,57%;0,56%;5,16%;2,26%;2,86%;4,83%;R$ 47.938.575,01;R$ 203,13;126.0;0,77%;0,01%;0,78%;6,79%;6,96%;;1
41;EDGA11;Lajes Corporativas;R$ 30,30;2750.0;R$ 0,12;0,38%;1,40%;2,34%;4,85%;0,47%;0,39%;0,40%;3,26%;1,26%;1,65%;-38,92%;R$ 300.215.998,07;R$ 78,75;38.0;;;;;41,70%;;1
42;EURO11;Logística;R$ 214,50;368.0;R$ 0,75;0,34%;1,05%;2,20%;4,36%;0,35%;0,37%;0,36%;3,34%;0,67%;1,02%;7,06%;R$ 117.742.726,41;R$ 306,67;70.0;0,24%;0,06%;0,30%;2,31%;0,00%;;6
43;FAED11;Outros;R$ 208,00;705.0;R$ 1,28;0,60%;1,79%;3,48%;7,09%;0,60%;0,58%;0,59%;5,44%;-2,69%;-2,11%;-16,70%;R$ 131.693.225,71;R$ 205,08;101.0;;;;;0,00%;;3
44;FAMB11B;Lajes Corporativas;R$ 3.078,00;87.0;R$ 25,28;0,80%;2,43%;5,22%;10,79%;0,81%;0,87%;0,90%;8,27%;-1,05%;-0,26%;-0,55%;R$ 374.578.086,33;R$ 3.574,22;86.0;;;;;0,00%;;1
45;FATN11;Híbrido;R$ 100,20;4.0;R$ 0,61;0,61%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,61%;0,00%;0,61%;0,61%;R$ 45.262.096,68;R$ 99,88;100.0;0,61%;0,05%;0,66%;1,20%;23,00%;;0
46;FCFL11;Outros;R$ 116,36;2031.0;R$ 0,56;0,47%;1,50%;3,00%;5,66%;0,50%;0,50%;0,47%;4,46%;5,55%;6,05%;-8,67%;R$ 367.848.969,10;R$ 105,89;110.0;;;;;0,00%;;1
47;FEXC11;Títulos e Val. Mob.;R$ 97,00;1082.0;R$ 0,45;0,45%;1,51%;4,13%;8,06%;0,50%;0,69%;0,67%;6,46%;-5,25%;-4,82%;-4,09%;R$ 338.104.389,06;R$ 98,80;98.0;;;;;;;0
48;FIGS11;Shoppings;R$ 64,74;2099.0;R$ 0,15;0,24%;0,48%;1,23%;3,82%;0,16%;0,20%;0,32%;1,69%;0,00%;0,24%;-24,03%;R$ 279.558.100,61;R$ 98,09;66.0;0,15%;0,23%;0,39%;0,90%;11,20%;;2
49;FIIB11;Híbrido;R$ 525,38;292.0;R$ 2,39;0,47%;1,35%;2,46%;5,39%;0,45%;0,41%;0,45%;3,48%;8,62%;9,14%;-11,92%;R$ 292.534.402,16;R$ 427,06;123.0;;;;;2,58%;;1
50;FIIP11B;Logística;R$ 193,50;416.0;R$ 0,87;0,46%;1,16%;7,53%;11,81%;0,39%;1,26%;0,98%;10,40%;-1,47%;-1,02%;0,57%;R$ 184.148.611,43;R$ 198,62;97.0;0,44%;0,09%;0,52%;12,48%;0,00%;;7
51;FIVN11;Shoppings;R$ 4,00;305.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 71.569.862,13;R$ 7,60;53.0;;;;;56,00%;;1
52;FLMA11;Híbrido;R$ 3,00;65843.0;R$ 0,01;0,24%;0,68%;1,13%;3,17%;0,23%;0,19%;0,26%;2,26%;-2,89%;-2,66%;-22,00%;R$ 200.722.759,51;R$ 2,91;103.0;0,25%;-0,02%;0,23%;3,02%;6,00%;;2
53;FLRP11;Shoppings;R$ 1.340,00;19.0;R$ 2,85;0,21%;0,71%;2,58%;5,14%;0,24%;0,43%;0,43%;1,57%;-3,55%;-3,35%;0,82%;R$ 103.976.357,69;R$ 1.593,95;84.0;;;;;1,96%;;1
54;FMOF11;Lajes Corporativas;R$ 85,26;2.0;R$ 0,27;0,25%;1,06%;1,06%;3,09%;0,35%;0,18%;0,26%;1,06%;22,10%;22,40%;19,19%;R$ 66.625.968,39;R$ 131,15;65.0;;;;;43,75%;;1
55;FPAB11;Lajes Corporativas;R$ 304,00;70.0;R$ 3,33;1,07%;2,05%;3,66%;6,47%;0,68%;0,61%;0,54%;4,98%;-0,65%;0,42%;-20,15%;R$ 310.439.991,10;R$ 413,92;73.0;0,80%;0,04%;0,85%;4,26%;28,68%;;1
56;FVPQ11;Shoppings;R$ 153,85;1221.0;R$ 0,08;0,05%;0,52%;0,93%;4,76%;0,17%;0,16%;0,40%;1,72%;-3,87%;-3,82%;-26,20%;R$ 599.105.616,35;R$ 213,95;72.0;;;;;7,70%;;1
57;GCFF11;Títulos e Val. Mob.;R$ 101,99;169.0;R$ 0,85;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 7.809.131,64;R$ 97,09;105.0;;;;;;;0
58;GGRC11;Logística;R$ 149,61;9424.0;R$ 0,71;0,50%;1,44%;2,98%;6,29%;0,48%;0,50%;0,52%;4,91%;-2,19%;-1,70%;7,00%;R$ 810.335.954,44;R$ 124,61;120.0;0,57%;0,00%;0,57%;10,80%;0,00%;0,00%;15
59;GRLV11;Logística;R$ 140,39;195859.0;R$ 0,71;0,49%;1,56%;3,24%;6,40%;0,52%;0,54%;0,53%;4,84%;9,22%;9,76%;16,11%;R$ 141.593.332,00;R$ 131,90;106.0;0,54%;0,03%;0,57%;5,09%;3,70%;3,40%;1
60;GSFI11;Shoppings;R$ 2,63;75366.0;R$ 0,00;0,03%;0,03%;0,03%;0,03%;0,01%;0,00%;0,00%;0,03%;0,00%;0,03%;0,03%;R$ 814.848.204,39;R$ 11,90;22.0;;;;;;;10
61;GTWR11;Lajes Corporativas;R$ 117,50;22104.0;R$ 0,69;0,58%;1,76%;3,54%;7,19%;0,59%;0,59%;0,60%;5,38%;5,08%;5,69%;7,33%;R$ 1.175.172.211,39;R$ 97,93;120.0;0,70%;-0,05%;0,65%;6,11%;0,00%;0,00%;1
62;HABT11;Títulos e Val. Mob.;R$ 114,40;18744.0;R$ 1,00;0,87%;2,65%;4,73%;9,65%;0,88%;0,79%;0,80%;7,47%;4,90%;5,82%;6,48%;R$ 545.903.599,03;R$ 100,87;113.0;0,99%;-0,64%;0,35%;7,45%;;;0
63;HBRH11;Híbrido;R$ 96,56;834.0;R$ 0,70;0,70%;2,04%;4,09%;0,00%;0,68%;0,68%;0,00%;5,16%;-1,01%;-0,31%;4,22%;R$ 221.155.287,80;R$ 98,48;98.0;;;;;;;3
64;HBTT11;Títulos e Val. Mob.;R$ 1.055,00;3.0;R$ 16,58;1,57%;3,46%;5,29%;9,82%;1,15%;0,88%;0,82%;8,19%;0,33%;1,91%;-38,13%;R$ 159.726.645,53;R$ 886,32;119.0;;;;;;;0
65;HCRI11;Hospital;R$ 431,04;285.0;R$ 2,60;0,57%;1,76%;3,71%;7,39%;0,59%;0,62%;0,62%;5,62%;4,97%;5,57%;12,31%;R$ 58.378.202,34;R$ 291,89;148.0;;;;;0,00%;;1
66;HCTR11;Outros;R$ 143,59;35437.0;R$ 2,25;1,70%;4,26%;6,81%;13,24%;1,42%;1,14%;1,10%;10,86%;1,90%;3,63%;13,27%;R$ 325.622.091,02;R$ 116,75;123.0;1,93%;0,05%;1,98%;14,10%;;;0
67;HFOF11;Títulos e Val. Mob.;R$ 104,00;22448.0;R$ 0,50;0,47%;1,34%;3,87%;8,20%;0,45%;0,64%;0,68%;5,71%;-5,92%;-5,48%;-8,71%;R$ 1.900.249.624,33;R$ 100,58;103.0;0,50%;0,68%;1,18%;-2,04%;;;0
68;HGBS11;Shoppings;R$ 209,80;11024.0;R$ 0,30;0,14%;0,38%;0,88%;3,73%;0,13%;0,15%;0,31%;2,28%;-0,35%;-0,21%;-25,27%;R$ 2.274.049.597,06;R$ 227,40;92.0;0,13%;-0,03%;0,10%;-3,13%;7,24%;;16
69;HGCR11;Títulos e Val. Mob.;R$ 101,94;13045.0;R$ 0,48;0,47%;1,41%;3,00%;6,19%;0,47%;0,50%;0,52%;4,66%;-0,78%;-0,32%;-7,69%;R$ 1.297.647.988,18;R$ 104,88;97.0;0,46%;0,19%;0,64%;3,56%;;;0
70;HGFF11;Títulos e Val. Mob.;R$ 95,35;9365.0;R$ 0,55;0,55%;1,67%;3,36%;6,82%;0,56%;0,56%;0,57%;5,04%;-0,24%;0,31%;-6,85%;R$ 284.546.247,25;R$ 99,37;96.0;0,55%;-1,68%;-1,13%;-5,68%;;;0
71;HGLG11;Logística;R$ 170,65;53616.0;R$ 0,60;0,35%;1,21%;2,51%;5,14%;0,40%;0,42%;0,43%;3,85%;-6,60%;-6,27%;-7,76%;R$ 2.591.310.695,92;R$ 140,55;121.0;0,43%;0,43%;0,86%;8,12%;8,90%;10,60%;14
72;HGPO11;Lajes Corporativas;R$ 227,44;1346.0;R$ 0,94;0,42%;1,30%;2,61%;5,15%;0,43%;0,44%;0,43%;3,91%;2,02%;2,45%;5,26%;R$ 336.160.918,03;R$ 203,73;112.0;0,46%;0,02%;0,48%;4,29%;0,00%;0,00%;2
73;HGRE11;Lajes Corporativas;R$ 153,00;18381.0;R$ 0,65;0,43%;1,34%;2,50%;5,13%;0,45%;0,42%;0,43%;3,72%;2,14%;2,58%;-21,38%;R$ 1.772.978.435,44;R$ 163,98;93.0;0,40%;0,01%;0,41%;3,72%;26,51%;28,52%;22
74;HGRU11;Híbrido;R$ 129,98;30998.0;R$ 0,68;0,53%;1,58%;3,29%;6,62%;0,53%;0,55%;0,55%;4,96%;-1,84%;-1,32%;2,14%;R$ 1.350.866.710,08;R$ 107,78;121.0;0,63%;-0,02%;0,61%;5,31%;0,00%;0,00%;15
75;HLOG11;Logística;R$ 117,48;410.0;R$ 0,63;0,53%;1,56%;3,07%;0,00%;0,52%;0,51%;0,00%;4,22%;-1,66%;-1,13%;11,88%;R$ 190.324.003,48;R$ 112,62;104.0;0,56%;0,02%;0,58%;5,59%;0,00%;0,00%;2
76;HMOC11;Shoppings;R$ 231,00;51.0;R$ 0,50;0,22%;0,38%;0,62%;3,24%;0,13%;0,10%;0,27%;1,78%;4,09%;4,32%;-7,47%;R$ 88.659.684,89;R$ 232,08;100.0;0,22%;0,10%;0,32%;10,78%;4,20%;;1
77;HPDP11;Shoppings;R$ 88,00;3.0;R$ 0,25;0,28%;0,34%;1,13%;0,00%;0,11%;0,19%;0,00%;1,13%;0,00%;0,28%;8,17%;R$ 278.395.409,40;R$ 95,71;92.0;0,26%;0,04%;0,30%;0,50%;4,40%;;1
78;HSML11;Shoppings;R$ 93,90;49448.0;R$ 0,40;0,43%;0,92%;1,61%;4,58%;0,31%;0,27%;0,38%;2,88%;0,64%;1,08%;-22,08%;R$ 1.575.267.286,66;R$ 99,82;94.0;0,40%;-0,01%;0,39%;6,72%;4,90%;;5
79;HTMX11;Hotel;R$ 123,70;4882.0;R$ 0,00;0,00%;0,80%;2,20%;5,41%;0,27%;0,37%;0,45%;0,80%;-28,14%;-28,14%;-32,26%;R$ 181.834.872,92;R$ 144,66;86.0;;;;;94,00%;;23
80;HUSC11;Outros;R$ 150,50;46.0;R$ 0,73;0,48%;1,46%;2,17%;3,00%;0,49%;0,36%;0,25%;1,89%;-1,36%;-0,88%;14,59%;R$ 72.146.087,32;R$ 99,40;151.0;0,73%;-0,02%;0,71%;5,14%;;;0
81;IBFF11;Títulos e Val. Mob.;R$ 78,47;1950.0;R$ 0,50;0,67%;1,58%;3,09%;0,00%;0,53%;0,51%;0,00%;5,09%;0,66%;1,33%;-23,18%;R$ 59.023.449,11;R$ 88,53;89.0;;;;;;;0
82;IRDM11;Títulos e Val. Mob.;R$ 129,60;54696.0;R$ 1,16;0,91%;2,53%;4,67%;9,28%;0,84%;0,78%;0,77%;7,03%;6,50%;7,47%;15,32%;R$ 1.129.741.125,31;R$ 98,24;132.0;;;;;;;0
83;JPPA11;Títulos e Val. Mob.;R$ 98,80;11.0;R$ 0,62;0,61%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,61%;0,00%;0,61%;0,61%;R$ 51.624.684,07;R$ 102,11;97.0;0,61%;0,56%;1,17%;1,62%;;;0
84;JRDM11;Shoppings;R$ 76,00;288.0;R$ 0,16;0,22%;0,22%;0,61%;3,90%;0,07%;0,10%;0,32%;0,61%;-1,51%;-1,30%;-26,43%;R$ 229.085.746,75;R$ 90,80;84.0;;;;;4,07%;;1
85;JSRE11;Híbrido;R$ 97,80;28128.0;R$ 0,53;0,53%;1,56%;2,86%;5,40%;0,52%;0,48%;0,45%;4,04%;0,62%;1,15%;-11,74%;R$ 2.335.096.900,10;R$ 112,44;87.0;0,47%;-0,05%;0,42%;1,06%;2,62%;;4
86;KFOF11;Títulos e Val. Mob.;R$ 110,85;2354.0;R$ 0,46;0,41%;1,23%;2,97%;5,47%;0,41%;0,49%;0,46%;4,27%;-1,27%;-0,86%;-9,58%;R$ 480.537.751,93;R$ 109,90;101.0;0,42%;0,28%;0,70%;-10,11%;;;0
87;KNCR11;Títulos e Val. Mob.;R$ 93,75;41128.0;R$ 0,25;0,28%;0,92%;1,93%;4,71%;0,31%;0,32%;0,39%;3,31%;1,10%;1,38%;-10,85%;R$ 3.821.147.423,24;R$ 97,73;96.0;0,26%;0,01%;0,27%;-3,83%;;;0
88;KNHY11;Títulos e Val. Mob.;R$ 110,00;9978.0;R$ 0,64;0,58%;1,59%;2,63%;6,43%;0,53%;0,44%;0,54%;4,90%;1,01%;1,60%;-2,09%;R$ 1.129.702.323,09;R$ 105,67;104.0;0,61%;-0,96%;-0,36%;-0,01%;;;0
89;KNIP11;Títulos e Val. Mob.;R$ 108,12;43632.0;R$ 0,74;0,67%;1,98%;3,39%;7,01%;0,66%;0,57%;0,58%;5,46%;-0,88%;-0,22%;-0,23%;R$ 3.749.255.914,50;R$ 105,26;103.0;0,70%;-1,49%;-0,80%;-2,54%;;;0
90;KNRE11;Residencial;R$ 4,12;5871.0;R$ 0,26;3,92%;5,11%;5,11%;9,25%;1,70%;0,85%;0,77%;7,82%;5,28%;9,41%;-24,78%;R$ 72.086.211,95;R$ 3,89;106.0;;;;;;;0
91;KNRI11;Híbrido;R$ 166,80;26772.0;R$ 0,65;0,39%;1,20%;2,37%;4,87%;0,40%;0,40%;0,41%;3,64%;0,39%;0,78%;-5,79%;R$ 3.688.959.907,45;R$ 156,31;107.0;0,42%;-0,30%;0,11%;7,73%;6,12%;10,29%;19
92;LASC11;Shoppings;R$ 99,15;119.0;R$ 0,27;0,27%;0,65%;0,00%;0,00%;0,22%;0,00%;0,00%;0,98%;-0,08%;0,19%;-0,03%;R$ 241.258.621,70;R$ 95,81;103.0;0,28%;-0,64%;-0,36%;-0,31%;5,80%;;3
93;LGCP11;Logística;R$ 100,80;1175.0;R$ 0,53;0,53%;1,48%;2,88%;0,00%;0,49%;0,48%;0,00%;3,89%;-0,01%;0,52%;-1,19%;R$ 168.701.742,34;R$ 95,70;105.0;0,55%;0,00%;0,55%;4,07%;2,36%;;3
94;LUGG11;Residencial;R$ 105,90;176.0;R$ 0,45;0,42%;1,28%;2,73%;0,00%;0,43%;0,45%;0,00%;3,67%;-0,23%;0,19%;3,01%;R$ 97.766.272,73;R$ 108,63;97.0;0,41%;-0,03%;0,38%;18,14%;21,00%;;4
95;LVBI11;Logística;R$ 124,23;36547.0;R$ 0,66;0,54%;1,59%;3,12%;6,15%;0,53%;0,52%;0,51%;4,23%;-0,40%;0,13%;3,55%;R$ 1.299.471.923,52;R$ 110,36;113.0;;;;;6,70%;1,00%;6
96;MALL11;Shoppings;R$ 94,00;21069.0;R$ 0,35;0,38%;0,88%;1,32%;3,95%;0,29%;0,22%;0,33%;2,93%;-0,01%;0,37%;-19,83%;R$ 802.039.084,84;R$ 106,08;89.0;0,33%;0,14%;0,47%;3,08%;3,00%;;7
