;Códigodo fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
0;ABCP11;Shoppings;R$ 78,45;1799.0;R$ 0,19;0,24%;0,79%;1,27%;4,53%;0,26%;0,21%;0,38%;2,04%;0,00%;0,24%;-15,98%;R$ 1.041.982.878,65;R$ 85,38;92.0;0,22%;0,20%;0,42%;3,19%;2,80%;;1
1;AFCR11;Híbrido;R$ 106,80;342.0;R$ 0,87;0,82%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,13%;1,43%;2,26%;8,79%;R$ 67.819.341,94;R$ 101,41;105.0;0,86%;-0,17%;0,68%;2,54%;;;0
2;ALMI11;Lajes Corporativas;R$ 1.204,69;34.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,27%;2,27%;-28,29%;R$ 221.750.586,12;R$ 1.994,57;60.0;;;;;71,19%;;1
3;ALZR11;Logística;R$ 129,90;12703.0;R$ 0,36;0,27%;1,14%;2,65%;5,63%;0,38%;0,44%;0,47%;4,30%;-2,77%;-2,50%;8,37%;R$ 459.346.206,31;R$ 102,54;127.0;;;;;0,00%;;7
4;ARCT11;Outros;R$ 1.140,00;71.0;R$ 10,86;0,94%;3,91%;0,00%;0,00%;1,30%;0,00%;0,00%;7,86%;8,29%;9,31%;30,19%;R$ 22.991.878,95;R$ 985,55;116.0;;;;;;;2
5;ARRI11;Títulos e Val. Mob.;R$ 86,73;146.0;R$ 0,53;0,58%;1,99%;3,36%;0,00%;0,66%;0,56%;0,00%;4,86%;17,25%;17,93%;-8,08%;R$ 36.360.191,34;R$ 92,67;94.0;0,57%;-0,29%;0,28%;2,04%;;;0
6;ATSA11;Shoppings;R$ 110,49;10.0;R$ 0,25;0,18%;0,59%;1,30%;2,97%;0,20%;0,22%;0,25%;0,37%;0,74%;0,92%;1,10%;R$ 189.357.587,57;R$ 110,40;100.0;;;;;18,90%;;1
7;BARI11;Títulos e Val. Mob.;R$ 105,00;8264.0;R$ 0,92;0,87%;2,37%;4,36%;8,56%;0,79%;0,73%;0,71%;6,47%;-1,86%;-1,01%;3,29%;R$ 223.053.667,08;R$ 99,84;105.0;0,92%;0,56%;1,49%;6,57%;;;0
8;BBFI11B;Lajes Corporativas;R$ 2.595,99;496.0;R$ 25,48;1,00%;3,17%;5,93%;11,72%;1,06%;0,99%;0,98%;9,03%;8,36%;9,44%;-5,74%;R$ 408.334.423,34;R$ 3.141,03;83.0;;;;;72,20%;;2
9;BBPO11;Lajes Corporativas;R$ 139,87;24411.0;R$ 1,08;0,78%;2,32%;4,33%;8,36%;0,77%;0,72%;0,70%;6,40%;-0,54%;0,24%;-10,05%;R$ 1.609.791.075,84;R$ 101,12;138.0;1,07%;-0,07%;1,00%;8,58%;0,00%;0,00%;64
10;BBRC11;Outros;R$ 147,50;643.0;R$ 0,94;0,63%;2,02%;4,05%;8,12%;0,67%;0,67%;0,68%;6,03%;-1,12%;-0,50%;6,68%;R$ 174.709.632,19;R$ 109,88;134.0;0,86%;0,04%;0,89%;7,30%;5,40%;2,10%;20
11;BBVJ11;Lajes Corporativas;R$ 62,50;2203.0;R$ 0,33;0,61%;0,74%;0,94%;0,96%;0,25%;0,16%;0,08%;0,96%;19,24%;19,96%;-9,15%;R$ 155.333.783,75;R$ 57,32;109.0;;;;;59,00%;;1
12;BCFF11;Títulos e Val. Mob.;R$ 90,24;54798.0;R$ 0,45;0,49%;1,52%;2,86%;6,00%;0,51%;0,48%;0,50%;4,47%;0,04%;0,54%;-5,95%;R$ 1.729.576.161,61;R$ 84,11;107.0;;;;;;;0
13;BCIA11;Títulos e Val. Mob.;R$ 123,11;5869.0;R$ 0,60;0,48%;1,58%;2,83%;8,18%;0,53%;0,47%;0,68%;4,37%;-8,57%;-8,13%;-40,73%;R$ 439.897.646,47;R$ 118,28;104.0;0,51%;1,64%;2,16%;-9,46%;;;0
14;BCRI11;Títulos e Val. Mob.;R$ 107,80;12037.0;R$ 0,80;0,74%;2,10%;4,20%;8,33%;0,70%;0,70%;0,69%;6,75%;-1,38%;-0,65%;-6,26%;R$ 375.029.259,30;R$ 104,17;103.0;0,77%;-0,07%;0,70%;5,25%;;;0
15;BICR11;Títulos e Val. Mob.;R$ 101,41;2.0;R$ 0,19;0,19%;0,62%;1,42%;0,00%;0,21%;0,24%;0,00%;2,91%;3,94%;4,14%;-11,15%;R$ 49.061.652,66;R$ 98,12;103.0;0,19%;-1,22%;-1,03%;-5,66%;;;0
16;BMLC11B;Lajes Corporativas;R$ 95,90;2525.0;R$ 0,56;0,59%;1,76%;3,62%;6,71%;0,59%;0,60%;0,56%;5,28%;1,92%;2,52%;-5,34%;R$ 93.836.119,19;R$ 93,99;102.0;;;;;1,70%;;2
