;Códigodo fundo;Setor;Preço Atual;Volume (21D);Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
0;ABCP11;Shoppings;9435.0;4727.0;R$ 0,1300;0,6937%;1,7529%;3,3104%;6,4512%;0,5843%;0,5517%;0,5376%;0,6937%;0,0000%;0,6937%;0,6937%;R$ 907.480.454,93;R$ 14,87;63441.0;0,6052%;0,2378%;0,8444%;25,2285%;1,20%;;1
1;AEFI11;Outros;15990.0;1277.0;R$ 1,2200;0,7531%;2,2882%;4,9590%;9,3914%;0,7627%;0,8265%;0,7826%;0,7531%;0,0000%;0,7531%;0,7531%;R$ 113.917.460,54;R$ 151,39;10562.0;0,8059%;-0,0355%;0,7701%;13,2550%;0,00%;;2
2;AGCX11;Outros;1.19001;231.0;R$ 7,5000;0,6303%;1,8170%;3,8898%;7,6364%;0,6057%;0,6483%;0,6364%;0,6303%;0,0000%;0,6303%;0,6303%;R$ 432.406.557,06;R$ 1.067,67;11146.0;0,6556%;0,9626%;1,6245%;8,4846%;;;41
3;ALMI11;Lajes Corporativas;1.52;0.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;2,2692%;2,2692%;-28,2913%;R$ 190.899.111,27;R$ 1.717,07;8852.0;;;;;82,00%;;1
4;ALZR11;Outros;9829.0;3911.0;R$ 0,6555;0,6622%;2,0640%;4,1486%;7,7861%;0,6880%;0,6914%;0,6488%;7,7861%;5,2979%;5,9952%;3,3298%;R$ 97.109.899,76;R$ 97,40;10092.0;0,6730%;-0,0054%;0,6676%;10,1778%;0,00%;;2
5;ATSA11;Shoppings;11399.0;0.0;R$ 0,1000;0,0998%;0,5583%;0,7506%;1,4690%;0,1861%;0,1251%;0,1224%;0,0998%;0,0000%;0,0998%;0,0998%;R$ 184.938.889,70;R$ 107,82;10572.0;0,2875%;-13,9451%;-13,6976%;-91,2534%;22,30%;;1
6;BBFI11B;Lajes Corporativas;2.28397;205.0;R$ 25,7775;1,0790%;3,4258%;7,3233%;12,9569%;1,1419%;1,2206%;1,0797%;1,0790%;0,0000%;1,0790%;1,0790%;R$ 351.154.760,28;R$ 2.701,19;8455.0;0,9208%;0,0528%;0,9741%;11,2960%;38,59%;;2
7;BBPO11;Lajes Corporativas;13550.0;17950.0;R$ 1,0249;0,7321%;2,2005%;4,5601%;8,7856%;0,7335%;0,7600%;0,7321%;0,7321%;0,0000%;0,7321%;0,7321%;R$ 1.641.884.449,28;R$ 103,14;13138.0;0,9937%;-0,1477%;0,8445%;20,7889%;0,00%;;64
8;BBRC11;Outros;13600.0;1313.0;R$ 0,9200;0,6604%;2,0524%;4,0318%;7,6247%;0,6841%;0,6720%;0,6354%;0,6604%;0,0000%;0,6604%;0,6604%;R$ 161.759.883,35;R$ 101,74;13368.0;1,0321%;4,1355%;5,2102%;16,2651%;;;20
9;BBVJ11;Lajes Corporativas;5568.0;4536.0;R$ 0,3300;0,6112%;0,7427%;0,9356%;0,9614%;0,2476%;0,1559%;0,0801%;0,9614%;19,2359%;19,9647%;-9,1492%;R$ 159.807.532,98;R$ 58,97;9442.0;0,5596%;-2,1231%;-1,5753%;-0,5032%;66,79%;;1
