;Ativo;Setor;Preço;Volume (21d);Dividendo;Dividend Yield;Dividend Yield 3M (acumulado);Dividend Yield 6M (acumulado);Dividend Yield 12M (acumulado);Dividend Yield 3M (média);Dividend Yield 6M (média);Dividend Yield 12M (média);Dividend Yield no Ano;Variação Preço;Rentabilidade no Período;Rentabilidade Acumulada;Patrimônio Líquido;Valor Patrimonial;P/VPA;Dividend Yield Patrimonial;Variação Patrimonial;Rentabilidade Patrimonial no Período;Rentabilidade Patrimonial Acumulada;Vacância Física;Vacância Financeira;Qtd Ativos
14;GRLV11;Logística;12303.0;1884.0;R$ 0,7500;0,5995%;1,6709%;3,4731%;7,4554%;0,5570%;0,5789%;0,6213%;2,8481%;-10,6357%;-10,1000%;5,9393%;R$ 126.673.030,2500;R$ 117,9967;10427;0,6356%;-89,9936%;-89,9300%;-89,7401%;7,2800%;;1
15;HGJH11;Lajes Corporativas;15500.0;2141.0;R$ 0,7500;0,4732%;1,3477%;2,8626%;6,2128%;0,4492%;0,4771%;0,5177%;2,3359%;-8,3709%;-7,9373%;6,8955%;R$ 192.808.122,4700;R$ 116,8534;13264;0,6418%;-90,0074%;-89,9432%;-89,7581%;5,7000%;;2
16;HGLG11;Logística;13450.0;23352.0;R$ 0,8700;0,6444%;1,8404%;3,7807%;7,8814%;0,6135%;0,6301%;0,6568%;3,1329%;-4,2010%;-3,5836%;5,9969%;R$ 922.047.939,5800;R$ 116,9913;11497;0,7436%;-90,0304%;-89,9562%;-89,4417%;18,2000%;14,4000%;8
17;HGRE11;Lajes Corporativas;13710.0;3728.0;R$ 0,8000;0,5818%;1,6341%;3,3536%;7,0952%;0,5447%;0,5589%;0,5913%;2,7008%;-9,2948%;-8,7671%;-5,8276%;R$ 1.103.364.453,6700;R$ 149,4446;9174;0,5353%;-90,0430%;-89,9897%;-89,8015%;18,7000%;19,1000%;19
18;HGCR11;Títulos e Val. Mob.;10900.0;1427.0;R$ 0,7700;0,6890%;2,1025%;4,2281%;8,6008%;0,7008%;0,7047%;0,7167%;3,5259%;2,2883%;2,9931%;13,4766%;R$ 109.515.627,1400;R$ 104,5905;10422;0,7362%;-0,2334%;0,5011%;5,5204%;;;0
19;DOMC11;Lajes Corporativas;47550.0;29.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;-10,4898%;-10,4898%;-5,6946%;R$ 236.753.106,7900;R$ 992,6755;4790;0,0000%;-0,8915%;-0,8915%;-2,5429%;;;1
20;FIXX11;Títulos e Val. Mob.;8150.0;479.0;R$ 0,6000;0,7318%;1,6681%;3,2918%;7,4144%;0,5560%;0,5486%;0,6179%;2,6457%;-4,6517%;-3,9539%;-10,4446%;R$ 35.030.857,5700;R$ 95,7200;8514;0,4388%;-0,0236%;0,4150%;4,8274%;;;0
21;VRTA11;Títulos e Val. Mob.;10496.0;4059.0;R$ 0,7400;0,6981%;2,0388%;3,8811%;8,0824%;0,6796%;0,6469%;0,6735%;3,2505%;-0,8883%;-0,1964%;-1,1193%;R$ 230.624.565,6800;R$ 102,8748;10203;0,7193%;-1,2527%;-0,5424%;1,0631%;;;0
22;BRCR11;Híbrido;9086.0;28410.0;R$ 0,2677;0,2613%;0,8805%;2,2453%;4,7744%;0,2935%;0,3742%;0,3979%;0,8805%;-4,1628%;-3,9123%;-1,8008%;R$ 2.403.937.952,6600;R$ 125,0453;7266;;;;;32,2000%;29,7000%;11
23;FAMB11B;Lajes Corporativas;2.979;58.0;R$ 36,0801;1,2111%;3,1696%;5,8494%;10,9241%;1,0565%;0,9749%;0,9103%;4,9261%;-14,8855%;-13,8546%;-23,3173%;R$ 484.163.608,0100;R$ 4.619,8818;6448;0,7846%;0,0434%;0,8283%;3,2958%;0,0000%;;1
24;PQDP11;Shoppings;2.98;31.0;R$ 13,0161;0,4352%;1,2292%;2,4667%;5,2672%;0,4097%;0,4111%;0,4389%;1,5804%;-11,5089%;-11,1238%;-7,7550%;R$ 636.682.449,7800;R$ 2.669,7856;11162;0,4875%;0,0275%;0,5152%;2,0831%;2,0000%;;1
25;PRSV11;Lajes Corporativas;36500.0;78.0;R$ 0,7300;0,1921%;0,5576%;1,0221%;3,2486%;0,1859%;0,1704%;0,2707%;0,6611%;-5,4726%;-5,2910%;-5,7442%;R$ 79.015.363,7300;R$ 405,2070;9008;0,1802%;-0,0022%;0,1779%;0,6938%;;;2
26;WPLZ11B;Shoppings;7001.0;243.0;R$ 0,1275;0,1821%;0,4499%;0,8869%;1,4669%;0,1500%;0,1478%;0,1222%;0,4499%;-3,4345%;-3,2587%;-7,4178%;R$ 81.815.682,8200;R$ 82,6973;8466;;;;;9,0000%;;1
27;TBOF11;Lajes Corporativas;7709.0;10065.0;R$ 0,1788;0,2167%;0,6072%;1,2271%;2,9172%;0,2024%;0,2045%;0,2431%;0,8328%;-6,6855%;-6,4833%;0,8232%;R$ 798.645.902,2500;R$ 79,4673;9701;0,2249%;0,0732%;0,2983%;0,7473%;32,1000%;;1
28;VLOL11;Lajes Corporativas;8535.0;2147.0;R$ 0,3172;0,3448%;1,2134%;2,3038%;5,2045%;0,4045%;0,3840%;0,4337%;1,8826%;1,6575%;2,0080%;4,1612%;R$ 132.568.499,4200;R$ 74,2752;11491;0,5425%;0,0060%;0,5486%;1,9174%;11,2300%;;1
29;AGCX11;Outros;1.14499;289.0;R$ 7,2500;0,6272%;1,7886%;3,5978%;7,3091%;0,5962%;0,5996%;0,6091%;2,9238%;-6,7742%;-6,1895%;-6,5046%;R$ 432.141.234,3000;R$ 1.067,0154;10731;0,6795%;0,0182%;0,6978%;2,7880%;;;41
30;BBVJ11;Lajes Corporativas;5000.0;2410.0;R$ 0,0000;0,0000%;0,0000%;0,6656%;2,4243%;0,0000%;0,1109%;0,2020%;0,0000%;-8,9464%;-8,9464%;-15,0167%;R$ 161.971.550,0500;R$ 59,7681;8366;0,0000%;0,2055%;0,2055%;0,0116%;49,2900%;;1
31;BMLC11B;Lajes Corporativas;8007.0;596.0;R$ 0,3016;0,3612%;1,1330%;2,9962%;6,4348%;0,3777%;0,4994%;0,5362%;1,5929%;3,7009%;4,0755%;0,6263%;R$ 84.252.563,9700;R$ 84,3872;9488;0,3574%;-0,0653%;0,2918%;1,6569%;19,0000%;;2
32;BPFF11;Títulos e Val. Mob.;10100.0;2082.0;R$ 0,6700;0,6518%;1,9041%;3,9337%;8,1707%;0,6347%;0,6556%;0,6809%;3,1945%;-3,4742%;-2,8451%;4,9196%;R$ 197.181.290,0100;R$ 98,5906;10244;0,6796%;-0,5760%;0,0997%;3,3058%;;;0
33;CXCE11B;Outros;2.185;12.0;R$ 18,0650;0,8268%;2,2562%;4,4366%;8,9641%;0,7521%;0,7394%;0,7470%;3,6950%;-10,8163%;-10,0790%;-7,0923%;R$ 157.815.280,2700;R$ 2.303,2675;9487;0,7348%;0,0653%;0,8006%;3,2395%;;;1
34;CXTL11;Logística;56001.0;39.0;R$ 1,0292;0,1821%;0,6505%;1,1299%;3,5713%;0,2168%;0,1883%;0,2976%;0,9361%;0,0265%;0,2087%;-0,2692%;R$ 51.870.870,5900;R$ 967,7943;5786;0,1310%;-0,0279%;0,1031%;0,4034%;;;4
35;CTXT11;Lajes Corporativas;409.0;11062.0;R$ 0,0274;0,6667%;1,9647%;3,4765%;7,9408%;0,6549%;0,5794%;0,6617%;2,6762%;-5,2995%;-4,6682%;-6,1966%;R$ 124.776.801,0500;R$ 3,4355;11905;0,7976%;-0,0017%;0,7958%;2,8692%;5,5000%;;1
36;FLMA11;Híbrido;245.0;12394.0;R$ 0,0140;0,5364%;1,3253%;2,5835%;5,6084%;0,4418%;0,4306%;0,4674%;1,7416%;-2,2472%;-1,7228%;3,3366%;R$ 183.527.431,4700;R$ 2,6585;9216;0,5266%;-0,0439%;0,4825%;1,8232%;;;1
37;EDFO11B;Lajes Corporativas;26400.0;146.0;R$ 1,6205;0,6138%;1,7122%;3,5136%;7,3632%;0,5707%;0,5856%;0,6136%;2,9319%;-6,7171%;-6,1445%;-2,9173%;R$ 42.056.481,0100;R$ 178,2054;14814;0,8968%;0,0296%;0,9266%;3,8866%;;;1
38;EURO11;Logística;18100.0;257.0;R$ 1,2000;0,6897%;1,7636%;3,3997%;6,1786%;0,5879%;0,5666%;0,5149%;2,7586%;-9,6104%;-8,9870%;-10,5735%;R$ 119.197.575,7900;R$ 310,4621;5830;0,3543%;0,1387%;0,4935%;1,6021%;11,8800%;;6
39;FIGS11;Shoppings;7515.0;11806.0;R$ 0,8333;1,1111%;2,8225%;5,4657%;11,6042%;0,9408%;0,9110%;0,9670%;4,5635%;-22,7362%;-21,8777%;-17,8163%;R$ 242.132.128,0900;R$ 93,4332;8043;0,8919%;-0,0080%;0,8838%;9,7152%;;;2
40;ABCP11;Shoppings;1543.0;22912.0;R$ 0,0850;0,5491%;1,5338%;3,2152%;6,0542%;0,5113%;0,5359%;0,5045%;2,7180%;-3,8509%;-3,3230%;-6,2739%;R$ 785.425.925,4000;R$ 12,8718;11987;0,6215%;0,0637%;0,6856%;2,9315%;1,9000%;;1
41;GWIR11;Híbrido;22000.0;140.0;R$ 1,3000;0,6075%;1,6470%;3,7983%;7,0678%;0,5490%;0,6330%;0,5890%;2,2379%;-3,8202%;-3,2360%;-9,5747%;R$ 79.736.329,7700;R$ 208,7246;10540;0,6228%;-0,0330%;0,5896%;2,4064%;;;2
42;FIIB11;Híbrido;40051.0;1164.0;R$ 2,4700;0,6054%;1,8103%;3,5532%;7,2990%;0,6034%;0,5922%;0,6082%;2,3817%;-0,4878%;0,1146%;-0,5228%;R$ 266.729.331,9300;R$ 389,3859;10286;0,6343%;0,0389%;0,6735%;2,6621%;4,7500%;;1
43;FMOF11;Lajes Corporativas;10400.0;172.0;R$ 0,2500;0,2500%;0,7314%;1,5979%;2,9563%;0,2438%;0,2663%;0,2464%;1,1797%;-6,5421%;-6,3084%;-12,7638%;R$ 66.927.854,6500;R$ 131,7457;7894;0,1898%;0,0044%;0,1941%;0,8095%;47,8000%;;1
44;MBRF11;Outros;1.03;108.0;R$ 8,0000;0,7240%;2,1939%;3,6466%;7,4079%;0,7313%;0,6078%;0,6173%;2,9272%;0,4545%;1,1818%;4,2807%;R$ 116.120.208,9200;R$ 1.142,1959;9018;0,7004%;-0,0021%;0,6983%;2,8556%;0,0000%;;2
45;PABY11;Híbrido;2500.0;21.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;-21,1009%;-21,1009%;-26,4957%;R$ 181.951.577,1300;R$ 239,9151;1042;0,0000%;0,3407%;0,3407%;0,6646%;;;1
46;FPAB11;Lajes Corporativas;33400.0;284.0;R$ 1,8500;0,5316%;1,5432%;3,1713%;6,5446%;0,5144%;0,5285%;0,5454%;2,6019%;-8,1794%;-7,6913%;0,6055%;R$ 259.792.526,3000;R$ 346,3900;9642;0,5341%;0,0485%;0,5829%;2,5099%;16,4800%;;1
47;FFCI11;Lajes Corporativas;16800.0;1712.0;R$ 0,7000;0,3998%;1,0050%;2,2417%;7,0078%;0,3350%;0,3736%;0,5840%;1,4062%;-1,6844%;-1,2914%;1,7622%;R$ 383.983.434,7800;R$ 176,9509;9494;0,4578%;-0,0052%;0,4525%;1,4902%;12,8000%;;8
48;RNGO11;Lajes Corporativas;8512.0;4551.0;R$ 0,5400;0,6545%;1,8179%;3,5543%;7,0649%;0,6060%;0,5924%;0,5887%;2,9730%;-9,2908%;-8,6971%;-9,1101%;R$ 248.478.294,2000;R$ 92,8544;9167;0,5816%;0,0127%;0,5943%;2,3780%;7,6000%;;2
49;SCPF11;Shoppings;1215.0;626.0;R$ 0,0647;0,4669%;1,3012%;3,6135%;7,2015%;0,4337%;0,6022%;0,6001%;2,3169%;-2,3944%;-1,9386%;1,3125%;R$ 47.002.756,1300;R$ 11,1911;10857;0,5782%;0,0938%;0,6726%;3,3680%;;;1
50;SHPH11;Shoppings;1.03;70.0;R$ 3,5500;0,3349%;1,0143%;2,2955%;4,6049%;0,3381%;0,3826%;0,3837%;1,5643%;0,9524%;1,2905%;7,6667%;R$ 423.772.465,9200;R$ 695,9068;14801;0,5101%;-0,1663%;0,3430%;-3,3126%;2,3000%;;1
51;ONEF11;Lajes Corporativas;13090.0;730.0;R$ 0,6700;0,4963%;1,6038%;3,2233%;6,6342%;0,5346%;0,5372%;0,5529%;2,1534%;9,7642%;10,3089%;14,0007%;R$ 99.185.928,5200;R$ 108,8759;12023;0,6154%;-89,9990%;-89,9375%;-89,7506%;0,0000%;;1
52;FIVN11;Shoppings;444.0;122.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;;0,0000%;0,0000%;0,0000%;R$ 156.087.008,9900;R$ 16,5827;2677;;;;;;;0
53;RBBV11;Títulos e Val. Mob.;6210.0;1447.0;R$ 0,3031;0,4812%;1,2779%;3,1376%;5,6195%;0,4260%;0,5229%;0,4683%;2,5824%;-3,0769%;-2,6106%;-0,4569%;R$ 125.543.258,4400;R$ 100,1012;6204;0,1729%;-0,2463%;-0,0739%;1,1167%;;;1
54;JSRE11;Híbrido;10430.0;8915.0;R$ 0,5400;0,5192%;1,5097%;3,2043%;7,4700%;0,5032%;0,5340%;0,6225%;2,5880%;-2,5761%;-2,0703%;-0,1688%;R$ 712.930.539,0200;R$ 110,4814;9440;0,4707%;-0,7274%;-0,2602%;2,7464%;0,0000%;;2
55;KNRE11;Residencial;1018.0;5999.0;R$ 0,8087;8,0875%;8,0875%;9,2979%;11,2184%;2,6958%;1,5496%;0,9349%;8,0875%;0,0000%;8,0875%;2,5498%;R$ 199.778.506,2100;R$ 10,7714;9451;0,0000%;2,9688%;2,9688%;920,1000%;;;0
56;KNRI11;Híbrido;15700.0;12433.0;R$ 0,8200;0,5193%;1,4781%;2,9088%;6,3817%;0,4927%;0,4848%;0,5318%;2,3495%;-5,4491%;-4,9581%;-0,2193%;R$ 2.170.358.623,4100;R$ 139,8048;11230;0,5865%;-0,1326%;0,4532%;-0,1749%;12,5300%;15,8400%;15
57;KNCR11;Títulos e Val. Mob.;10616.0;39990.0;R$ 0,5900;0,5566%;1,6775%;3,4168%;7,3777%;0,5592%;0,5695%;0,6148%;2,8244%;1,0967%;1,6594%;1,9048%;R$ 2.936.908.674,7600;R$ 104,5203;10157;0,5549%;-0,1195%;0,4347%;2,3901%;;;0
58;MXRF11;Híbrido;993.0;61921.0;R$ 0,0800;0,8247%;1,9542%;3,8364%;7,7867%;0,6514%;0,6394%;0,6489%;3,3106%;-10,8456%;-10,1103%;4,5400%;R$ 300.924.092,9500;R$ 9,5584;10389;0,6277%;-0,4852%;0,1395%;3,4693%;;;0
59;MFII11;Híbrido;11858.0;10416.0;R$ 1,1800;0,9825%;2,7604%;5,3993%;11,0953%;0,9201%;0,8999%;0,9246%;4,5624%;-9,3448%;-8,4541%;-11,9393%;R$ 224.663.632,7600;R$ 112,1852;10570;1,0518%;-0,8700%;0,1726%;7,5778%;;;9
60;DRIT11B;Lajes Corporativas;11900.0;16.0;R$ 0,6500;0,4422%;3,1303%;4,5946%;8,2965%;1,0434%;0,7658%;0,6914%;3,6720%;16,6667%;17,1825%;27,0464%;R$ 56.402.211,6200;R$ 121,7462;9774;0,5339%;-0,1009%;0,4324%;1,3523%;18,1000%;10,4000%;6
61;PLRI11;Títulos e Val. Mob.;8610.0;422.0;R$ 0,3800;0,4319%;2,1285%;3,8202%;14,6635%;0,7095%;0,6367%;1,2220%;3,1641%;1,4294%;1,8674%;-0,7555%;R$ 85.522.246,9400;R$ 89,6174;9608;0,8034%;-4,2888%;-3,5198%;-3,5073%;;;0
62;PORD11;Títulos e Val. Mob.;10030.0;511.0;R$ 0,0000;0,0000%;0,0000%;3,1767%;8,4519%;0,0000%;0,5295%;0,7043%;0,0000%;-0,0995%;-0,0995%;0,4000%;R$ 105.911.104,7900;R$ 105,9111;9470;0,0000%;0,7910%;0,7910%;2,6977%;;;0
63;RBDS11;Residencial;39500.0;73.0;R$ 2,2173;0,5439%;4,5010%;8,8704%;14,5464%;1,5003%;1,4784%;1,2122%;6,8121%;-1,7663%;-1,2320%;9,0393%;R$ 60.489.830,7100;R$ 478,0936;8262;2,0423%;-12,2967%;-10,5055%;-7,7450%;;;0
64;RBGS11;Shoppings;5020.0;1194.0;R$ 0,1917;0,3834%;0,8805%;2,6794%;4,5323%;0,2935%;0,4466%;0,3777%;2,3691%;-15,2255%;-14,9005%;10,4532%;R$ 107.053.009,2900;R$ 99,3071;5055;0,1380%;-0,3293%;-0,1917%;1,0897%;13,1000%;;1
65;FIIP11B;Logística;19590.0;430.0;R$ 1,2989;0,6630%;1,9253%;5,0843%;9,0000%;0,6418%;0,8474%;0,7500%;4,4087%;-5,6313%;-5,0056%;-0,0105%;R$ 164.677.704,2100;R$ 177,6148;11029;0,7309%;0,1547%;0,8868%;3,3813%;;;7
66;RBRD11;Híbrido;8300.0;846.0;R$ 0,5132;0,6161%;1,7774%;3,5703%;10,1979%;0,5925%;0,5950%;0,8498%;2,9505%;-3,3643%;-2,7689%;4,0471%;R$ 139.047.318,0900;R$ 75,0882;11054;0,7879%;0,3627%;1,1535%;3,8069%;0,0000%;;4
67;RDES11;Lajes Corporativas;7225.0;207.0;R$ 0,1488;0,2067%;0,8376%;1,9608%;4,4168%;0,2792%;0,3268%;0,3681%;1,5113%;3,8961%;4,1108%;9,0640%;R$ 67.213.388,3900;R$ 90,5841;7976;0,2422%;-0,1347%;0,1071%;1,3271%;50,5300%;;4
68;RBCB11;Outros;45000.0;11.0;R$ 2,7500;0,6841%;1,7331%;3,3850%;9,0645%;0,5777%;0,5642%;0,7554%;2,5668%;-19,5984%;-19,0484%;-35,4579%;R$ 10.240.050,4500;R$ 192,8446;23335;1,2964%;-6,4283%;-5,2153%;-12,5294%;;;0
69;RBVO11;;5805.0;349.0;R$ 0,3000;0,5000%;1,5604%;5,0514%;8,3237%;0,5201%;0,8419%;0,6936%;2,6818%;-0,8264%;-0,3306%;-1,3978%;R$ 30.822.711,0700;R$ 59,7543;9715;0,5021%;0,0819%;0,5844%;3,1399%;;;0
70;SAAG11;Outros;12534.0;4775.0;R$ 0,8500;0,6795%;1,9322%;3,8940%;7,7468%;0,6441%;0,6490%;0,6456%;3,2247%;-6,6418%;-6,0075%;-0,0105%;R$ 494.901.626,6300;R$ 87,8808;14263;0,9672%;0,0147%;0,9821%;3,9835%;;;28
71;SDIL11;Logística;9156.0;1687.0;R$ 0,6300;0,6923%;1,9298%;3,8393%;7,6526%;0,6433%;0,6399%;0,6377%;3,1513%;-7,1334%;-6,4905%;-5,2909%;R$ 133.824.322,8200;R$ 93,0076;9844;0,6666%;-0,2196%;0,4455%;2,4958%;14,2000%;;1
72;SPTW11;Lajes Corporativas;7197.0;2452.0;R$ 0,5500;0,7534%;2,1376%;4,2240%;8,6373%;0,7125%;0,7040%;0,7198%;3,5047%;-7,5949%;-6,8987%;-4,3713%;R$ 133.345.676,4900;R$ 74,1633;9704;0,7416%;0,0590%;0,8011%;3,1420%;;;2
73;XTED11;Lajes Corporativas;1800.0;5491.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;-5,0000%;-5,0000%;-28,8390%;R$ 51.326.229,3500;R$ 28,6330;6286;0,0000%;-0,6028%;-0,6028%;-1,3389%;96,8000%;98,3000%;2
74;TRXL11;Logística;6937.0;1307.0;R$ 0,3376;0,4689%;1,3518%;2,6480%;5,4719%;0,4506%;0,4413%;0,4560%;1,7745%;-1,3699%;-0,9074%;-8,1397%;R$ 173.151.260,3600;R$ 104,9835;6608;0,3216%;-0,2022%;0,1188%;1,1910%;50,8000%;34,9000%;6
75;XPCM11;Lajes Corporativas;9470.0;4859.0;R$ 0,7800;0,8136%;2,3974%;4,7763%;9,7940%;0,7991%;0,7961%;0,8162%;3,9852%;-2,6701%;-1,8782%;1,2710%;R$ 193.831.210,4700;R$ 80,2757;11797;0,9717%;0,1016%;1,0743%;3,8339%;0,0000%;0,0000%;1
76;KNIP11;Títulos e Val. Mob.;10601.0;9439.0;R$ 0,5900;0,5496%;1,7945%;3,9238%;7,3587%;0,5982%;0,6540%;0,6132%;3,2790%;-0,9412%;-0,3968%;2,7193%;R$ 1.470.849.019,2600;R$ 103,9277;10200;0,5773%;-0,5502%;0,0240%;3,4238%;;;0
77;FAED11;Outros;20551.0;0.0;R$ 0,5928;0,2658%;1,5911%;3,6364%;7,4937%;0,5304%;0,6061%;0,6245%;2,2367%;0,4278%;0,6948%;1,3550%;R$ 103.287.845,9100;R$ 160,8424;12777;0,3685%;0,0072%;0,3758%;3,1365%;0,0000%;;3
78;CNES11;Lajes Corporativas;8200.0;0.0;R$ 0,2373;0,2993%;0,9631%;2,0166%;4,2130%;0,3210%;0,3361%;0,3511%;1,2157%;-12,3757%;-12,1135%;-20,1309%;R$ 306.580.525,8900;R$ 103,9521;7888;0,2283%;-0,0009%;0,2274%;1,0745%;45,5000%;;1
79;FLRP11;Shoppings;1.254;0.0;R$ 9,2114;0,7581%;1,9576%;3,6884%;6,7034%;0,6525%;0,6147%;0,5586%;2,9116%;-2,3288%;-1,5883%;6,9051%;R$ 72.893.067,3100;R$ 1.412,5468;8878;0,6521%;0,0721%;0,7247%;3,2248%;1,7400%;;1
80;FEXC11;Títulos e Val. Mob.;10799.0;0.0;R$ 0,7600;0,7113%;2,2024%;4,3704%;6,8474%;0,7341%;0,7284%;0,5706%;3,0678%;-1,8013%;-1,1028%;5,9286%;R$ 147.589.014,8900;R$ 100,9998;10692;0,7525%;0,3759%;1,1313%;3,3281%;;;0
81;EDGA11;Lajes Corporativas;4070.0;0.0;R$ 0,0669;0,1633%;0,5734%;1,4548%;2,8857%;0,1911%;0,2425%;0,2405%;0,8201%;-11,5858%;-11,4414%;-14,8101%;R$ 310.338.835,5700;R$ 81,4099;4999;0,0822%;0,0405%;0,1227%;-0,3460%;25,8000%;;1
82;NSLU11;Hospital;24300.0;0.0;R$ 1,5568;0,6011%;1,7507%;3,5693%;7,6509%;0,5836%;0,5949%;0,6376%;2,3424%;-4,1096%;-3,5332%;0,2383%;R$ 236.187.213,4800;R$ 206,3131;11778;0,7546%;0,0127%;0,7674%;3,0823%;0,0000%;;1
83;HTMX11;Hotel;12800.0;0.0;R$ 0,5078;0,4063%;1,1580%;2,7197%;5,8181%;0,3860%;0,4533%;0,4848%;1,9382%;-10,7015%;-10,3387%;-2,7166%;R$ 150.791.661,2300;R$ 134,7605;9498;0,4654%;0,3267%;0,7936%;1,8342%;26,0000%;;24
