;Ativo;Setor;Preço;Volume (21d);Dividendo;Dividend Yield;Dividend Yield 3M (acumulado);Dividend Yield 6M (acumulado);Dividend Yield 12M (acumulado);Dividend Yield 3M (média);Dividend Yield 6M (média);Dividend Yield 12M (média);Dividend Yield no Ano;Variação Preço;Rentabilidade no Período;Rentabilidade Acumulada;Patrimônio Líquido;Valor Patrimonial;P/VPA;Dividend Yield Patrimonial;Variação Patrimonial;Rentabilidade Patrimonial no Período;Rentabilidade Patrimonial Acumulada;Vacância Física;Vacância Financeira;Qtd Ativos
0;AEFI11;Outros;16300.0;1132.0;R$ 1,2200;0,7625%;2,1160%;4,3242%;9,3280%;0,7053%;0,7207%;0,7773%;3,5744%;-12,3768%;-11,7087%;0,4917%;R$ 111.180.561,6800;R$ 147,7483;11032;0,8257%;0,0373%;0,8634%;3,4727%;0,0000%;;2
1;BCRI11;Títulos e Val. Mob.;10250.0;1855.0;R$ 0,7200;0,7064%;1,9675%;3,7375%;7,7104%;0,6558%;0,6229%;0,6425%;3,1240%;-2,1881%;-1,4971%;-1,7346%;R$ 119.767.393,7700;R$ 98,9812;10355;0,6567%;-0,0222%;0,6343%;3,6410%;;;0
2;BNFS11;Outros;11680.0;92.0;R$ 0,7967;0,6821%;1,9886%;3,9513%;7,8952%;0,6629%;0,6586%;0,6579%;3,3302%;-2,6667%;-2,0028%;0,6182%;R$ 62.588.910,7500;R$ 89,4127;13063;0,8481%;0,0248%;0,8731%;3,6945%;;;18
3;BBFI11B;Lajes Corporativas;2.12001;165.0;R$ 22,9859;1,0842%;2,7470%;5,0556%;10,1988%;0,9157%;0,8426%;0,8499%;4,2859%;-18,7736%;-17,8929%;-25,9560%;R$ 350.006.979,4200;R$ 2.692,3614;7874;0,8531%;0,0239%;0,8772%;3,6170%;;;2
4;BBPO11;Lajes Corporativas;13580.0;14933.0;R$ 0,9809;0,7051%;2,0234%;4,2440%;8,2969%;0,6745%;0,7073%;0,6914%;3,3753%;-6,1653%;-5,5036%;0,2433%;R$ 1.522.922.829,8300;R$ 95,6628;14196;1,0254%;-0,1510%;0,8728%;3,5857%;;;64
5;BBRC11;Outros;13001.0;693.0;R$ 0,8000;0,5797%;1,6754%;3,4507%;6,9922%;0,5585%;0,5751%;0,5827%;2,7468%;-5,4795%;-4,9315%;-4,5478%;R$ 153.430.674,3200;R$ 96,4973;13473;0,8290%;0,0821%;0,9119%;3,3351%;;;19
6;RNDP11;Títulos e Val. Mob.;92003.0;58.0;R$ 5,1751;0,5625%;1,6868%;3,3769%;7,6344%;0,5623%;0,5628%;0,6362%;2,8224%;-1,8132%;-1,2609%;3,9880%;R$ 112.118.064,6000;R$ 1.043,1431;8820;0,4961%;0,0848%;0,5814%;1,8968%;;;0
7;BCIA11;Títulos e Val. Mob.;11620.0;96.0;R$ 0,7000;0,5983%;1,7546%;3,4814%;7,0999%;0,5849%;0,5802%;0,5917%;2,8811%;-2,5000%;-1,9167%;4,5225%;R$ 206.904.993,4400;R$ 122,4570;9489;0,5716%;-1,7006%;-1,1387%;4,3467%;;;0
8;CARE11;Híbrido;195.0;32241.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;;0,0000%;0,0000%;0,0000%;R$ 117.317.023,0300;R$ 1,3711;14222;;;;;;;0
9;CXRI11;Híbrido;1.03798;63.0;R$ 7,0000;0,6731%;1,9388%;3,9597%;8,2435%;0,6463%;0,6600%;0,6870%;3,2004%;-1,6093%;-0,9470%;-8,1521%;R$ 173.331.307,9700;R$ 1.099,9855;9436;0,6364%;-0,3686%;0,2654%;3,3040%;;;0
10;CPTS11B;Títulos e Val. Mob.;9968.0;3377.0;R$ 0,7000;0,7022%;2,2678%;4,4340%;9,1870%;0,7559%;0,7390%;0,7656%;3,7066%;0,1910%;0,8946%;4,8984%;R$ 98.980.202,8200;R$ 98,9802;10071;0,8082%;-0,1489%;0,6582%;3,4120%;;;0
11;CBOP11;Lajes Corporativas;7015.0;2521.0;R$ 0,4700;0,6528%;1,8596%;3,7057%;7,6002%;0,6199%;0,6176%;0,6333%;3,0749%;-4,0128%;-3,3862%;-4,2048%;R$ 101.134.193,1400;R$ 71,4729;9815;0,6576%;-90,0063%;-89,9405%;-89,7399%;7,0000%;;1
12;ATSA11B;Shoppings;1.14;197.0;R$ 1,5000;0,1316%;0,3947%;0,6911%;2,0428%;0,1316%;0,1152%;0,1702%;0,6085%;0,0000%;0,1316%;-4,4205%;R$ 214.756.529,6800;R$ 1.252,0786;9105;0,1198%;0,0183%;0,1381%;0,6165%;23,0000%;;1
13;HGBS11;Shoppings;22764.0;5928.0;R$ 1,2000;0,5252%;1,5203%;3,0053%;6,0991%;0,5068%;0,5009%;0,5083%;2,5149%;-6,3525%;-5,8607%;-4,7147%;R$ 1.243.573.369,3700;R$ 231,3659;9839;0,5187%;-90,0043%;-89,9525%;-89,7339%;6,6000%;;8
