;Códigodo fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
135;RBRY11;Títulos e Val. Mob.;R$ 101,30;2004.0;R$ 0,60;0,58%;1,84%;3,80%;7,55%;0,61%;0,63%;0,63%;5,19%;4,04%;4,65%;-4,00%;R$ 204.432.747,04;R$ 104,57;97.0;0,57%;0,62%;1,20%;2,58%;;;0
136;RBVA11;Outros;R$ 118,70;10131.0;R$ 0,85;0,73%;1,96%;3,96%;7,97%;0,65%;0,66%;0,66%;5,17%;-8,17%;-7,50%;-18,46%;R$ 1.235.967.971,09;R$ 115,58;103.0;0,74%;0,11%;0,84%;-2,94%;0,90%;;72
137;RBVO11;Outros;R$ 21,45;113.0;R$ 0,15;0,71%;1,68%;2,72%;5,70%;0,56%;0,45%;0,48%;3,63%;-4,14%;-3,46%;-31,52%;R$ 15.335.692,09;R$ 29,73;72.0;0,49%;-0,18%;0,31%;1,76%;;;0
138;RCRB11;Lajes Corporativas;R$ 172,90;2946.0;R$ 0,85;0,51%;1,81%;3,03%;5,21%;0,60%;0,50%;0,43%;3,30%;-6,68%;-6,20%;-38,18%;R$ 588.319.069,28;R$ 197,64;87.0;0,43%;-0,09%;0,34%;3,20%;0,00%;;10
139;RDPD11;Títulos e Val. Mob.;R$ 81,25;60.0;R$ 0,31;0,37%;1,48%;2,79%;5,60%;0,49%;0,46%;0,47%;3,76%;2,08%;2,47%;-2,88%;R$ 105.060.274,59;R$ 97,45;83.0;0,32%;0,09%;0,41%;3,17%;;;0
140;RECR11;Títulos e Val. Mob.;R$ 102,00;16249.0;R$ 0,90;0,86%;2,25%;4,51%;8,71%;0,75%;0,75%;0,73%;6,47%;4,04%;4,94%;3,92%;R$ 705.656.625,91;R$ 97,34;105.0;0,92%;0,07%;0,99%;7,22%;;;0
141;RECT11;Híbrido;R$ 96,50;26653.0;R$ 0,72;0,72%;2,36%;4,93%;10,38%;0,79%;0,82%;0,87%;6,52%;3,13%;3,87%;2,64%;R$ 670.919.914,13;R$ 96,21;100.0;0,75%;-0,03%;0,72%;3,15%;9,70%;;7
142;RFOF11;Títulos e Val. Mob.;R$ 82,50;4146.0;R$ 0,42;0,52%;1,20%;0,00%;0,00%;0,40%;0,00%;0,00%;1,78%;9,12%;9,69%;-1,04%;R$ 102.814.995,73;R$ 95,36;87.0;0,44%;1,52%;1,97%;-0,51%;;;0
143;RNDP11;Títulos e Val. Mob.;R$ 780,00;10.0;R$ 3,12;0,34%;1,02%;2,28%;5,03%;0,34%;0,38%;0,42%;3,01%;0,20%;0,55%;-5,61%;R$ 116.433.037,07;R$ 1.083,29;72.0;0,29%;0,11%;0,40%;2,41%;;;0
144;RNGO11;Lajes Corporativas;R$ 70,77;9777.0;R$ 0,42;0,58%;1,84%;3,55%;6,62%;0,61%;0,59%;0,55%;4,48%;3,53%;4,13%;-28,17%;R$ 274.564.848,56;R$ 102,60;69.0;0,41%;0,02%;0,43%;3,56%;20,30%;;3
