;Ativo;Setor;Preço;Volume (21d);Dividendo;Dividend Yield;Dividend Yield 3M (acumulado);Dividend Yield 6M (acumulado);Dividend Yield 12M (acumulado);Dividend Yield 3M (média);Dividend Yield 6M (média);Dividend Yield 12M (média);Dividend Yield no Ano;Variação Preço;Rentabilidade no Período;Rentabilidade Acumulada;Patrimônio Líquido;Valor Patrimonial;P/VPA;Dividend Yield Patrimonial;Variação Patrimonial;Rentabilidade Patrimonial no Período;Rentabilidade Patrimonial Acumulada;Vacância Física;Vacância Financeira;Qtd Ativos
67;RBCB11;Outros;21500.0;65.0;R$ 3,8000;1,7674%;5,0013%;6,7344%;10,7676%;1,6671%;1,1224%;0,8973%;7,5681%;-6,5217%;-4,8696%;-63,7261%;R$ 7.138.453,9800;R$ 134,4342;15993;2,8267%;-9,8058%;-7,2564%;-33,0621%;;;0
68;RBVO11;Outros;5900.0;129.0;R$ 0,3300;0,5703%;1,6120%;3,1724%;8,4701%;0,5373%;0,5287%;0,7058%;4,2938%;1,1008%;1,6774%;-3,3736%;R$ 30.567.458,3800;R$ 59,2595;9956;0,5569%;-0,2728%;0,2825%;4,4498%;;;0
69;SAAG11;Outros;10863.0;6115.0;R$ 0,8700;0,7733%;2,2494%;4,1816%;7,9795%;0,7498%;0,6969%;0,6650%;5,4741%;-4,9831%;-4,2483%;-8,0435%;R$ 495.106.121,0100;R$ 87,9171;12356;0,9896%;0,0154%;1,0052%;8,1698%;;;28
70;SDIL11;Logística;9127.0;1955.0;R$ 0,6400;0,7064%;2,1687%;4,0986%;7,8524%;0,7229%;0,6831%;0,6544%;5,3200%;-0,4396%;0,2637%;-3,6475%;R$ 136.349.731,8400;R$ 94,7628;9631;0,6754%;1,8859%;2,5740%;7,2974%;14,2000%;;1
71;SPTW11;Lajes Corporativas;7300.0;1386.0;R$ 0,5500;0,7564%;2,2575%;4,3951%;8,6423%;0,7525%;0,7325%;0,7202%;5,7622%;-2,2584%;-1,5190%;-2,5847%;R$ 133.624.783,4200;R$ 74,3186;9823;0,7401%;0,0479%;0,7883%;6,4540%;;;2
72;XTED11;Lajes Corporativas;1739.0;1047.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;-1,0989%;-1,0989%;-32,5843%;R$ 50.629.931,7500;R$ 28,2445;6157;;;;;96,8000%;93,9000%;2
73;TRXL11;Logística;6630.0;692.0;R$ 0,3412;0,4913%;1,4279%;2,8360%;5,4359%;0,4760%;0,4727%;0,4530%;3,6827%;-0,7148%;-0,2270%;-9,6901%;R$ 188.942.973,5200;R$ 101,1762;6553;0,3372%;-3,0690%;-2,7422%;-1,2161%;50,7000%;33,8000%;6
74;XPCM11;Lajes Corporativas;9000.0;2668.0;R$ 0,7800;0,8635%;2,5719%;4,9693%;9,7170%;0,8573%;0,8282%;0,8098%;6,5570%;-0,7363%;0,1209%;-2,1059%;R$ 194.401.179,3600;R$ 80,5117;11178;0,9688%;0,0752%;1,0447%;8,2388%;0,0000%;0,0000%;1
75;KNIP11;Títulos e Val. Mob.;10901.0;15154.0;R$ 0,8500;0,7841%;2,2318%;4,0263%;8,0088%;0,7439%;0,6711%;0,6674%;5,5108%;2,2931%;3,0952%;6,0560%;R$ 1.762.332.065,1000;R$ 100,9881;10794;0,8417%;-0,8304%;0,0043%;3,4817%;;;0
76;FAED11;Outros;19700.0;0.0;R$ 1,5078;0,7577%;2,3082%;4,4064%;8,4581%;0,7694%;0,7344%;0,7048%;5,7213%;-1,8496%;-1,1059%;-6,3606%;R$ 103.269.484,8300;R$ 160,8138;12250;0,9376%;-0,0045%;0,9331%;7,6792%;0,0000%;;3
77;CNES11;Lajes Corporativas;7043.0;0.0;R$ 0,0404;0,0573%;1,0534%;1,9179%;3,9451%;0,3511%;0,3196%;0,3288%;2,5338%;-3,5205%;-3,4652%;-28,1258%;R$ 291.316.841,7600;R$ 98,7767;7130;0,0409%;0,0099%;0,0508%;-2,9926%;55,0000%;;1
